cvcl	cell_line	category	lineage	subtype	lineage_source	n_experiments	identity	data_status	cn_status	cn_from	tier	include	exclude_reason
CVCL_0324	HuCCT1	Cancer cell line	Biliary Tract	Intrahepatic Cholangiocarcinoma	depmap	2	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_0126	5637	Cancer cell line	Bladder/Urinary Tract	Bladder Urothelial Carcinoma	depmap	3	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_1292	HT-1376	Cancer cell line	Bladder/Urinary Tract	Bladder Urothelial Carcinoma	depmap	1	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_0359	J82	Cancer cell line	Bladder/Urinary Tract	Bladder Urothelial Carcinoma	depmap	2	confirmed (Cellosaurus+DepMap)	needs pull	lookup (other DB)	DepMap-merged,Progenetix,CMP,COSMIC	B	1	
CVCL_2081	JMSU1	Cancer cell line	Bladder/Urinary Tract	Bladder Urothelial Carcinoma	depmap	6	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_1670	RT-112	Cancer cell line	Bladder/Urinary Tract	Bladder Urothelial Carcinoma	depmap	5	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_0036	RT4	Cancer cell line	Bladder/Urinary Tract	Bladder Urothelial Carcinoma	depmap	1	confirmed (Cellosaurus+DepMap)	needs pull	lookup (other DB)	DepMap-merged,Progenetix,CMP,COSMIC	B	1	
CVCL_0554	T24	Cancer cell line	Bladder/Urinary Tract	Bladder Urothelial Carcinoma	depmap	2	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_2743	UM-UC-1	Cancer cell line	Bladder/Urinary Tract	Bladder Urothelial Carcinoma	depmap	10	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_2270	143B	Cancer cell line	Bone	Osteosarcoma	depmap	7	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_0080	A-673	Cancer cell line	Bone	Ewing Sarcoma	depmap	32	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_6583	CHLA-10	Cancer cell line	Bone	Ewing Sarcoma	depmap	1	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_M152	CHLA-25	Cancer cell line	Bone	Ewing Sarcoma	cellosaurus_ncit	1	Cellosaurus-only	needs pull	lookup (other DB)	Progenetix	B	1	
CVCL_1208	EW-1	Cancer cell line	Bone	Ewing Sarcoma	depmap	1	confirmed (Cellosaurus+DepMap)	needs pull	lookup (other DB)	DepMap-merged,Progenetix,CMP,COSMIC	B	1	
CVCL_1214	EW-22	Cancer cell line	Bone	Ewing Sarcoma	depmap	1	confirmed (Cellosaurus+DepMap)	needs pull	lookup (other DB)	DepMap-merged,Progenetix,CMP,COSMIC	B	1	
CVCL_1216	EW-3	Cancer cell line	Bone	Ewing Sarcoma	depmap	1	confirmed (Cellosaurus+DepMap)	needs pull	lookup (other DB)	DepMap-merged,Progenetix,CMP,COSMIC	B	1	
CVCL_1217	EW-7	Cancer cell line	Bone	Ewing Sarcoma	depmap	1	confirmed (Cellosaurus+DepMap)	needs pull	lookup (other DB)	DepMap-merged,Progenetix,CMP,COSMIC	B	1	
CVCL_S740	EWS502	Cancer cell line	Bone	Ewing Sarcoma	depmap	1	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_0312	HOS	Cancer cell line	Bone	Osteosarcoma	depmap	1	confirmed (Cellosaurus+DepMap)	needs pull	lookup (other DB)	DepMap-merged,Progenetix,CMP,COSMIC	B	1	
CVCL_1298	HuO9	Cancer cell line	Bone	Osteosarcoma	depmap	1	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
