cvcl	cell	model_id	lineage	subtype	n_h3k27ac_exp	tier	cn_source	dr_depmap	dr_progenetix	dr_cmp	dr_cosmicclp	dr_gdsc	has_matched_input
CVCL_0001	HEL	ACH-000004	Myeloid	Acute Myeloid Leukemia	5	A	depmap_wgs	1	1	1	1	1	1
CVCL_0002	HL-60	ACH-000002	Myeloid	Acute Myeloid Leukemia	25	B	measured_other	1	1	1	1	1	1
CVCL_0004	K-562	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	131	A	depmap_wgs	1	1	1	1	1	1
CVCL_0005	NB-4	ACH-000294	Myeloid	Acute Myeloid Leukemia	9	B	measured_other	1	1	1	1	1	1
CVCL_0006	THP-1	ACH-000146	Myeloid	Acute Myeloid Leukemia	118	A	depmap_wgs	1	1	1	1	1	1
CVCL_0007	U-937	ACH-000406	Myeloid	Acute Myeloid Leukemia	7	A	depmap_wgs	1	1	1	0	0	1
CVCL_0008	Daudi	ACH-000786	Lymphoid	Burkitt Lymphoma	1	B	measured_other	1	1	1	1	1	1
CVCL_0012	LP-1	ACH-000204	Lymphoid	Plasma Cell Myeloma	13	A	depmap_wgs	1	1	1	1	1	1
CVCL_0013	MOLT-4	ACH-001127	Lymphoid	T-Lymphoblastic Leukemia/Lymphoma	6	B	measured_other	1	1	1	1	1	1
CVCL_0014	RPMI 8226	ACH-000817	Lymphoid	Plasma Cell Myeloma	3	A	depmap_wgs	1	1	1	1	1	1
CVCL_0018	D341 Med	ACH-000095	CNS/Brain	Medulloblastoma	12	A	depmap_wgs	1	1	1	0	0	1
CVCL_0019	SH-SY5Y	ACH-001188	Peripheral Nervous System	Neuroblastoma	35	A	depmap_wgs	1	1	1	0	0	1
CVCL_0021	U-251 MG	ACH-000232	CNS/Brain	Astrocytoma	2	A	depmap_wgs	1	1	1	1	1	1
CVCL_0022	U-87 MG	ACH-000075	CNS/Brain	Glioblastoma	12	A	depmap_wgs	1	1	1	1	1	1
CVCL_0023	A549	ACH-000681	Lung	Lung Adenocarcinoma	104	A	depmap_wgs	1	1	1	1	1	1
CVCL_0025	Caco-2	ACH-000003	Bowel	Colon Adenocarcinoma	3	B	measured_other	1	1	1	0	0	1
CVCL_0026	Capan-2	ACH-000107	Pancreas	Pancreatic Adenocarcinoma	9	B	measured_other	1	1	1	1	1	0
CVCL_0027	Hep G2	ACH-000739	Liver	Hepatoblastoma	36	A	depmap_wgs	1	1	1	0	0	1
CVCL_0030	HeLa	ACH-001086	Cervix	Endocervical Adenocarcinoma	55	B	measured_other	1	1	1	1	1	1
CVCL_0031	MCF-7	ACH-000019	Breast	Invasive Breast Carcinoma	241	A	depmap_wgs	1	1	1	1	1	1
CVCL_0032	SiHa	ACH-000556	Cervix	Cervical Squamous Cell Carcinoma	1	B	measured_other	1	1	1	1	1	1
CVCL_0033	SK-BR-3	ACH-000017	Breast	Invasive Breast Carcinoma	6	A	depmap_wgs	1	1	1	0	0	1
