cvcl	cell_line	category	species_human	is_cancer	ncit_code	cello_disease	lineage	primary_disease	subtype	lineage_source	include	exclude_reason	cvcl_species_flag
CVCL_0001	HEL	Cancer cell line	1	1	C7152	Erythroleukemia	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia	depmap	1		
CVCL_0002	HL-60	Cancer cell line	1	1	C7961	Adult acute myeloid leukemia with maturation	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia	depmap	1		
CVCL_0004	K-562	Cancer cell line	1	1	C9110	Blast phase chronic myelogenous leukemia, BCR-ABL1 positive	Myeloid	Myeloproliferative Neoplasms	Chronic Myeloid Leukemia, BCR-ABL1+	depmap	1		
CVCL_0005	NB-4	Cancer cell line	1	1	C3182	Acute promyelocytic leukemia with PML-RARA	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia	depmap	1		
CVCL_0006	THP-1	Cancer cell line	1	1	C9163	Childhood acute monocytic leukemia	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia	depmap	1		
CVCL_0007	U-937	Cancer cell line	1	1	C8263	Adult acute monocytic leukemia	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia	depmap	1		
CVCL_0008	Daudi	Cancer cell line	1	1	C27694	EBV-related Burkitt lymphoma	Lymphoid	Mature B-Cell Neoplasms	Burkitt Lymphoma	depmap	1		
CVCL_0012	LP-1	Cancer cell line	1	1	C3242	Plasma cell myeloma	Lymphoid	Mature B-Cell Neoplasms	Plasma Cell Myeloma	depmap	1		
CVCL_0013	MOLT-4	Cancer cell line	1	1	C9142	Adult T acute lymphoblastic leukemia	Lymphoid	T-Lymphoblastic Leukemia/Lymphoma	T-Lymphoblastic Leukemia/Lymphoma	depmap	1		
CVCL_0014	RPMI 8226	Cancer cell line	1	1	C3242	Plasma cell myeloma	Lymphoid	Mature B-Cell Neoplasms	Plasma Cell Myeloma	depmap	1		
CVCL_0018	D341 Med	Cancer cell line	1	1	C129445	Medulloblastoma, non-WNT/non-SHH, group 3	CNS/Brain	Embryonal Tumor	Medulloblastoma	depmap	1		
CVCL_0019	SH-SY5Y	Cancer cell line	1	1	C3270	Neuroblastoma	Peripheral Nervous System	Neuroblastoma	Neuroblastoma	depmap	1		
CVCL_0021	U-251 MG	Cancer cell line	1	1	C60781	Astrocytoma	CNS/Brain	Diffuse Glioma	Astrocytoma	depmap	1		
CVCL_0022	U-87 MG	Cancer cell line	1	1	C3058	Glioblastoma	CNS/Brain	Diffuse Glioma	Glioblastoma	depmap	1		
CVCL_0023	A549	Cancer cell line	1	1	C3512	Lung adenocarcinoma	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	depmap	1		
CVCL_0025	Caco-2	Cancer cell line	1	1	C4349	Colon adenocarcinoma	Bowel	Colorectal Adenocarcinoma	Colon Adenocarcinoma	depmap	1		
CVCL_0026	Capan-2	Cancer cell line	1	1	C9120	Pancreatic ductal adenocarcinoma	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	depmap	1		
CVCL_0027	Hep G2	Cancer cell line	1	1	C3728	Hepatoblastoma	Liver	Hepatoblastoma	Hepatoblastoma	depmap	1		
CVCL_0030	HeLa	Cancer cell line	1	1	C27677	Human papillomavirus-related endocervical adenocarcinoma	Cervix	Cervical Adenocarcinoma	Endocervical Adenocarcinoma	depmap	1		
CVCL_0031	MCF-7	Cancer cell line	1	1	C4194	Invasive breast carcinoma of no special type	Breast	Invasive Breast Carcinoma	Invasive Breast Carcinoma	depmap	1		
CVCL_0032	SiHa	Cancer cell line	1	1	C27676	Human papillomavirus-related cervical squamous cell carcinoma	Cervix	Cervical Squamous Cell Carcinoma	Cervical Squamous Cell Carcinoma	depmap	1		
CVCL_0033	SK-BR-3	Cancer cell line	1	1	C5214	Breast adenocarcinoma	Breast	Invasive Breast Carcinoma	Invasive Breast Carcinoma	depmap	1		
