srx	cell_class	cell	cvcl	model_id	lineage	subtype	has_cn	has_dep	qc_pass	reads	pct_mapped	pct_dup	n_peaks
DRX013177	Digestive tract	DLD-1	CVCL_0248	ACH-001061	Bowel	Colon Adenocarcinoma	1	1	1	22725271	59.1	16.9	4391
DRX013187	Kidney	293	CVCL_0045				0	0	1	40260524	90.8	18.9	38886
DRX013197	Uterus	HeLa	CVCL_0030	ACH-001086	Cervix	Endocervical Adenocarcinoma	0	0	1	73409612	94.6	23.0	74569
DRX013207	Breast	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma	1	1	1	39704080	90.8	21.3	57473
DRX015223	Lung	A-427	CVCL_1055	ACH-000757	Lung	Lung Adenocarcinoma	0	1	1	47750360	97.8	22.1	31157
DRX015232	Lung	A549	CVCL_0023	ACH-000681	Lung	Lung Adenocarcinoma	1	1	1	14578447	97.2	27.8	29512
DRX015241	Lung	ABC-1	CVCL_1066	ACH-000528	Lung	Lung Adenocarcinoma	1	1	1	30819362	93.3	15.7	52379
DRX015250	Lung	NCI-H1299	CVCL_0060	ACH-000510	Lung	Large Cell Lung Carcinoma	1	1	1	26888051	98.1	11.7	39260
DRX015259	Lung	NCI-H1437	CVCL_1472	ACH-000589	Lung	Lung Adenocarcinoma	1	1	1	21529657	96.9	14.0	46608
DRX015268	Lung	NCI-H1648	CVCL_1482	ACH-000766	Lung	Lung Adenocarcinoma	1	1	1	34727375	94.6	7.8	61705
DRX015277	Lung	NCI-H1650	CVCL_1483	ACH-000035	Lung	Non-Small Cell Lung Cancer	1	1	1	43734304	97.0	14.1	62870
DRX015286	Lung	NCI-H1703	CVCL_1490	ACH-000747	Lung	Lung Squamous Cell Carcinoma	1	1	1	32289459	98.4	19.6	29670
DRX015295	Lung	NCI-H1819	CVCL_1497	ACH-000033	Lung	Lung Adenocarcinoma	0	0	1	24526953	96.7	7.7	50200
DRX015304	Lung	NCI-H1975	CVCL_1511	ACH-000587	Lung	Lung Adenocarcinoma	1	1	1	23759980	97.1	13.4	52915
DRX015313	Lung	NCI-H2126	CVCL_1532	ACH-000785	Lung	Lung Adenocarcinoma	1	1	1	15041147	97.5	8.8	35379
DRX015322	Lung	NCI-H2228	CVCL_1543	ACH-000447	Lung	Lung Adenocarcinoma	1	0	1	35113563	96.9	14.7	58990
DRX015331	Lung	NCI-H2347	CVCL_1550	ACH-000875	Lung	Lung Adenocarcinoma	0	0	1	44320043	82.8	16.7	68992
DRX015340	Lung	NCI-H322	CVCL_1556	ACH-000837	Lung	Lung Adenocarcinoma	1	1	1	41536972	96.5	14.3	50522
DRX015349	Lung	II-18	CVCL_6659				0	0	1	43792837	94.5	16.2	53668
DRX015358	Lung	LC-2/ad	CVCL_1373	ACH-002157	Lung	Lung Adenocarcinoma	0	0	1	37272939	97.4	14.1	78766
DRX015367	Lung	PC-14	CVCL_1640	ACH-000030	Lung	Lung Adenocarcinoma	1	1	1	29337174	97.1	17.2	34456
DRX015376	Prostate	PC-3	CVCL_0035	ACH-000090	Prostate	Prostate Adenocarcinoma	1	1	1	30229917	96.7	17.8	30744
DRX015385	Lung	PC-7	CVCL_A786				0	0	1	22095915	96.7	9.6	48051
