srx	cell	cvcl	model_id	lineage	subtype
DRX013177	DLD-1	CVCL_0248	ACH-001061	Bowel	Colon Adenocarcinoma
DRX013207	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
DRX015232	A549	CVCL_0023	ACH-000681	Lung	Lung Adenocarcinoma
DRX015241	ABC-1	CVCL_1066	ACH-000528	Lung	Lung Adenocarcinoma
DRX015250	NCI-H1299	CVCL_0060	ACH-000510	Lung	Large Cell Lung Carcinoma
DRX015259	NCI-H1437	CVCL_1472	ACH-000589	Lung	Lung Adenocarcinoma
DRX015268	NCI-H1648	CVCL_1482	ACH-000766	Lung	Lung Adenocarcinoma
DRX015277	NCI-H1650	CVCL_1483	ACH-000035	Lung	Non-Small Cell Lung Cancer
DRX015286	NCI-H1703	CVCL_1490	ACH-000747	Lung	Lung Squamous Cell Carcinoma
DRX015304	NCI-H1975	CVCL_1511	ACH-000587	Lung	Lung Adenocarcinoma
DRX015313	NCI-H2126	CVCL_1532	ACH-000785	Lung	Lung Adenocarcinoma
DRX015322	NCI-H2228	CVCL_1543	ACH-000447	Lung	Lung Adenocarcinoma
DRX015340	NCI-H322	CVCL_1556	ACH-000837	Lung	Lung Adenocarcinoma
DRX015367	PC-14	CVCL_1640	ACH-000030	Lung	Lung Adenocarcinoma
DRX015376	PC-3	CVCL_0035	ACH-000090	Prostate	Prostate Adenocarcinoma
DRX015403	RERF-LC-Ad1	CVCL_1651	ACH-000791	Lung	Lung Adenocarcinoma
DRX015430	RERF-LC-MS	CVCL_1655	ACH-000062	Lung	Lung Adenocarcinoma
DRX041639	K-562	CVCL_0004	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
DRX041641	K-562	CVCL_0004	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
DRX230605	A2058	CVCL_1059	ACH-000788	Skin	Melanoma
DRX230606	A2058	CVCL_1059	ACH-000788	Skin	Melanoma
DRX313732	SNU-475	CVCL_0497	ACH-000422	Liver	Hepatocellular Carcinoma
DRX313733	SNU-475	CVCL_0497	ACH-000422	Liver	Hepatocellular Carcinoma
DRX313734	SNU-475	CVCL_0497	ACH-000422	Liver	Hepatocellular Carcinoma
DRX313736	SNU-475	CVCL_0497	ACH-000422	Liver	Hepatocellular Carcinoma
DRX313737	SNU-475	CVCL_0497	ACH-000422	Liver	Hepatocellular Carcinoma
DRX313738	SNU-475	CVCL_0497	ACH-000422	Liver	Hepatocellular Carcinoma
DRX313739	SNU-475	CVCL_0497	ACH-000422	Liver	Hepatocellular Carcinoma
DRX431470	JHH-7	CVCL_2805	ACH-000848	Liver	Hepatocellular Carcinoma
ERX1103210	HEL 92.1.7	CVCL_2481	ACH-000005	Myeloid	Acute Myeloid Leukemia
ERX1103216	HEL 92.1.7	CVCL_2481	ACH-000005	Myeloid	Acute Myeloid Leukemia
ERX1103217	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
ERX1103224	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
ERX1103231	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
ERX1126164	HEL 92.1.7	CVCL_2481	ACH-000005	Myeloid	Acute Myeloid Leukemia
ERX1126170	HEL 92.1.7	CVCL_2481	ACH-000005	Myeloid	Acute Myeloid Leukemia
ERX1126171	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
ERX1126178	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
ERX1126185	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
ERX1126189	HEL 92.1.7	CVCL_2481	ACH-000005	Myeloid	Acute Myeloid Leukemia
ERX1126195	HEL 92.1.7	CVCL_2481	ACH-000005	Myeloid	Acute Myeloid Leukemia
ERX1126196	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
ERX1126203	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
ERX1126210	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
ERX1126214	HEL 92.1.7	CVCL_2481	ACH-000005	Myeloid	Acute Myeloid Leukemia
ERX1126220	HEL 92.1.7	CVCL_2481	ACH-000005	Myeloid	Acute Myeloid Leukemia
