level	group	se	rank	jsd	fdr	nearest_gene	dist_kb	identity
OncotreeLineage	Bowel	USE_439	1	0.08997249564242407	0.0029225325159099322	MPP7	54	
OncotreeLineage	Bowel	USE_1938	2	0.09192420535332715	0.0029225325159099322	IRS1	574	
OncotreeLineage	Bowel	USE_2443	3	0.09289520284235438	0.0029225325159099322	ANXA10	66	
OncotreeLineage	Bowel	USE_3079	4	0.09669588428219222	0.0029225325159099322	POU5F1B	114	
OncotreeLineage	Bowel	USE_2400	5	0.09883031197826567	0.0029225325159099322	HS3ST1	287	
OncotreeLineage	Bowel	USE_580	6	0.10257941802220014	0.0029225325159099322	PDHX	41	
OncotreeLineage	Bowel	USE_674	7	0.10433056001878349	0.0029225325159099322	FGF3	100	
OncotreeLineage	Bowel	USE_577	8	0.1060268963358132	0.0029225325159099322	KIF18A	129	
OncotreeLineage	Bowel	USE_2309	9	0.10637649632128081	0.0029225325159099322	ZBTB20	83	
OncotreeLineage	Bowel	USE_2294	10	0.10707949788454318	0.0029225325159099322	GPR15	22	
OncotreeLineage	Bowel	USE_2915	11	0.10781977721041615	0.0029225325159099322	KLF14	117	
OncotreeLineage	Bowel	USE_1940	12	0.1087967262587293	0.0029225325159099322	IRS1	91	
OncotreeLineage	Bowel	USE_304	13	0.11110473811633695	0.0030427872606248185	TBX19	110	
OncotreeLineage	Bowel	USE_3080	14	0.11227804954663104	0.0030427872606248185	POU5F1B	99	
OncotreeLineage	Bowel	USE_3072	15	0.1164767596094665	0.0035819021308108124	TRIB1	248	
OncotreeLineage	Breast	USE_1	1	0.0892072645436004	0.04830795645426738	OR4F16	55	
OncotreeLineage	Breast	USE_3296	2	0.09620636188782197	0.04830795645426738	PLS3	280	
OncotreeLineage	Breast	USE_3294	3	0.1143412399074928	0.07677523226011204	PLS3	126	
OncotreeLineage	Breast	USE_219	4	0.12554301006941498	0.07677523226011204	SRGAP2C	3473	
OncotreeLineage	Breast	USE_2763	5	0.12989216582388874	0.07677523226011204	CCDC170	109	ESR1
OncotreeLineage	Breast	USE_1780	6	0.13139704318397005	0.07677523226011204	GREB1	26	
OncotreeLineage	Breast	USE_3	7	0.1323199789254637	0.07677523226011204	SAMD11	1	
OncotreeLineage	Breast	USE_1151	8	0.1404195075402525	0.09266323581587506	NR2F2	437	
OncotreeLineage	Breast	USE_2982	9	0.1421925088131052	0.09266323581587506	DNAJC5B	37	
OncotreeLineage	Breast	USE_2762	10	0.15082449325199526	0.11324871991594575	CCDC170	75	ESR1
OncotreeLineage	Breast	USE_418	11	0.1514685103213525	0.11324871991594575	GATA3	1123	
OncotreeLineage	Breast	USE_2764	12	0.15888127367893673	0.1419138354306664	CCDC170	145	ESR1
OncotreeLineage	Breast	USE_757	13	0.16192140428256588	0.14861215026272515	RERG	9	
OncotreeLineage	Breast	USE_203	14	0.16977404773957752	0.17518611813713558	ELAPOR1	3	
OncotreeLineage	Breast	USE_3179	15	0.17185927029718467	0.17518611813713558	FBP1	13	
OncotreeLineage	Lymphoid	USE_2100	1	0.020135480979656506	0.005109405801643386	CDH4	95	
