level	group	se	rank	jsd	fdr	nearest_gene	dist_kb	identity
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_2751	1	0.026303425671852437	0.0010773222019872524	TXLNB	37	
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_2	2	0.02941087249901789	0.0010773222019872524	OR4F16	47	
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_363	3	0.037355484139298095	0.0010773222019872524	ZC3H11B	149	
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_3103	4	0.040032545011663936	0.0010773222019872524	EFR3A	137	
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_787	5	0.04047163209026319	0.0010773222019872524	IPO8	209	
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_879	6	0.04335687891327908	0.0010773222019872524	DUSP6	218	
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_2441	7	0.04613593166128139	0.0010773222019872524	TLR2	38	
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_1882	8	0.05154570099446445	0.0010773222019872524	RND3	182	
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_328	9	0.053206799646977394	0.0010773222019872524	ZNF281	57	
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_2575	10	0.053414255754947494	0.0010773222019872524	COL23A1	86	
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_1813	11	0.0553945307829706	0.0010773222019872524	VRK2	596	
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_3209	12	0.05933602073313909	0.0010773222019872524	ENG	2	
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_3004	13	0.05994059041811	0.0010773222019872524	SDC2	70	
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_881	14	0.06020008450620124	0.0010773222019872524	PLEKHG7	228	
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_370	15	0.06198677840330818	0.0010773222019872524	CNIH3	116	
OncotreePrimaryDisease	Colorectal Adenocarcinoma	USE_2443	1	0.106863159884442	0.00032760689868235545	ANXA10	66	
OncotreePrimaryDisease	Colorectal Adenocarcinoma	USE_439	2	0.10849945246312373	0.00032760689868235545	MPP7	54	
OncotreePrimaryDisease	Colorectal Adenocarcinoma	USE_1938	3	0.10916599257649584	0.00032760689868235545	IRS1	574	
OncotreePrimaryDisease	Colorectal Adenocarcinoma	USE_2400	4	0.11894124672363733	0.00032760689868235545	HS3ST1	287	
OncotreePrimaryDisease	Colorectal Adenocarcinoma	USE_2309	5	0.1202467703612532	0.00032760689868235545	ZBTB20	83	
