level	group	se	rank	jsd	fdr	nearest_gene	dist_kb	identity
OncotreeSubtype	Acute Myeloid Leukemia	USE_2751	1	0.031844728398631145	0.00019062262006558383	TXLNB	37	
OncotreeSubtype	Acute Myeloid Leukemia	USE_2	2	0.03513978024399755	0.00019062262006558383	OR4F16	47	
OncotreeSubtype	Acute Myeloid Leukemia	USE_363	3	0.04571079850655885	0.00019062262006558383	ZC3H11B	149	
OncotreeSubtype	Acute Myeloid Leukemia	USE_3103	4	0.04727109129048437	0.00019062262006558383	EFR3A	137	
OncotreeSubtype	Acute Myeloid Leukemia	USE_787	5	0.04756490768320781	0.00019062262006558383	IPO8	209	
OncotreeSubtype	Acute Myeloid Leukemia	USE_879	6	0.051190360346898826	0.00019447430597604098	DUSP6	218	
OncotreeSubtype	Acute Myeloid Leukemia	USE_2441	7	0.055948696045347995	0.00021041651276091402	TLR2	38	
OncotreeSubtype	Acute Myeloid Leukemia	USE_328	8	0.06234627866351432	0.00021041651276091402	ZNF281	57	
OncotreeSubtype	Acute Myeloid Leukemia	USE_2575	9	0.0632283976946372	0.00021041651276091402	COL23A1	86	
OncotreeSubtype	Acute Myeloid Leukemia	USE_1882	10	0.0636892729964323	0.00021041651276091402	RND3	182	
OncotreeSubtype	Acute Myeloid Leukemia	USE_369	11	0.06841721781859869	0.00021041651276091402	CNIH4	33	
OncotreeSubtype	Acute Myeloid Leukemia	USE_1813	12	0.06901251637508127	0.00021041651276091402	VRK2	596	
OncotreeSubtype	Acute Myeloid Leukemia	USE_881	13	0.07005934570149058	0.00021041651276091402	PLEKHG7	228	
OncotreeSubtype	Acute Myeloid Leukemia	USE_3004	14	0.07059590808101404	0.00021041651276091402	SDC2	70	
OncotreeSubtype	Acute Myeloid Leukemia	USE_3209	15	0.07127882539160876	0.00021041651276091402	ENG	2	
OncotreeSubtype	Breast Invasive Ductal Carcinoma	USE_1	1	0.04829867459211516	2.557947922983818e-06	OR4F16	55	
OncotreeSubtype	Breast Invasive Ductal Carcinoma	USE_1845	2	0.15052159279084631	0.002318491552060016	RPIA	1113	
OncotreeSubtype	Breast Invasive Ductal Carcinoma	USE_1780	3	0.18304466443686462	0.011661582588117909	GREB1	26	
OncotreeSubtype	Breast Invasive Ductal Carcinoma	USE_1960	4	0.2181071035499762	0.06323397205517316	PRLH	6	
OncotreeSubtype	Breast Invasive Ductal Carcinoma	USE_529	5	0.2317060875866735	0.09219990415084962	FRG2B	63	
OncotreeSubtype	Breast Invasive Ductal Carcinoma	USE_1117	6	0.2361317382643183	0.09219990415084962	LRRC49	153	
OncotreeSubtype	Breast Invasive Ductal Carcinoma	USE_2407	7	0.23613473144690628	0.09219990415084962	NWD2	111	
OncotreeSubtype	Breast Invasive Ductal Carcinoma	USE_2454	8	0.24943130269634278	0.14873962076302263	DUX4	0	
OncotreeSubtype	Breast Invasive Ductal Carcinoma	USE_2091	9	0.251546946177337	0.14873962076302263	TFAP2C	4	TFAP2C
OncotreeSubtype	Breast Invasive Ductal Carcinoma	USE_1916	10	0.25316098666358827	0.14873962076302263	ERBB4	528	
OncotreeSubtype	Breast Invasive Ductal Carcinoma	USE_162	11	0.2589082503998879	0.17648075011469475	TTC39A	6	
OncotreeSubtype	Breast Invasive Ductal Carcinoma	USE_3269	12	0.2622019592320145	0.17648075011469475	NRARP	7	
OncotreeSubtype	Breast Invasive Ductal Carcinoma	USE_1533	13	0.2628402515554309	0.17648075011469475	TUBB8B	61	
OncotreeSubtype	Breast Invasive Ductal Carcinoma	USE_547	14	0.2646934993083276	0.17648075011469475	SYT8	1	
OncotreeSubtype	Breast Invasive Ductal Carcinoma	USE_3014	15	0.265532412943158	0.17648075011469475	GRHL2	143	GRHL2
OncotreeSubtype	Chronic Myeloid Leukemia, BCR-ABL1+	USE_1060	1	0.03636544564038817	0.00023223152155518427	PPP2R5C	132	
OncotreeSubtype	Chronic Myeloid Leukemia, BCR-ABL1+	USE_526	2	0.0462454590754189	0.00023223152155518427	PPP2R2D	12	
OncotreeSubtype	Chronic Myeloid Leukemia, BCR-ABL1+	USE_3140	3	0.05329331877342518	0.00023223152155518427	WASHC1	8	
OncotreeSubtype	Chronic Myeloid Leukemia, BCR-ABL1+	USE_3288	4	0.05970284868051439	0.00023223152155518427	MAGIX	17	
OncotreeSubtype	Chronic Myeloid Leukemia, BCR-ABL1+	USE_1786	5	0.05986070217090278	0.00023223152155518427	MFSD2B	25	
OncotreeSubtype	Chronic Myeloid Leukemia, BCR-ABL1+	USE_3096	6	0.06374450442341578	0.00023223152155518427	GSDMC	188	
OncotreeSubtype	Chronic Myeloid Leukemia, BCR-ABL1+	USE_2606	7	0.06442024522731471	0.00023223152155518427	HIVEP1	151	
OncotreeSubtype	Chronic Myeloid Leukemia, BCR-ABL1+	USE_3300	8	0.06587615882532738	0.00023223152155518427	TEX13C	79	
OncotreeSubtype	Chronic Myeloid Leukemia, BCR-ABL1+	USE_709	9	0.07319119188360224	0.00023223152155518427	JRKL	1515	
OncotreeSubtype	Chronic Myeloid Leukemia, BCR-ABL1+	USE_456	10	0.07459614915765836	0.00023223152155518427	HK1	19	
OncotreeSubtype	Chronic Myeloid Leukemia, BCR-ABL1+	USE_2397	11	0.07632365461102986	0.00023223152155518427	WDR1	82	
OncotreeSubtype	Chronic Myeloid Leukemia, BCR-ABL1+	USE_1155	12	0.07700147020021653	0.00023223152155518427	OR4F4	32	
OncotreeSubtype	Chronic Myeloid Leukemia, BCR-ABL1+	USE_444	13	0.07736248873354412	0.00023223152155518427	LYZL2	67	
OncotreeSubtype	Chronic Myeloid Leukemia, BCR-ABL1+	USE_1887	14	0.07740991485403717	0.00023223152155518427	GALNT5	28	
