level	group	n_lines	n_spec_fdr05	n_spec_fdr10	n_spec_fdr25	top15_identity	genes
OncotreeLineage	Bowel	3	223	313	463	0	CDX2:404;TCF7L2:639;VDR:2431;HNF4A:2715;ASCL2:3061;CDX1:3203
OncotreeLineage	Breast	3	2	9	32	3	ESR1:5;TFAP2C:37;SPDEF:43;FOXA1:69;GRHL2:71
OncotreeLineage	Lymphoid	1	78	94	122	0	TCF7:163;RUNX1:266;TLX1:1240
OncotreeLineage	Myeloid	2	0	0	117	0	SPI1:176;GATA1:468;GATA2:681;CEBPA:1003;RUNX1:1028
OncotreeLineage	Ovary/Fallopian Tube	2	47	79	132	1	SOX17:6;PAX8:42
OncotreePrimaryDisease	Acute Myeloid Leukemia	1	116	153	226	0	SPI1:102;CEBPA:291;RUNX1:337
OncotreePrimaryDisease	Colorectal Adenocarcinoma	3	299	370	516	0	CDX2:452;TCF7L2:867;VDR:2340;HNF4A:2688;ASCL2:2977;CDX1:3244
OncotreePrimaryDisease	Invasive Breast Carcinoma	3	19	42	86	3	ESR1:3;SPDEF:33;TFAP2C:48;GRHL2:58;FOXA1:60
OncotreePrimaryDisease	Myeloproliferative Neoplasms	1	77	103	142	0	GATA2:178;GATA1:207;KLF1:710
OncotreePrimaryDisease	Ovarian Epithelial Tumor	2	94	120	178	1	SOX17:7;PAX8:37
OncotreePrimaryDisease	T-Lymphoblastic Leukemia/Lymphoma	1	88	111	140	0	TCF7:138;RUNX1:285;TLX1:1160
OncotreeSubtype	Acute Myeloid Leukemia	1	139	169	244	0	SPI1:100;RUNX1:332;CEBPA:340
OncotreeSubtype	Breast Invasive Ductal Carcinoma	1	3	7	15	2	TFAP2C:9;GRHL2:15;SPDEF:16;FOXA1:56;ESR1:140
OncotreeSubtype	Chronic Myeloid Leukemia, BCR-ABL1+	1	119	147	184	0	GATA1:210;GATA2:216;KLF1:780
OncotreeSubtype	Colon Adenocarcinoma	3	343	405	545	0	CDX2:434;TCF7L2:752;VDR:2124;HNF4A:2645;ASCL2:3064;CDX1:3242
OncotreeSubtype	High-Grade Serous Ovarian Cancer	2	119	142	198	1	SOX17:8;PAX8:31
OncotreeSubtype	Invasive Breast Carcinoma	2	32	44	67	2	ESR1:3;GRHL2:92;FOXA1:152;SPDEF:172;TFAP2C:450
OncotreeSubtype	T-Cell Acute Lymphoblastic Leukemia	1	118	140	178	0	TCF7:130;RUNX1:271;TLX1:1236
line	NIHOVCAR3	1	12	15	25	1	SOX17:10;PAX8:29
line	MCF7	1	27	36	62	2	ESR1:1;SPDEF:59;GRHL2:69;TFAP2C:79;FOXA1:255
line	THP1	1	163	208	280	0	SPI1:95;RUNX1:301;CEBPA:471
line	T47D	1	8	10	22	1	TFAP2C:8;SPDEF:20;GRHL2:21;FOXA1:89;ESR1:167
line	KURAMOCHI	1	144	168	209	0	SOX17:69;PAX8:113
line	K562	1	163	182	237	0	GATA1:208;GATA2:238;KLF1:763
line	HT29	1	89	129	220	0	CDX2:422;TCF7L2:715;HNF4A:1664;VDR:1784;ASCL2:3022;CDX1:3183
line	MDAMB231	1	29	44	107	0	ESR1:232;FOXA1:506;GRHL2:779;SPDEF:2454;TFAP2C:3035
line	HCT116	1	245	274	326	0	TCF7L2:470;VDR:1468;HNF4A:1766;CDX2:2122;ASCL2:3012;CDX1:3113
line	JURKAT	1	147	169	220	0	TCF7:183;RUNX1:261;TLX1:1285
line	DLD1	1	117	183	328	0	CDX2:160;TCF7L2:596;VDR:2023;ASCL2:2290;HNF4A:2756;CDX1:3018
