level	group	se	rank	jsd	fdr	nearest_gene	dist_kb	identity
line	NIHOVCAR3	USE_870	1	0.13453885068999702	2.8617770514295266e-07	TRHDE	106	
line	NIHOVCAR3	USE_2312	2	0.16945548901171215	3.921404009732407e-06	GAP43	115	
line	NIHOVCAR3	USE_570	3	0.1791988567384581	6.310263946485156e-06	SPON1	151	
line	NIHOVCAR3	USE_515	4	0.19849053700661554	2.5435980946869655e-05	EMX2	1	
line	NIHOVCAR3	USE_2732	5	0.23305777315482518	0.00033604094728546525	SIM1	36	
line	NIHOVCAR3	USE_462	6	0.23768555420841816	0.00039942584447536883	SPOCK2	10	
line	NIHOVCAR3	USE_997	7	0.28642466862474864	0.010789790498319516	FOXG1	1	
line	NIHOVCAR3	USE_2993	8	0.2946066552352449	0.014743996778129325	CA2	3	
line	NIHOVCAR3	USE_2803	9	0.2951720069313879	0.014743996778129325	ITGB8	42	
line	NIHOVCAR3	USE_2978	10	0.2990504826445446	0.016944621786193752	SOX17	6	SOX17
line	NIHOVCAR3	USE_178	11	0.3131653325925951	0.036468058109078695	ADGRL2	151	
line	NIHOVCAR3	USE_3046	12	0.318066962909636	0.0446332503626111	ZHX2	96	
line	NIHOVCAR3	USE_2625	13	0.3234551781430017	0.05626779254247509	ID4	5	
line	NIHOVCAR3	USE_685	14	0.3307268959579661	0.07877605450573896	P2RY6	26	
line	NIHOVCAR3	USE_1492	15	0.33368849477867124	0.08662095843477283	ST6GALNAC2	9	
line	MCF7	USE_2762	1	0.182226277104936	0.0023399624341008947	CCDC170	75	ESR1
line	MCF7	USE_418	2	0.18956500637473445	0.0023399624341008947	GATA3	1123	
line	MCF7	USE_2028	3	0.19857848931340244	0.0026986951639860705	ZMYND8	108	
line	MCF7	USE_2522	4	0.20528111857682196	0.0026986951639860705	ISOC1	25	
line	MCF7	USE_1552	5	0.209002965364524	0.0026986951639860705	SLC39A6	20	
line	MCF7	USE_2763	6	0.20963281583188614	0.0026986951639860705	CCDC170	109	ESR1
line	MCF7	USE_3179	7	0.21325474548516155	0.002859492027658113	FBP1	13	
line	MCF7	USE_333	8	0.21541613383284947	0.002859492027658113	NAV1	57	
line	MCF7	USE_3187	9	0.2281577539972322	0.00533900835833501	KLF4	17	
line	MCF7	USE_1439	10	0.23287359283231196	0.006076546309091503	TBX2	49	
line	MCF7	USE_678	11	0.23519706142427016	0.006076546309091503	NADSYN1	3	
line	MCF7	USE_583	12	0.2355239481797509	0.006076546309091503	SLC1A2	61	
line	MCF7	USE_1958	13	0.23875917114280734	0.006718080823548447	COPS8	100	
line	MCF7	USE_1151	14	0.2430710767388124	0.00791307611501559	NR2F2	437	
line	MCF7	USE_2060	15	0.25498014399242225	0.013566815177675677	RIPOR3	31	
line	THP1	USE_2	1	0.05404388109274523	6.753921232099489e-09	OR4F16	47	
line	THP1	USE_2751	2	0.05565593387613043	6.753921232099489e-09	TXLNB	37	
line	THP1	USE_3103	3	0.07399500488370236	1.7931505704774484e-08	EFR3A	137	
line	THP1	USE_363	4	0.0758901970720596	1.7931505704774484e-08	ZC3H11B	149	
line	THP1	USE_787	5	0.07607828281324297	1.7931505704774484e-08	IPO8	209	
line	THP1	USE_2441	6	0.08096119976123758	2.3236616679972164e-08	TLR2	38	
line	THP1	USE_879	7	0.08593404946887515	3.108799417797217e-08	DUSP6	218	
line	THP1	USE_369	8	0.09325650289252753	5.198024031072762e-08	CNIH4	33	
line	THP1	USE_2575	9	0.09797701708852771	6.978875383510528e-08	COL23A1	86	
line	THP1	USE_328	10	0.10081807155536368	7.710039045851509e-08	ZNF281	57	
line	THP1	USE_1882	11	0.10152533867324404	7.710039045851509e-08	RND3	182	
line	THP1	USE_3004	12	0.10245253447978919	7.710039045851509e-08	SDC2	70	
line	THP1	USE_1813	13	0.10468405568398842	8.621550865289062e-08	VRK2	596	
line	THP1	USE_881	14	0.10693374290037642	9.547309143504717e-08	PLEKHG7	228	
line	THP1	USE_2371	15	0.10770266325175437	9.547309143504717e-08	LPP	270	
line	T47D	USE_1	1	0.07270579109044975	6.650637509522215e-13	OR4F16	55	
line	T47D	USE_1845	2	0.19275298698248178	8.009739673279825e-07	RPIA	1113	
line	T47D	USE_1780	3	0.2652540319037249	0.0005342171230997934	GREB1	26	
line	T47D	USE_1960	4	0.2925278856121918	0.0037434590145964384	PRLH	6	
line	T47D	USE_529	5	0.3169334460776415	0.01863077533030068	FRG2B	63	
line	T47D	USE_1117	6	0.3327715360532826	0.04478369305528525	LRRC49	153	
line	T47D	USE_2454	7	0.3344628925667407	0.04478369305528525	DUX4	0	
line	T47D	USE_2091	8	0.3366562961193603	0.04534637279989081	TFAP2C	4	TFAP2C
line	T47D	USE_1916	9	0.34245779264257176	0.05894085370867256	ERBB4	528	
line	T47D	USE_2407	10	0.34738186175081165	0.07271987811300705	NWD2	111	
line	T47D	USE_162	11	0.35483174995885125	0.1029716727066868	TTC39A	6	
line	T47D	USE_1533	12	0.3558964421451081	0.1029716727066868	TUBB8B	61	
line	T47D	USE_203	13	0.36528027121957496	0.16569140255206705	ELAPOR1	3	
line	T47D	USE_3269	14	0.36644151554876947	0.16569140255206705	NRARP	7	
line	T47D	USE_2488	15	0.3690935972125448	0.17861324353232075	EMB	756	
line	KURAMOCHI	USE_2470	1	0.11265166811832071	1.363685578380142e-08	CDH6	190	
line	KURAMOCHI	USE_365	2	0.11651506324002803	1.363685578380142e-08	DUSP10	358	
line	KURAMOCHI	USE_2986	3	0.1284720127303992	3.138411799885267e-08	SULF1	492	
line	KURAMOCHI	USE_2778	4	0.13448457159967364	4.335318779039056e-08	AGPAT4	282	
line	KURAMOCHI	USE_2979	5	0.1370433950014235	4.4865791975020515e-08	XKR4	290	
line	KURAMOCHI	USE_2131	6	0.144332236013692	7.721037916502698e-08	ADAMTS5	254	
line	KURAMOCHI	USE_950	7	0.14992446828399475	1.0513737568068034e-07	SIAH3	57	
line	KURAMOCHI	USE_2471	8	0.1504195948557312	1.0513737568068034e-07	CDH6	142	
line	KURAMOCHI	USE_359	9	0.1586253733408066	2.060622091643601e-07	PPP2R5A	101	
line	KURAMOCHI	USE_2723	10	0.1607346333136755	2.266939103525168e-07	COL12A1	673	
line	KURAMOCHI	USE_175	11	0.16355807936151068	2.6180588226258644e-07	WLS	131	
line	KURAMOCHI	USE_2628	12	0.1641855104021162	2.6180588226258644e-07	KAAG1	35	
line	KURAMOCHI	USE_2070	13	0.16835400536703474	3.4780623749013297e-07	TSHZ2	196	
line	KURAMOCHI	USE_2560	14	0.17153791767034182	4.339025334310071e-07	FGF18	16	
line	KURAMOCHI	USE_2474	15	0.17315081633911644	4.6990638894091843e-07	RAI14	31	
line	K562	USE_1060	1	0.06532714026452993	1.225524877297543e-08	PPP2R5C	132	
line	K562	USE_526	2	0.06597854202954877	1.225524877297543e-08	PPP2R2D	12	
line	K562	USE_3140	3	0.08176375440218672	3.5162950259241096e-08	WASHC1	8	
line	K562	USE_3096	4	0.0891001973072019	4.709514615104679e-08	GSDMC	188	
line	K562	USE_1786	5	0.09066340658646545	4.709514615104679e-08	MFSD2B	25	
line	K562	USE_3288	6	0.09408287335116591	5.3227603404040726e-08	MAGIX	17	
line	K562	USE_2397	7	0.09764181850235523	6.251102800206319e-08	WDR1	82	
line	K562	USE_3300	8	0.0993588065980715	6.361971457000496e-08	TEX13C	79	
line	K562	USE_709	9	0.10160390988711313	6.884991453485815e-08	JRKL	1515	
line	K562	USE_2606	10	0.10602990299386057	9.109057421128167e-08	HIVEP1	151	
line	K562	USE_456	11	0.11074956547817112	1.244000946129407e-07	HK1	19	
line	K562	USE_186	12	0.11215676787391263	1.2864445454021025e-07	LRRC8D	20	
line	K562	USE_1155	13	0.11434882559044313	1.3628215928888694e-07	OR4F4	32	
