level	group	se	rank	jsd	fdr	nearest_gene	dist_kb	identity
OncotreeLineage	Bowel	USE_1932	1	0.058075173588422756	0.007548587359893276	IRS1	574	
OncotreeLineage	Bowel	USE_438	2	0.05846552407697727	0.00761629430246452	MPP7	54	
OncotreeLineage	Bowel	USE_2302	3	0.06185300790134115	0.008561171188739008	ZBTB20	83	
OncotreeLineage	Bowel	USE_2436	4	0.06633462067485232	0.01009179047610595	ANXA10	66	
OncotreeLineage	Bowel	USE_2747	5	0.06732670967224644	0.010294068679138825	UTRN	328	
OncotreeLineage	Bowel	USE_3071	6	0.06886074121986974	0.010835976872265457	POU5F1B	114	
OncotreeLineage	Bowel	USE_2393	7	0.06903875575574794	0.010837721240890294	HS3ST1	287	
OncotreeLineage	Bowel	USE_2510	8	0.07213729113090078	0.011952214814101953	AP3S1	51	
OncotreeLineage	Bowel	USE_3064	9	0.07319307159686124	0.012312568135950764	TRIB1	248	
OncotreeLineage	Bowel	USE_1507	10	0.07467669401690402	0.012843467468338025	AATK	5	
OncotreeLineage	Bowel	USE_576	11	0.07566225672066353	0.013301257516673395	KIF18A	129	
OncotreeLineage	Bowel	USE_2326	12	0.07748688187050402	0.01417559032337057	COPB2	63	
OncotreeLineage	Bowel	USE_1929	13	0.07823038289154005	0.014334044450613884	AP1S3	97	
OncotreeLineage	Bowel	USE_877	14	0.07919669693457289	0.01473306345851231	DUSP6	402	
OncotreeLineage	Bowel	USE_2399	15	0.08009837717017565	0.015103164097722941	PCDH7	130	
OncotreeLineage	Breast	USE_3286	1	0.05585411113861801	0.05112946484193237	PLS3	126	
OncotreeLineage	Breast	USE_2754	2	0.08335249098292999	0.0778790547021197	CCDC170	75	ESR1
OncotreeLineage	Breast	USE_417	3	0.08529970130844955	0.08080495163203165	GATA3	1123	
OncotreeLineage	Breast	USE_1775	4	0.08682779606077876	0.08224085452575709	GREB1	26	
OncotreeLineage	Breast	USE_1547	5	0.0869808899369525	0.08224085452575709	SLC39A6	20	
OncotreeLineage	Breast	USE_2755	6	0.08856749560907826	0.08447767152766324	CCDC170	109	ESR1
OncotreeLineage	Breast	USE_1149	7	0.08864922797128866	0.08447767152766324	NR2F2	437	
OncotreeLineage	Breast	USE_2511	8	0.09420554914444432	0.09176409184648669	DTWD2	896	
OncotreeLineage	Breast	USE_756	9	0.09677649232265936	0.09414024269134191	RERG	9	
OncotreeLineage	Breast	USE_1914	10	0.09784083050137991	0.0954396841307192	TNS1	237	
OncotreeLineage	Breast	USE_2022	11	0.09928579261559328	0.09727166137437569	ZMYND8	108	
OncotreeLineage	Breast	USE_3171	12	0.099949418746622	0.09825628475847029	FBP1	13	
OncotreeLineage	Breast	USE_3288	13	0.10197358268755483	0.10170709296520783	PLS3	280	
OncotreeLineage	Breast	USE_2514	14	0.10201525759719426	0.10170709296520783	ISOC1	25	
OncotreeLineage	Breast	USE_582	15	0.10234430750309309	0.10188142613399037	SLC1A2	61	
OncotreeLineage	Lymphoid	USE_2911	1	0.017800013742449994	0.0008376322204727177	EXOC4	172	
OncotreeLineage	Lymphoid	USE_2918	2	0.018203077140236987	0.0008376322204727177	PRSS2	34	
OncotreeLineage	Lymphoid	USE_2093	3	0.018852773959946677	0.0008376322204727177	CDH4	95	
OncotreeLineage	Lymphoid	USE_3138	4	0.01953568413142901	0.0008376322204727177	DMAC1	133	
OncotreeLineage	Lymphoid	USE_3160	5	0.021265230902263593	0.0008376322204727177	RORB	349	
OncotreeLineage	Lymphoid	USE_3242	6	0.02230447404100591	0.0008376322204727177	SARDH	0	
OncotreeLineage	Lymphoid	USE_2155	7	0.022608989143495146	0.0008376322204727177	PCNT	39	
OncotreeLineage	Lymphoid	USE_1865	8	0.02273804628841068	0.0008376322204727177	MYO7B	25	
OncotreeLineage	Lymphoid	USE_2733	9	0.02346861968761573	0.0008376322204727177	THEMIS	138	
OncotreeLineage	Lymphoid	USE_2858	10	0.023962391286688114	0.0008376322204727177	PVRIG	0	
OncotreeLineage	Lymphoid	USE_196	11	0.026050313880209938	0.0008376322204727177	S1PR1	70	
OncotreeLineage	Lymphoid	USE_25	12	0.02652891211388291	0.0008376322204727177	NPHP4	48	
OncotreeLineage	Lymphoid	USE_1290	13	0.02662035805248379	0.0008376322204727177	RFLNB	25	
OncotreeLineage	Lymphoid	USE_954	14	0.026808426062404297	0.0008376322204727177	RNASEH2B	73	
OncotreeLineage	Lymphoid	USE_738	15	0.02690221061157323	0.0008376322204727177	KCNA6	18	
OncotreeLineage	Myeloid	USE_2743	1	0.0351268681308778	0.024614568016921093	TXLNB	37	
OncotreeLineage	Myeloid	USE_3095	2	0.046958579929562955	0.03110913205537505	EFR3A	137	
OncotreeLineage	Myeloid	USE_1	3	0.04981118962818255	0.032665112645989716	OR4F16	47	
OncotreeLineage	Myeloid	USE_786	4	0.05440189105049203	0.03522338679836484	IPO8	209	
OncotreeLineage	Myeloid	USE_362	5	0.05652606584034064	0.03670036963231136	ZC3H11B	149	
OncotreeLineage	Myeloid	USE_525	6	0.05772355336206033	0.037358781802724	PPP2R2D	12	
OncotreeLineage	Myeloid	USE_878	7	0.05950739149588768	0.03804116242665501	DUSP6	218	
OncotreeLineage	Myeloid	USE_2434	8	0.06342905913283606	0.0409732376563311	TLR2	38	
OncotreeLineage	Myeloid	USE_170	9	0.06439795967321613	0.04194765613129485	DYNLT5	23	
OncotreeLineage	Myeloid	USE_1876	10	0.06528435021176143	0.042529013485377985	RND3	182	
OncotreeLineage	Myeloid	USE_416	11	0.06610626414103744	0.04308552963536602	SFMBT2	256	
OncotreeLineage	Myeloid	USE_708	12	0.06903647991620691	0.045327728988682016	JRKL	1515	
OncotreeLineage	Myeloid	USE_1058	13	0.07364166481345985	0.04959530873429038	PPP2R5C	132	
OncotreeLineage	Myeloid	USE_1314	14	0.07379199839241805	0.04959530873429038	PIK3R5	3	
OncotreeLineage	Myeloid	USE_3132	15	0.07433631939989688	0.04992892399851091	WASHC1	8	
OncotreeLineage	Ovary/Fallopian Tube	USE_569	1	0.03265182141603794	0.0008376322204727177	SPON1	151	
OncotreeLineage	Ovary/Fallopian Tube	USE_514	2	0.03489938831095492	0.0008376322204727177	EMX2	1	
OncotreeLineage	Ovary/Fallopian Tube	USE_2552	3	0.05502047278491966	0.0008376322204727177	FGF18	16	
OncotreeLineage	Ovary/Fallopian Tube	USE_684	4	0.05948031581660457	0.0008376322204727177	P2RY6	26	
OncotreeLineage	Ovary/Fallopian Tube	USE_1546	5	0.06153569894376109	0.0008376322204727177	KLHL14	48	
OncotreeLineage	Ovary/Fallopian Tube	USE_2087	6	0.06376601534118748	0.0008376322204727177	SPO11	51	
OncotreeLineage	Ovary/Fallopian Tube	USE_54	7	0.07022107108281368	0.0008376322204727177	TMEM51	156	
OncotreeLineage	Ovary/Fallopian Tube	USE_2970	8	0.07070488772472718	0.0008376322204727177	SOX17	6	SOX17
OncotreeLineage	Ovary/Fallopian Tube	USE_473	9	0.07244307067908266	0.0008376322204727177	LRMDA	148	
OncotreeLineage	Ovary/Fallopian Tube	USE_693	10	0.07590240964249109	0.0008423652843965089	EMSY	78	
OncotreeLineage	Ovary/Fallopian Tube	USE_948	11	0.08355124352895159	0.001002888840054846	SIAH3	57	
OncotreeLineage	Ovary/Fallopian Tube	USE_174	12	0.08664522456579099	0.001111524404219848	WLS	131	
OncotreeLineage	Ovary/Fallopian Tube	USE_2978	13	0.08851214572207508	0.0012039299038965187	SULF1	492	
