level	group	se	rank	jsd	fdr	nearest_gene	dist_kb	identity
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_2743	1	0.021137523287165484	0.002047892729736449	TXLNB	37	
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_1	2	0.03237175581144464	0.002763734141565765	OR4F16	47	
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_362	3	0.035531541546040615	0.002930858946334832	ZC3H11B	149	
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_3095	4	0.035708088528950396	0.002930858946334832	EFR3A	137	
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_878	5	0.03597923699777268	0.002939470456379833	DUSP6	218	
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_2434	6	0.039714852150651195	0.003209705516652199	TLR2	38	
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_786	7	0.03984197263216778	0.003209705516652199	IPO8	209	
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_1876	8	0.04144121486760191	0.0033236082397780386	RND3	182	
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_170	9	0.04343358991402763	0.0035065108851190826	DYNLT5	23	
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_2567	10	0.04914371602382861	0.0039968883625082505	COL23A1	86	
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_1808	11	0.04935759082228079	0.004010837666490498	VRK2	596	
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_3302	12	0.050297208794263665	0.004129064644073725	CDY1	31133	
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_1314	13	0.05120373165223389	0.004228664289686729	PIK3R5	3	
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_2153	14	0.05450668292962384	0.004546935008138391	COL6A2	60	
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_950	15	0.055497582872141904	0.004626615042300627	RUBCNL	57	
OncotreePrimaryDisease	Colorectal Adenocarcinoma	USE_438	1	0.06852536456569339	0.001231241948430597	MPP7	54	
OncotreePrimaryDisease	Colorectal Adenocarcinoma	USE_1932	2	0.0688739310654044	0.0012360860695403992	IRS1	574	
OncotreePrimaryDisease	Colorectal Adenocarcinoma	USE_2302	3	0.07110682400038047	0.001321638803569608	ZBTB20	83	
OncotreePrimaryDisease	Colorectal Adenocarcinoma	USE_2436	4	0.07803965033256938	0.001739509835973274	ANXA10	66	
OncotreePrimaryDisease	Colorectal Adenocarcinoma	USE_2393	5	0.08110671416053317	0.001944520251624355	HS3ST1	287	
OncotreePrimaryDisease	Colorectal Adenocarcinoma	USE_1507	6	0.08170800879509742	0.0019731534943998605	AATK	5	
OncotreePrimaryDisease	Colorectal Adenocarcinoma	USE_3071	7	0.08426994298328222	0.002185204179750654	POU5F1B	114	
OncotreePrimaryDisease	Colorectal Adenocarcinoma	USE_2510	8	0.08550555085153083	0.0022643818188222485	AP3S1	51	
OncotreePrimaryDisease	Colorectal Adenocarcinoma	USE_576	9	0.08577359594515277	0.0022763844908696984	KIF18A	129	
OncotreePrimaryDisease	Colorectal Adenocarcinoma	USE_3064	10	0.08666272275354431	0.0023398343485486884	TRIB1	248	
OncotreePrimaryDisease	Colorectal Adenocarcinoma	USE_2747	11	0.0875441356686738	0.0024302492304639936	UTRN	328	
OncotreePrimaryDisease	Colorectal Adenocarcinoma	USE_2399	12	0.09095370750428676	0.002763734141565765	PCDH7	130	
OncotreePrimaryDisease	Colorectal Adenocarcinoma	USE_2907	13	0.09259081547271007	0.002874800210108035	KLF14	117	
OncotreePrimaryDisease	Colorectal Adenocarcinoma	USE_877	14	0.09261857574416718	0.002874800210108035	DUSP6	402	
OncotreePrimaryDisease	Colorectal Adenocarcinoma	USE_2392	15	0.09356580561244987	0.002930858946334832	HS3ST1	134	
OncotreePrimaryDisease	Invasive Breast Carcinoma	USE_3286	1	0.06914433430782072	0.011357527661790604	PLS3	126	
OncotreePrimaryDisease	Invasive Breast Carcinoma	USE_2754	2	0.09317424098471047	0.01967696149391094	CCDC170	75	ESR1
