level	group	n_lines	n_spec_fdr05	n_spec_fdr10	n_spec_fdr25	top15_identity	genes
OncotreeLineage	Bowel	2	95	166	259	0	CDX2:454;TCF7L2:647;VDR:2218;HNF4A:2318;ASCL2:3086;CDX1:3182
OncotreeLineage	Breast	1	0	12	62	2	ESR1:2;SPDEF:32;GRHL2:63;TFAP2C:74;FOXA1:106
OncotreeLineage	Lymphoid	1	104	129	187	0	TCF7:270;RUNX1:296;TLX1:1351
OncotreeLineage	Myeloid	2	15	75	150	0	SPI1:203;GATA1:468;CEBPA:511;GATA2:730;RUNX1:884
OncotreeLineage	Ovary/Fallopian Tube	2	103	137	197	1	SOX17:8;PAX8:84
OncotreePrimaryDisease	Acute Myeloid Leukemia	1	97	124	182	0	SPI1:126;CEBPA:215;RUNX1:316
OncotreePrimaryDisease	Colorectal Adenocarcinoma	2	171	213	315	0	CDX2:499;TCF7L2:900;VDR:2118;HNF4A:2254;ASCL2:3013;CDX1:3218
OncotreePrimaryDisease	Invasive Breast Carcinoma	1	27	54	108	2	ESR1:2;SPDEF:25;GRHL2:63;TFAP2C:72;FOXA1:95
OncotreePrimaryDisease	Myeloproliferative Neoplasms	1	111	138	196	0	GATA2:191;GATA1:257;KLF1:1006
OncotreePrimaryDisease	Ovarian Epithelial Tumor	2	141	174	234	1	SOX17:8;PAX8:78
OncotreePrimaryDisease	T-Lymphoblastic Leukemia/Lymphoma	1	137	159	211	0	TCF7:214;RUNX1:326;TLX1:1270
OncotreeSubtype	Acute Myeloid Leukemia	1	97	124	182	0	SPI1:126;CEBPA:215;RUNX1:316
OncotreeSubtype	Chronic Myeloid Leukemia, BCR-ABL1+	1	111	138	196	0	GATA2:191;GATA1:257;KLF1:1006
OncotreeSubtype	Colon Adenocarcinoma	2	171	213	315	0	CDX2:499;TCF7L2:900;VDR:2118;HNF4A:2254;ASCL2:3013;CDX1:3218
OncotreeSubtype	High-Grade Serous Ovarian Cancer	2	141	174	234	1	SOX17:8;PAX8:78
OncotreeSubtype	Invasive Breast Carcinoma	1	27	54	108	2	ESR1:2;SPDEF:25;GRHL2:63;TFAP2C:72;FOXA1:95
OncotreeSubtype	T-Cell Acute Lymphoblastic Leukemia	1	137	159	211	0	TCF7:214;RUNX1:326;TLX1:1270
line	NIHOVCAR3	1	28	51	90	1	SOX17:15;PAX8:45
line	MCF7	1	55	75	123	2	ESR1:2;SPDEF:35;GRHL2:57;TFAP2C:78;FOXA1:125
line	THP1	1	123	152	200	0	SPI1:122;CEBPA:249;RUNX1:281
line	KURAMOCHI	1	150	174	223	0	SOX17:82;PAX8:180
line	K562	1	139	168	221	0	GATA2:228;GATA1:248;KLF1:945
line	HT29	1	76	115	178	0	CDX2:170;TCF7L2:761;HNF4A:1520;VDR:2065;ASCL2:2777;CDX1:3191
line	HCT116	1	197	227	280	0	TCF7L2:637;VDR:1785;CDX2:1895;HNF4A:2131;ASCL2:2924;CDX1:3177
line	JURKAT	1	151	179	223	0	RUNX1:291;TCF7:322;TLX1:1263
