level	group	se	rank	jsd	fdr	nearest_gene	dist_kb	identity
line	NIHOVCAR3	USE_869	1	0.08714000431286822	1.677736314149313e-08	TRHDE	106	
line	NIHOVCAR3	USE_2724	2	0.12952383253409328	2.778536878931777e-07	SIM1	36	
line	NIHOVCAR3	USE_569	3	0.15631423104644973	2.296407737434345e-06	SPON1	151	
line	NIHOVCAR3	USE_461	4	0.18831177734097515	1.7073787738766555e-05	SPOCK2	10	
line	NIHOVCAR3	USE_2305	5	0.19014552651224612	1.9076316546929648e-05	GAP43	115	
line	NIHOVCAR3	USE_514	6	0.19172212393285468	2.027170759371843e-05	EMX2	1	
line	NIHOVCAR3	USE_995	7	0.20380447243825273	4.2106156343681816e-05	FOXG1	1	
line	NIHOVCAR3	USE_177	8	0.24417801917026788	0.0004429930772860168	ADGRL2	151	
line	NIHOVCAR3	USE_2985	9	0.260710542530903	0.001151602502261335	CA2	3	
line	NIHOVCAR3	USE_1488	10	0.2698048480489744	0.0018709821211792034	ST6GALNAC2	9	
line	NIHOVCAR3	USE_3038	11	0.27390297602801905	0.0023378180596267083	ZHX2	96	
line	NIHOVCAR3	USE_2086	12	0.27479335821939016	0.0024407663607697644	BMP7	47	
line	NIHOVCAR3	USE_2617	13	0.27677974787665544	0.0026748807309137377	ID4	5	
line	NIHOVCAR3	USE_2389	14	0.2780369184830792	0.002831209412368328	ABLIM2	92	
line	NIHOVCAR3	USE_2970	15	0.28653007537940656	0.004364693435312414	SOX17	6	SOX17
line	MCF7	USE_3286	1	0.09468543686849422	0.0009090770958798879	PLS3	126	
line	MCF7	USE_2754	2	0.12206969060799096	0.0023971461256568545	CCDC170	75	ESR1
line	MCF7	USE_417	3	0.1257356006436979	0.0026748807309137377	GATA3	1123	
line	MCF7	USE_1775	4	0.1265887004381941	0.002736966339896996	GREB1	26	
line	MCF7	USE_1547	5	0.12788757308889048	0.0028505837414775905	SLC39A6	20	
line	MCF7	USE_1149	6	0.12926158752542793	0.0029839849933448273	NR2F2	437	
line	MCF7	USE_2755	7	0.13572415435597318	0.003714373580915772	CCDC170	109	ESR1
line	MCF7	USE_2511	8	0.13624219596379672	0.0037701914112446703	DTWD2	896	
line	MCF7	USE_1914	9	0.14537370339040523	0.00509515132514088	TNS1	237	
line	MCF7	USE_756	10	0.1488561778547748	0.005680589726519824	RERG	9	
line	MCF7	USE_582	11	0.15240308227854332	0.006412522397493762	SLC1A2	61	
line	MCF7	USE_2022	12	0.15473230205795468	0.006868258629408489	ZMYND8	108	
line	MCF7	USE_2514	13	0.15556869334280254	0.007007486524997471	ISOC1	25	
line	MCF7	USE_3171	14	0.15561212487021547	0.007007486524997471	FBP1	13	
line	MCF7	USE_3288	15	0.15801229007154174	0.007525677205833242	PLS3	280	
line	THP1	USE_2743	1	0.02945459850392858	3.657075475220567e-05	TXLNB	37	
