level	group	se	rank	jsd	fdr	nearest_gene	dist_kb	identity	cn_mean
OncotreeLineage	Biliary Tract	USE_15507	1	0.3344181765490115	6.169789983194269e-42	CNGB1	29		0.758
OncotreeLineage	Biliary Tract	USE_15506	2	0.3365341635728906	2.5537218968131756e-41	CNGB1	34		0.758
OncotreeLineage	Biliary Tract	USE_15925	3	0.36042645592118083	1.0910074873070008e-34	FOXL1	5		0.658
OncotreeLineage	Biliary Tract	USE_1760	4	0.3673361087721758	6.952145631667547e-33	SLC44A3	73		1.026
OncotreeLineage	Biliary Tract	USE_27332	5	0.3719293894350528	1.034231623706817e-31	ADAMTS9	433		0.656
OncotreeLineage	Biliary Tract	USE_1755	6	0.3907527990517724	3.9554668711693645e-27	F3	71		0.991
OncotreeLineage	Biliary Tract	USE_1791	7	0.39199106151557994	7.702567522359936e-27	DPYD	151		0.986
OncotreeLineage	Biliary Tract	USE_11771	8	0.39581288362925726	5.848516138732432e-26	MYO16	128		0.779
OncotreeLineage	Biliary Tract	USE_24784	9	0.3988002094974662	2.790197613308951e-25	BMP7	229		1.302
OncotreeLineage	Biliary Tract	USE_14330	10	0.40083052904964905	7.960292284285135e-25	ARNT2	87		1.008
OncotreeLineage	Biliary Tract	USE_15549	11	0.40344148135250985	3.038219452251462e-24	BEAN1	26		0.759
OncotreeLineage	Biliary Tract	USE_19982	12	0.4041020540952809	4.24871989865694e-24	SIGLEC8	18		0.898
OncotreeLineage	Biliary Tract	USE_41918	13	0.40449715124599456	5.178838987891345e-24	LCN2	1		0.923
OncotreeLineage	Biliary Tract	USE_42939	14	0.40469465255926795	5.721286161744052e-24	CDY1	31071		1.0
OncotreeLineage	Biliary Tract	USE_14194	15	0.406901148014626	1.7397732010453097e-23	CYP11A1	31		1.017
OncotreeLineage	Bladder/Urinary Tract	USE_41579	1	0.39662603759963344	3.9400889201880084e-45	PTPN3	100		1.174
OncotreeLineage	Bladder/Urinary Tract	USE_20043	2	0.3999367725183668	8.450035375662857e-44	VSTM1	13		0.702
OncotreeLineage	Bladder/Urinary Tract	USE_3506	3	0.42667936043343946	8.552671230474161e-34	GOLT1A	20		1.039
OncotreeLineage	Bladder/Urinary Tract	USE_41580	4	0.4268028423090728	9.433659522938702e-34	PTPN3	119		1.174
OncotreeLineage	Bladder/Urinary Tract	USE_486	5	0.42760320741260743	1.795822287834747e-33	UBXN10	20		1.098
OncotreeLineage	Bladder/Urinary Tract	USE_22142	6	0.4307173339723528	2.1275832035829262e-32	GYPC	964		0.962
OncotreeLineage	Bladder/Urinary Tract	USE_2545	7	0.4431543490250297	2.7684093944765557e-28	IVL	3		1.103
OncotreeLineage	Bladder/Urinary Tract	USE_25514	8	0.44372442774283066	4.199801051647817e-28	WDR4	48		1.147
OncotreeLineage	Bladder/Urinary Tract	USE_34405	9	0.4470442097346203	4.644939288881448e-27	HTR1E	621		0.884
OncotreeLineage	Bladder/Urinary Tract	USE_27788	10	0.4496970445524101	3.089737607436074e-26	TEX55	7		1.315
OncotreeLineage	Bladder/Urinary Tract	USE_3664	11	0.4539258552509171	5.9050023357356475e-25	CAMK1G	214		1.077
OncotreeLineage	Bladder/Urinary Tract	USE_27790	12	0.4547715598551791	1.0557807095486153e-24	UPK1B	12		1.221
OncotreeLineage	Bladder/Urinary Tract	USE_28466	13	0.45502231627491435	1.2526754434793465e-24	GOLIM4	368		1.174
OncotreeLineage	Bladder/Urinary Tract	USE_3456	14	0.45713514915920184	5.289678723728454e-24	RABIF	46		0.995
OncotreeLineage	Bladder/Urinary Tract	USE_20032	15	0.4577729070674397	8.120621543620001e-24	DPRX	11		0.853
OncotreeLineage	Bone	USE_13093	1	0.19244806102725165	7.43446686124584e-156	VRK1	339		1.094
OncotreeLineage	Bone	USE_13092	2	0.21356150422991219	9.334720074417364e-141	VRK1	337		1.094
OncotreeLineage	Bone	USE_3242	3	0.237387307911547	2.0511681723492037e-124	HMCN1	246		1.22
OncotreeLineage	Bone	USE_18121	4	0.24119136226696894	6.353905733674303e-122	APCDD1	9		1.084
OncotreeLineage	Bone	USE_38410	5	0.2500510357619531	2.753923988363939e-116	STMN4	33		1.285
OncotreeLineage	Bone	USE_26516	6	0.2541634961768398	1.1452266815560473e-113	LMCD1	226		0.889
OncotreeLineage	Bone	USE_36057	7	0.26509545228041514	6.830646767780813e-107	NEUROD6	4		1.115
OncotreeLineage	Bone	USE_41696	8	0.26651857406291735	4.970003720192654e-106	TNC	345		1.035
OncotreeLineage	Bone	USE_41707	9	0.2694504537959661	2.8011737660594504e-104	PAPPA	413		0.99
OncotreeLineage	Bone	USE_42547	10	0.26986914532636896	4.868274337400223e-104	XAGE1B	1		0.97
OncotreeLineage	Bone	USE_5901	11	0.27342973746512134	6.6770073808721444e-102	XPNPEP1	702		0.993
OncotreeLineage	Bone	USE_29389	12	0.2753877333794622	9.516443991352446e-101	QDPR	391		0.887
OncotreeLineage	Bone	USE_3241	13	0.2754761000474614	1.0421051866721841e-100	HMCN1	275		1.22
OncotreeLineage	Bone	USE_40679	14	0.2770690702085451	9.155441231525637e-100	CER1	1		2.054
OncotreeLineage	Bone	USE_41223	15	0.27767368134599335	2.045635037121669e-99	GAS1	297		0.968
OncotreeLineage	Bowel	USE_15392	1	0.30058081941657644	4.6865869866303955e-64	CYLD	16		1.096
OncotreeLineage	Bowel	USE_33073	2	0.37926014846324585	7.171166790701334e-36	FOXQ1	258		0.804
OncotreeLineage	Bowel	USE_17405	3	0.3923083552479595	5.440080197027941e-32	AXIN2	87		1.213
OncotreeLineage	Bowel	USE_24422	4	0.4059601598187006	3.6500191807984387e-28	R3HDML	12	HNF4A	1.24
OncotreeLineage	Bowel	USE_17306	5	0.40670098830525203	5.764856054375653e-28	MED13	161		1.084
OncotreeLineage	Bowel	USE_16174	6	0.4137659449414292	4.324926503290143e-26	SPNS3	15		0.973
OncotreeLineage	Bowel	USE_597	7	0.41409926411826914	5.272587631479826e-26	SYF2	28		0.94
OncotreeLineage	Bowel	USE_39987	8	0.4193273573096066	1.157299519457099e-24	POU5F1B	123		9.498
OncotreeLineage	Bowel	USE_10869	9	0.4194185502600509	1.2208514629289659e-24	SGCG	461		1.096
OncotreeLineage	Bowel	USE_10073	10	0.42129162565634865	3.639291032367332e-24	EEA1	170		1.06
OncotreeLineage	Bowel	USE_478	11	0.42237434608304786	6.752927107329097e-24	PLA2G2E	4		0.992
OncotreeLineage	Bowel	USE_35527	12	0.4240348595558123	1.7500195799799974e-23	ADAP1	0		1.139
OncotreeLineage	Bowel	USE_20536	13	0.42557238864023905	4.1882056819956345e-23	VSNL1	18		1.091
OncotreeLineage	Bowel	USE_10951	14	0.4264092197866134	6.710386117245469e-23	CDX2	3	CDX2	6.288
OncotreeLineage	Bowel	USE_17403	15	0.4280456675561848	1.6752608544757491e-22	AXIN2	142		1.213
OncotreeLineage	Breast	USE_7091	1	0.4364090230825583	5.369084934238964e-34	SLC15A3	2		1.078
OncotreeLineage	Breast	USE_20580	2	0.44153474379837976	4.115613459746003e-32	RHOB	26		1.116
OncotreeLineage	Breast	USE_23653	3	0.4419411369059091	5.767827937576669e-32	FAM240C	5		0.79
OncotreeLineage	Breast	USE_34548	4	0.44299079825594073	1.3877902082924833e-31	QRSL1	124		0.978
OncotreeLineage	Breast	USE_15826	5	0.44883659526264097	1.6191903518972278e-29	MPHOSPH6	170		1.031
OncotreeLineage	Breast	USE_2034	6	0.45025864431947416	5.0407453057601716e-29	LRIG2	149		0.984
OncotreeLineage	Breast	USE_34547	7	0.4525025496196722	2.95761224643101e-28	QRSL1	118		0.978
OncotreeLineage	Breast	USE_42158	8	0.4526294112835331	3.269674696616256e-28	PPP1R26	90		1.016
OncotreeLineage	Breast	USE_39607	9	0.4548105679130435	1.7664006868629e-27	TRPS1	170		2.009
OncotreeLineage	Breast	USE_41725	10	0.4559823604704375	4.351611914338886e-27	TLR4	319		0.948
OncotreeLineage	Breast	USE_19062	11	0.45781249207637204	1.758738755597165e-26	XAB2	5		0.929
OncotreeLineage	Breast	USE_28966	12	0.460465837888985	1.2893421628615538e-25	FGF12	144		1.225
OncotreeLineage	Breast	USE_424	13	0.4628916383011042	7.717133942075737e-25	RCC2	13		0.935
OncotreeLineage	Breast	USE_7309	14	0.46290337021162564	7.77910987075711e-25	ALDH3B2	3		1.338
OncotreeLineage	Breast	USE_42159	15	0.46368749782486085	1.377410551916308e-24	PPP1R26	85		1.016
OncotreeLineage	CNS/Brain	USE_40282	1	0.16859583883442653	4.301406936935604e-192	KHDRBS3	962		0.948
OncotreeLineage	CNS/Brain	USE_40285	2	0.1872278303653525	2.736597176641205e-176	KHDRBS3	1064		0.948
