level	group	se	rank	jsd	fdr	nearest_gene	dist_kb	identity	cn_mean
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_13476	1	0.40173599898342127	1.2254643748161358e-51	GOLGA8N	12		1.012
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_13442	2	0.4049992676734189	2.9423363497605824e-50	GOLGA8Q	12		0.984
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_13472	3	0.41012649388887795	3.9850828872597436e-48	GOLGA8O	12		1.012
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_40120	4	0.4226294096651502	4.01593774841303e-43	GSDMC	101		1.566
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_31849	5	0.42419761332002215	1.6241660750348683e-42	MEF2C	238		0.854
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_5038	6	0.42989579533720784	2.401969942855124e-40	RET	130		0.934
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_7489	7	0.43749790671376354	1.5219964734788153e-37	P2RY2	25		1.085
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_22641	8	0.4395953462734902	8.66485191974987e-37	ITGA6	47		1.974
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_39722	9	0.44481366997200494	6.099847807972105e-35	DEPTOR	103		1.427
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_1703	10	0.44611033491459545	1.7262815524217997e-34	GFI1	19		1.071
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_2697	11	0.4469416983556672	3.3393655580790545e-34	FCRL5	129		1.095
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_42580	12	0.4494443500670606	2.416451008662843e-33	VSIG4	29		0.592
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_28939	13	0.4501765353322331	4.298111025971218e-33	IL1RAP	31		1.039
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_18873	14	0.45061676321949035	6.06275009902007e-33	PRSS57	4		0.966
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_42658	15	0.4525952323552971	2.812383707159957e-32	RAB40AL	47		0.566
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_11694	1	0.28642805284608464	1.3202370360829889e-163	TMTC4	236		0.779
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_11693	2	0.32728409453323304	3.140318944281353e-128	TMTC4	242		0.779
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_10009	3	0.39576546531958684	1.7708492912963721e-78	ATP2B1	84		0.76
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_30939	4	0.4098929565168178	9.930310516964969e-70	FASTKD3	69		1.134
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_8937	5	0.4516316074687934	6.792246627098828e-47	SOX5	152		0.961
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_21128	6	0.4527662240887641	2.452304439738784e-46	GTF2A1L	20		1.039
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_40509	7	0.45836496923801856	1.2379470015317648e-43	DMRT1	103		0.89
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_36068	8	0.46097242261996807	2.0988969108062033e-42	PDE1C	26		1.311
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_27187	9	0.46241408445486065	9.85231883245314e-42	CACNA2D3	40		0.926
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_16470	10	0.462618802014739	1.2271653778710614e-41	SPECC1	78		1.097
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_23571	11	0.46452443389283193	9.302531049949653e-41	ASB1	204		1.099
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_36585	12	0.4672684233047779	1.636923628586804e-39	GALNT17	114		1.28
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_12085	13	0.4713984333817685	1.1404897592769407e-37	PRKD1	318		0.683
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_40768	14	0.47376231263988494	1.2336209179654828e-36	CDKN2B	111		0.174
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_38392	15	0.47531812689787123	5.796338783088493e-36	EBF2	63		0.861
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_32688	1	0.25571050771142007	4.1785342006906826e-188	EBF1	385		1.125
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_24960	2	0.25581310864156254	4.949216811783861e-188	YTHDF1	54		1.046
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_38805	3	0.28000287779946526	8.486731523756709e-166	XKR4	256		1.062
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_31211	4	0.28040325177899006	1.856612501277632e-165	CAPSL	12		1.054
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_6173	5	0.28947893940070285	1.6997626684339008e-157	GPR26	144		0.953
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_25814	6	0.28976174498683266	2.9380346738805056e-157	VPREB1	1		0.855
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_26774	7	0.29133230703530644	6.56225806820031e-156	OXSM	316		1.076
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_5555	8	0.29273195776280947	1.0088846281484201e-154	NRG3	21		0.942
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_36459	9	0.29349308154914083	4.3536845564595785e-154	ZNF479	239		0.934
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_25405	10	0.29509262645311995	9.79778897746176e-153	ERG	22		1.043
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_25121	11	0.29632028618523415	1.111390182013731e-151	USP25	270		0.962
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_32768	12	0.29806508332275683	3.267647446216585e-150	TENM2	160		0.9
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_26870	13	0.29869256050342097	1.097898553533199e-149	ARPP21	62		0.894
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_42202	14	0.30392837181845633	2.6088635945196884e-145	LCN6	2		1.02
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_36472	15	0.3120129943623476	1.1348739794281078e-138	ZNF727	377		0.948
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_20043	1	0.4654829267897347	1.2341461538339233e-66	VSTM1	13		0.702
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_41579	2	0.49032765340027684	8.889267915960083e-50	PTPN3	100		1.174
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_3506	3	0.49144130072423153	4.432715736928046e-49	GOLT1A	20		1.039
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_41580	4	0.4973649758583959	1.897969740347488e-45	PTPN3	119		1.174
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_486	5	0.4993265612048163	2.817053997798042e-44	UBXN10	20		1.098
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_22142	6	0.5076415183732608	1.7252100393218292e-39	GYPC	964		0.962
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_25514	7	0.5137819435387747	3.927933179632564e-36	WDR4	48		1.147
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_34405	8	0.5222108029900341	9.121250217310412e-32	HTR1E	621		0.884
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_38627	9	0.5243484867303092	1.0552415046204698e-30	TCIM	55		0.88
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_19230	10	0.5246398866569861	1.468935150137726e-30	OR1I1	14		0.916
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_7200	11	0.5256100487588311	4.3834239090007816e-30	SLC22A11	21		1.165
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_820	12	0.52596878255643	6.543552760723816e-30	GJB5	1		1.076
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_2545	13	0.5262177497475854	8.645844737393044e-30	IVL	3		1.103
