level	group	se	rank	jsd	fdr	nearest_gene	dist_kb	identity	cn_mean
OncotreeSubtype	AML, NOS	USE_31849	1	0.2116313691498815	0.0	MEF2C	238		0.259
OncotreeSubtype	AML, NOS	USE_31852	2	0.30699501024627884	3.6548332774949196e-271	MEF2C	461		0.259
OncotreeSubtype	AML, NOS	USE_31851	3	0.35690631186431476	5.090534844113722e-201	MEF2C	454		0.259
OncotreeSubtype	AML, NOS	USE_31848	4	0.356917980357215	5.2580816870582565e-201	MEF2C	78		0.259
OncotreeSubtype	AML, NOS	USE_31850	5	0.37754741967566074	4.443504778166337e-175	MEF2C	267		0.259
OncotreeSubtype	AML, NOS	USE_27446	6	0.37892640027845603	2.0625148593854165e-173	ROBO2	399		0.932
OncotreeSubtype	AML, NOS	USE_37992	7	0.39667203137658313	1.1610421317994538e-152	DNAJB6	85		0.664
OncotreeSubtype	AML, NOS	USE_33060	8	0.4068377269602153	2.2856268628154807e-141	IRF4	67		0.809
OncotreeSubtype	AML, NOS	USE_29813	9	0.4099681370154282	5.63665765008417e-138	ADAMTS3	88		0.845
OncotreeSubtype	AML, NOS	USE_6276	10	0.41163148762984925	3.454859647331118e-136	GLRX3	199		0.754
OncotreeSubtype	AML, NOS	USE_24312	11	0.41342459522597547	2.834331976471246e-134	CTNNBL1	70		0.898
OncotreeSubtype	AML, NOS	USE_8435	12	0.4144645327276263	3.567009885583984e-133	NTM	410		1.542
OncotreeSubtype	AML, NOS	USE_31847	13	0.41670653524692824	8.090686130798907e-131	MEF2C	68		0.259
OncotreeSubtype	AML, NOS	USE_8434	14	0.42451974703744266	9.389846338875985e-123	NTM	406		1.542
OncotreeSubtype	AML, NOS	USE_5540	15	0.4247396175573612	1.5659437766489207e-122	NUTM2E	58		0.843
OncotreeSubtype	Acute Myeloid Leukemia	USE_5038	1	0.4785968253274032	3.2511645445288465e-64	RET	130		0.958
OncotreeSubtype	Acute Myeloid Leukemia	USE_40120	2	0.4803108856006642	5.147596489277101e-63	GSDMC	101		1.614
OncotreeSubtype	Acute Myeloid Leukemia	USE_13476	3	0.48373728636099106	1.1882731454911367e-60	GOLGA8N	12		1.009
OncotreeSubtype	Acute Myeloid Leukemia	USE_13442	4	0.4871303829347268	2.3605601514836983e-58	GOLGA8Q	12		0.988
OncotreeSubtype	Acute Myeloid Leukemia	USE_13472	5	0.48837567628330353	1.6049194164655167e-57	GOLGA8O	12		1.009
OncotreeSubtype	Acute Myeloid Leukemia	USE_42658	6	0.5024373999973024	1.4996573196634338e-48	RAB40AL	47		0.561
OncotreeSubtype	Acute Myeloid Leukemia	USE_7489	7	0.5056232989129261	1.2721473178914867e-46	P2RY2	25		1.092
OncotreeSubtype	Acute Myeloid Leukemia	USE_19466	8	0.5094750934393775	2.3889505802529727e-44	CEBPA	33	CEBPA	1.072
OncotreeSubtype	Acute Myeloid Leukemia	USE_17876	9	0.5095444572289499	2.6213021370162616e-44	PPP1R27	2		1.215
OncotreeSubtype	Acute Myeloid Leukemia	USE_15916	10	0.5125178446085901	1.3737899640648693e-42	IRF8	72	IRF8	0.972
OncotreeSubtype	Acute Myeloid Leukemia	USE_1703	11	0.5142956881622813	1.4052480100144052e-41	GFI1	19		1.045
OncotreeSubtype	Acute Myeloid Leukemia	USE_28939	12	0.5171102065784854	5.257484819116311e-40	IL1RAP	31		1.052
OncotreeSubtype	Acute Myeloid Leukemia	USE_28938	13	0.5208814458228499	6.055873846055643e-38	IL1RAP	25		1.052
OncotreeSubtype	Acute Myeloid Leukemia	USE_24870	14	0.5216748383261693	1.6181379956905837e-37	PHACTR3	10		1.092
