level	group	se	rank	jsd	fdr	nearest_gene	dist_kb	identity	cn_mean	dropped
line	SKNBE2	USE_20470	8	0.38147428096539	0.0	MYCN	150		215.174	True
line	SKNBE2	USE_20481	4	0.2927042032114721	0.0	MYCN	272		215.174	True
line	SKNBE2	USE_20480	1	0.2131468025544587	0.0	MYCN	254		215.174	True
line	SKNBE2	USE_20477	2	0.2550943982886248	0.0	MYCN	236		215.174	True
line	SKNBE2	USE_20479	3	0.2676426200140893	0.0	MYCN	248		215.174	True
line	SKNBE2	USE_20478	5	0.3405545805097429	0.0	MYCN	239		215.174	True
line	SKNBE2	USE_20483	6	0.3670068984567926	0.0	MYCN	280		215.174	True
line	KELLY	USE_20449	5	0.4129928032566246	0.0	MYCN	94		207.984	True
line	KELLY	USE_20483	6	0.4175045984400366	0.0	MYCN	280		207.984	True
line	KELLY	USE_20448	1	0.3904067137703326	0.0	MYCN	100		207.984	True
line	KELLY	USE_20444	14	0.4299238985688563	0.0	MYCN	134		207.984	True
line	KELLY	USE_20446	8	0.4264623838991299	0.0	MYCN	117		207.984	True
line	NB1643	USE_20446	13	0.5681636268144683	1.369375785908415e-253	MYCN	117		177.254	True
line	NB1643	USE_20469	8	0.5625986878215322	3.1014889550740204e-278	MYCN	134		177.254	True
line	NB1643	USE_20457	4	0.5528446033537395	5e-324	MYCN	15		177.254	True
line	NB1643	USE_20483	11	0.5673665962339529	4.7638721080830524e-257	MYCN	280		177.254	True
line	NB1643	USE_20482	14	0.5685920667918587	9.686723087269216e-252	MYCN	272		177.254	True
line	NB1643	USE_20456	3	0.5518345982951945	0.0	MYCN	18		177.254	True
line	NB1643	USE_20447	1	0.5476034748604113	0.0	MYCN	110		177.254	True
line	COLO320	USE_39971	1	0.4624164315251537	0.0	POU5F1B	392		120.502	True
line	COLO320	USE_39977	8	0.4881220873551796	0.0	POU5F1B	317		120.502	True
line	COLO320	USE_39984	10	0.5002703627691591	0.0	POU5F1B	198		120.502	True
line	COLO320	USE_39970	11	0.500491301739605	0.0	POU5F1B	397		120.502	True
line	COLO320	USE_39982	15	0.5078343421838045	0.0	POU5F1B	209		120.502	True
line	COLO320	USE_39994	5	0.476721189563868	0.0	POU5F1B	49		120.502	True
line	COLO320	USE_39987	9	0.4923488321012677	0.0	POU5F1B	123		120.502	True
line	COLO320	USE_39981	2	0.4648249758949469	0.0	POU5F1B	264		120.502	True
line	KELLY	USE_20505	3	0.4083100721007234	0.0	CYRIA	99		110.026	True
line	KELLY	USE_20485	9	0.4272607246911988	0.0	MYCN	322		110.026	True
line	KELLY	USE_20506	2	0.403659613606139	0.0	CYRIA	81		110.026	True
line	KELLY	USE_20504	12	0.4294852393091208	0.0	CYRIA	147		110.026	True
line	KELLY	USE_20507	4	0.4109167760660182	0.0	CYRIA	70		110.026	True
line	KELLY	USE_20487	7	0.4221222498341271	0.0	MYCN	328		110.026	True
line	KELLY	USE_20498	15	0.4302941948362522	0.0	CYRIA	214		110.026	True
line	KELLY	USE_20494	10	0.4282427171450301	0.0	CYRIA	272		110.026	True
line	NCIH524	USE_40029	12	0.4609413833184346	0.0	MYC	17		108.022	True
line	NCIH524	USE_40021	15	0.4859971439329651	0.0	MYC	92		108.022	True
line	SNU16	USE_6120	6	0.3852766512925985	0.0	FGFR2	14		98.358	True
