level	group	se	gene	dist_kb	se_rank	se_fdr	gene_fdr	gene_specific	rho
OncotreeLineage	Biliary Tract	USE_15507	CNGB1	29	1	6.169789983194269e-42	0.9441133021808008	False	0.4143511505392661
OncotreeLineage	Biliary Tract	USE_15506	CNGB1	34	2	2.553721896813176e-41	0.9441133021808008	False	0.4102667514769515
OncotreeLineage	Biliary Tract	USE_15925	FOXL1	5	3	1.0910074873070008e-34	0.8759398112790884	False	0.3963547010599317
OncotreeLineage	Biliary Tract	USE_1760	SLC44A3	73	4	6.952145631667547e-33	0.9003485398240321	False	0.40361872704023766
OncotreeLineage	Biliary Tract	USE_27332	ADAMTS9	433	5	1.034231623706817e-31	0.9003485398240321	False	0.4005984951721734
OncotreeLineage	Biliary Tract	USE_1755	F3	71	6	3.9554668711693645e-27	0.9003485398240321	False	0.5591473600467495
OncotreeLineage	Biliary Tract	USE_1791	DPYD	151	7	7.702567522359935e-27	0.9003485398240321	False	0.3577627291238308
OncotreeLineage	Biliary Tract	USE_11771	MYO16	128	8	5.848516138732432e-26	0.9003485398240321	False	0.2540394076297413
OncotreeLineage	Biliary Tract	USE_24784	BMP7	229	9	2.790197613308951e-25	1.0	False	0.099081170171056
OncotreeLineage	Biliary Tract	USE_14330	ARNT2	87	10	7.960292284285135e-25	0.9003485398240321	False	0.20944423591283612
OncotreeLineage	Biliary Tract	USE_15549	BEAN1	26	11	3.0382194522514622e-24	0.9003485398240321	False	0.4284379633910582
OncotreeLineage	Biliary Tract	USE_19982	SIGLEC8	18	12	4.24871989865694e-24	1.0	False	0.3029192869860672
OncotreeLineage	Biliary Tract	USE_41918	LCN2	1	13	5.178838987891345e-24	0.7408958269946748	False	0.660832194069659
OncotreeLineage	Biliary Tract	USE_42939	CDY1	31071	14	5.721286161744052e-24	1.0	False	0.09636444804093663
OncotreeLineage	Biliary Tract	USE_14194	CYP11A1	31	15	1.7397732010453097e-23	0.9003485398240321	False	0.25850610017062287
OncotreeLineage	Bladder/Urinary Tract	USE_41579	PTPN3	100	1	3.9400889201880084e-45	0.9003485398240321	False	0.28921410522128144
OncotreeLineage	Bladder/Urinary Tract	USE_20043	VSTM1	13	2	8.450035375662857e-44	0.9003485398240321	False	0.4957599539186245
OncotreeLineage	Bladder/Urinary Tract	USE_3506	GOLT1A	20	3	8.552671230474161e-34	0.9003485398240321	False	0.3766172089461932
OncotreeLineage	Bladder/Urinary Tract	USE_41580	PTPN3	119	4	9.433659522938702e-34	0.9003485398240321	False	0.37867946924487994
OncotreeLineage	Bladder/Urinary Tract	USE_486	UBXN10	20	5	1.7958222878347468e-33	0.4774097495604057	False	0.25167154519708795
OncotreeLineage	Bladder/Urinary Tract	USE_22142	GYPC	964	6	2.1275832035829262e-32	1.0	False	-0.10439818301417127
OncotreeLineage	Bladder/Urinary Tract	USE_2545	IVL	3	7	2.7684093944765557e-28	1.351314504201816e-05	True	0.5082834585404883
OncotreeLineage	Bladder/Urinary Tract	USE_25514	WDR4	48	8	4.199801051647817e-28	0.9003485398240321	False	0.04709596929136787
OncotreeLineage	Bladder/Urinary Tract	USE_34405	HTR1E	621	9	4.644939288881448e-27	0.8947622046813103	False	0.20933723311776725
OncotreeLineage	Bladder/Urinary Tract	USE_27788	TEX55	7	10	3.089737607436074e-26	0.9003485398240321	False	0.021866650068969793
