level	group	n_lines	n_spec_fdr05	n_spec_fdr10	n_spec_fdr25	top15_identity	genes
OncotreeLineage	Biliary Tract	1	3585	4321	5853	0	
OncotreeLineage	Bladder/Urinary Tract	6	2940	3549	4914	0	
OncotreeLineage	Bone	12	2694	3109	4209	0	
OncotreeLineage	Bowel	15	2046	2483	3481	2	HNF4A:4;CDX2:14;ASCL2:45;KLF5:400;CDX1:1756;TCF7L2:2348;VDR:2507
OncotreeLineage	Breast	32	2088	2522	3618	0	ESR1:37;FOXA1:116;GRHL2:206;SPDEF:290;TFAP2C:335;GATA3:1111;XBP1:1441
OncotreeLineage	CNS/Brain	11	2837	3422	4777	0	
OncotreeLineage	Cervix	1	2561	3659	5988	0	
OncotreeLineage	Esophagus/Stomach	15	2591	3225	4652	0	
OncotreeLineage	Eye	2	2914	3424	4699	0	
OncotreeLineage	Head and Neck	7	2285	2817	4035	0	
OncotreeLineage	Kidney	6	3581	4266	5709	0	
OncotreeLineage	Liver	7	1739	2092	3008	0	
OncotreeLineage	Lung	47	2389	2982	4405	0	
OncotreeLineage	Lymphoid	44	3879	4415	5563	0	MYB:107;LEF1:173;RUNX1:315;TCF7:3855;LMO2:8065;TAL1:13730;TLX3:16819;TLX1:23537
OncotreeLineage	Myeloid	19	2277	2693	3620	1	SPI1:9;RUNX1:42;CEBPA:53;GATA2:325;MYB:681;GATA1:4154
OncotreeLineage	Ovary/Fallopian Tube	9	1636	2081	3102	4	MECOM:1;SOX17:6;PAX8:90;GATA6:1169;WT1:9482
OncotreeLineage	Pancreas	12	963	1392	2508	0	
OncotreeLineage	Peripheral Nervous System	12	2604	3022	3998	0	
OncotreeLineage	Pleura	2	3676	4343	5690	0	
OncotreeLineage	Prostate	3	2228	2716	3822	0	
OncotreeLineage	Skin	7	5558	6179	7490	0	
OncotreeLineage	Soft Tissue	8	4252	4956	6379	0	
OncotreeLineage	Testis	2	3619	4184	5406	0	
OncotreeLineage	Uterus	2	1348	1719	2660	0	
OncotreePrimaryDisease	Acute Myeloid Leukemia	16	2664	3122	4134	0	IRF8:18;SPI1:19;MEF2C:24;CEBPA:25;RUNX1:70;MYB:835
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	5	4823	5624	7176	0	
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	8	5338	5781	6762	0	
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	6	3458	4097	5525	0	
OncotreePrimaryDisease	Breast Ductal Carcinoma In Situ	1	2917	3554	4922	0	ESR1:119;GRHL2:185;FOXA1:1301;SPDEF:1658;TFAP2C:1995;GATA3:4013;XBP1:19939
OncotreePrimaryDisease	Cervical Squamous Cell Carcinoma	1	3312	4426	6747	0	
OncotreePrimaryDisease	Clear Cell Sarcoma	1	4906	5445	6645	0	
OncotreePrimaryDisease	Colorectal Adenocarcinoma	15	2378	2823	3889	2	HNF4A:6;CDX2:13;ASCL2:42;KLF5:289;CDX1:1620;TCF7L2:1986;VDR:2623
OncotreePrimaryDisease	Diffuse Glioma	1	4054	4793	6250	0	
OncotreePrimaryDisease	Embryonal Tumor	5	1988	2372	3156	0	
OncotreePrimaryDisease	Endometrial Carcinoma	1	2365	2934	4296	0	
OncotreePrimaryDisease	Esophageal Squamous Cell Carcinoma	4	2247	2875	4459	0	
OncotreePrimaryDisease	Esophagogastric Adenocarcinoma	11	3241	3961	5435	0	
OncotreePrimaryDisease	Ewing Sarcoma	7	2800	3250	4326	0	
OncotreePrimaryDisease	Fibrosarcoma	1	3818	4495	5966	0	
OncotreePrimaryDisease	Head and Neck Squamous Cell Carcinoma	7	2583	3155	4440	0	
OncotreePrimaryDisease	Hepatoblastoma	1	2162	2555	3525	0	
OncotreePrimaryDisease	Hepatocellular Carcinoma	6	1809	2202	3220	0	
OncotreePrimaryDisease	Intraductal Papillary Neoplasm of the Bile Duct	1	4197	4950	6482	0	
OncotreePrimaryDisease	Invasive Breast Carcinoma	31	2408	2921	4116	0	ESR1:40;GRHL2:154;FOXA1:165;SPDEF:208;TFAP2C:358;GATA3:899;XBP1:1869
OncotreePrimaryDisease	Leiomyosarcoma	1	5285	5938	7271	0	
OncotreePrimaryDisease	Liposarcoma	1	3236	3894	5394	0	
OncotreePrimaryDisease	Lung Neuroendocrine Tumor	17	2586	3051	4004	0	
OncotreePrimaryDisease	Mature B-Cell Neoplasms	21	3805	4263	5235	0	
OncotreePrimaryDisease	Mature T and NK Neoplasms	6	3264	3812	5011	0	
OncotreePrimaryDisease	Melanoma	7	5805	6465	7859	0	
OncotreePrimaryDisease	Myeloproliferative Neoplasms	3	1779	2118	2966	0	TAL1:39;GATA2:45;MYB:1115;KLF1:1252;GATA1:2696
OncotreePrimaryDisease	Neuroblastoma	12	2837	3306	4345	0	
OncotreePrimaryDisease	Non-Hodgkin Lymphoma	2	3325	3739	4596	0	
OncotreePrimaryDisease	Non-Seminomatous Germ Cell Tumor	2	4011	4622	5900	0	
OncotreePrimaryDisease	Non-Small Cell Lung Cancer	29	3146	3939	5596	0	
OncotreePrimaryDisease	Ocular Melanoma	1	3973	4632	6176	0	
