level	group	se	rank	jsd	fdr	nearest_gene	dist_kb	identity	cn_mean
OncotreeLineage	Biliary Tract	USE_12971	1	0.33754077804047355	1.0531936902969426e-52	GPR68	0		1.575
OncotreeLineage	Biliary Tract	USE_12557	2	0.3445989292465963	4.078939122372476e-50	HIF1A	153		1.593
OncotreeLineage	Biliary Tract	USE_1760	3	0.3791575486861548	2.107045155855005e-38	SLC44A3	73		1.026
OncotreeLineage	Biliary Tract	USE_15507	4	0.3800346030921169	3.996002274669181e-38	CNGB1	29		0.758
OncotreeLineage	Biliary Tract	USE_8762	5	0.38220939101332146	1.9308839722794158e-37	BCL2L14	171		1.498
OncotreeLineage	Biliary Tract	USE_15506	6	0.38228988251542134	2.044391710313757e-37	CNGB1	34		0.758
OncotreeLineage	Biliary Tract	USE_42911	7	0.38601583517750365	2.939534638270053e-36	TBL1Y	434		0.415
OncotreeLineage	Biliary Tract	USE_24784	8	0.3882662850738495	1.4324883164505787e-35	BMP7	229		1.302
OncotreeLineage	Biliary Tract	USE_17372	9	0.39103892334263524	1.000352479862924e-34	PECAM1	22		1.498
OncotreeLineage	Biliary Tract	USE_38562	10	0.3963220135257698	3.717038302612553e-33	ZNF703	204		1.412
OncotreeLineage	Biliary Tract	USE_1791	11	0.3976448818053664	9.072752176837904e-33	DPYD	151		0.986
OncotreeLineage	Biliary Tract	USE_1755	12	0.40242128053055737	2.169502564573981e-31	F3	71		0.991
OncotreeLineage	Biliary Tract	USE_32562	13	0.4026433070159522	2.5079185247928646e-31	SLC6A7	1		1.324
OncotreeLineage	Biliary Tract	USE_24629	14	0.40358512488135423	4.6565248124323445e-31	PARD6B	48		1.282
OncotreeLineage	Biliary Tract	USE_42939	15	0.40469465255926795	9.644043817499109e-31	CDY1	31071		1.0
OncotreeLineage	Bladder/Urinary Tract	USE_41579	1	0.3901682594877257	3.6950230566900765e-48	PTPN3	100		1.174
OncotreeLineage	Bladder/Urinary Tract	USE_25514	2	0.3914368421050769	1.238925788594468e-47	WDR4	48		1.147
OncotreeLineage	Bladder/Urinary Tract	USE_33546	3	0.39446948229054585	2.2123850166211223e-46	SOX4	19		4.871
OncotreeLineage	Bladder/Urinary Tract	USE_33556	4	0.3968091950714689	2.025243771729691e-45	SOX4	244		4.871
OncotreeLineage	Bladder/Urinary Tract	USE_41580	5	0.41291143969557587	4.073978396529808e-39	PTPN3	119		1.174
OncotreeLineage	Bladder/Urinary Tract	USE_27788	6	0.41457576279423647	1.7097826669352347e-38	TEX55	7		1.315
OncotreeLineage	Bladder/Urinary Tract	USE_486	7	0.41759957492727184	2.279077162134679e-37	UBXN10	20		1.098
OncotreeLineage	Bladder/Urinary Tract	USE_33533	8	0.4178658211231115	2.8541210247935055e-37	CDKAL1	340		4.31
OncotreeLineage	Bladder/Urinary Tract	USE_25457	9	0.4184549733291388	4.705299461285337e-37	FAM3B	35		1.157
OncotreeLineage	Bladder/Urinary Tract	USE_22142	10	0.4255732525201267	1.7454322188488446e-34	GYPC	964		0.962
OncotreeLineage	Bladder/Urinary Tract	USE_27790	11	0.4264681620673255	3.611372072601462e-34	UPK1B	12		1.221
OncotreeLineage	Bladder/Urinary Tract	USE_25543	12	0.42678132365943483	4.665976770758909e-34	HSF2BP	28		1.119
OncotreeLineage	Bladder/Urinary Tract	USE_33534	13	0.43131209074577576	1.732425127508937e-32	SOX4	325		4.31
OncotreeLineage	Bladder/Urinary Tract	USE_6558	14	0.4327505114410442	5.395685109174235e-32	MICAL2	36		1.437
OncotreeLineage	Bladder/Urinary Tract	USE_26053	15	0.43473267853977454	2.516744432843219e-31	SYN3	86		1.073
OncotreeLineage	Bone	USE_13093	1	0.178803141044453	9.023757194607879e-152	VRK1	339		1.094
OncotreeLineage	Bone	USE_38410	2	0.1849853474129147	1.6678852787219623e-147	STMN4	33		1.285
OncotreeLineage	Bone	USE_13092	3	0.1974707660724	4.279698383206086e-139	VRK1	337		1.094
OncotreeLineage	Bone	USE_3242	4	0.21696715752433468	2.0940291031896227e-126	HMCN1	246		1.22
OncotreeLineage	Bone	USE_18121	5	0.22498119147863807	2.3152187411945254e-121	APCDD1	9		1.084
OncotreeLineage	Bone	USE_40069	6	0.22597558658454212	9.285288131131532e-121	MYC	555		2.198
OncotreeLineage	Bone	USE_7662	7	0.23201798033379506	4.991213768444584e-117	CCDC90B	461		0.951
OncotreeLineage	Bone	USE_38408	8	0.2359141575807845	1.1508735255215084e-114	STMN4	59		1.285
OncotreeLineage	Bone	USE_38318	9	0.2381010709347643	2.4004024256926459e-113	GFRA2	201		1.111
OncotreeLineage	Bone	USE_7663	10	0.24847760378805164	3.597666726678292e-107	CCDC90B	475		0.951
OncotreeLineage	Bone	USE_38409	11	0.25172936955730496	2.751783991151355e-105	STMN4	32		1.285
OncotreeLineage	Bone	USE_41707	12	0.2524695432514267	7.251592477617537e-105	PAPPA	413		0.99
OncotreeLineage	Bone	USE_36057	13	0.2524921922593507	7.36013374365357e-105	NEUROD6	4		1.115
OncotreeLineage	Bone	USE_3241	14	0.2550795348161823	2.290716758711073e-103	HMCN1	275		1.22
OncotreeLineage	Bone	USE_38081	15	0.2572915400481101	4.166421481926846e-102	MCPH1	272		1.203
OncotreeLineage	Bowel	USE_10951	1	0.33031875403740535	2.869708709499134e-51	CDX2	3	CDX2	6.288
OncotreeLineage	Bowel	USE_15392	2	0.33687933056704605	6.287961309112782e-49	CYLD	16		1.096
OncotreeLineage	Bowel	USE_39987	3	0.3571121581670219	4.831071060798037e-42	POU5F1B	123		9.498
OncotreeLineage	Bowel	USE_17405	4	0.3849976871618285	2.1582399425726545e-33	AXIN2	87		1.213
OncotreeLineage	Bowel	USE_33073	5	0.39209804232054374	2.341287116125748e-31	FOXQ1	258		0.804
OncotreeLineage	Bowel	USE_16174	6	0.39471588450870915	1.274390697134012e-30	SPNS3	15		0.973
OncotreeLineage	Bowel	USE_39990	7	0.4012358987436868	7.847418565398543e-29	POU5F1B	105		9.498
OncotreeLineage	Bowel	USE_24422	8	0.4066518209576565	2.181618206227197e-27	R3HDML	12	HNF4A	1.24
OncotreeLineage	Bowel	USE_10869	9	0.40748209943354535	3.600683935677051e-27	SGCG	461		1.096
OncotreeLineage	Bowel	USE_15445	10	0.4094348924095658	1.1609118690414085e-26	IRX5	110		0.842
OncotreeLineage	Bowel	USE_17306	11	0.40990871444982835	1.5382719043680388e-26	MED13	161		1.084
OncotreeLineage	Bowel	USE_10073	12	0.41164059455940427	4.2964975322071066e-26	EEA1	170		1.06
OncotreeLineage	Bowel	USE_15791	13	0.4131929796834822	1.0773281196389731e-25	CMC2	78		1.167
OncotreeLineage	Bowel	USE_6394	14	0.4146479319731466	2.5286859940648e-25	TH	34	ASCL2	1.142
OncotreeLineage	Bowel	USE_17403	15	0.41568254606471117	4.616630449911477e-25	AXIN2	142		1.213
OncotreeLineage	Breast	USE_39607	1	0.38209699219375126	3.949830744407246e-56	TRPS1	170		2.009
OncotreeLineage	Breast	USE_39612	2	0.4118340547454376	6.446319588421155e-43	TRPS1	258		2.009
OncotreeLineage	Breast	USE_39617	3	0.4172581804169233	1.0770351795447726e-40	TRPS1	378		2.009
OncotreeLineage	Breast	USE_39611	4	0.4186680315099063	4.001372940090744e-40	TRPS1	254		2.009
OncotreeLineage	Breast	USE_30890	5	0.422533456567895	1.3825923099697013e-38	IRX2	31		1.398
OncotreeLineage	Breast	USE_39629	6	0.4256646893657695	2.3139778955519938e-37	EIF3H	249		1.939
OncotreeLineage	Breast	USE_39620	7	0.42910789770804997	4.857822116387607e-36	EIF3H	532		2.009
OncotreeLineage	Breast	USE_34548	8	0.4315432542130185	4.0830841513481397e-35	QRSL1	124		0.978
OncotreeLineage	Breast	USE_20580	9	0.43186720233821596	5.377529220807385e-35	RHOB	26		1.116
OncotreeLineage	Breast	USE_7309	10	0.43301370764788744	1.4429661037138518e-34	ALDH3B2	3		1.338
OncotreeLineage	Breast	USE_39609	11	0.43338291574759796	1.980055671212578e-34	TRPS1	228		2.009
OncotreeLineage	Breast	USE_38637	12	0.43358868591954564	2.361493547335117e-34	TCIM	251		1.344
OncotreeLineage	Breast	USE_7091	13	0.4363530019748433	2.468330279241517e-33	SLC15A3	2		1.078
