level	group	se	rank	jsd	fdr	nearest_gene	dist_kb	identity	cn_mean
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_40120	1	0.3926698544336973	7.132757304201037e-56	GSDMC	101		1.566
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_22641	2	0.39409658123148494	3.0419111787345887e-55	ITGA6	47		1.974
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_13442	3	0.40302379480562406	2.209620059482178e-51	GOLGA8Q	12		0.984
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_13476	4	0.403349637360246	3.0389192731039763e-51	GOLGA8N	12		1.012
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_13472	5	0.41160254142558017	8.350821266696186e-48	GOLGA8O	12		1.012
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_11024	6	0.42838860681130203	3.4889594601476635e-41	FRY	43		1.054
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_39722	7	0.4299739417454803	1.3930513413726025e-40	DEPTOR	103		1.427
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_5038	8	0.43159827880069973	5.67469363197579e-40	RET	130		0.934
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_19466	9	0.43461717045801235	7.510328395051829e-39	CEBPA	33	CEBPA	1.091
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_7489	10	0.4369386851490462	5.321742582537135e-38	P2RY2	25		1.085
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_34974	11	0.43839361695331575	1.7865786553847882e-37	CITED2	253		1.228
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_40783	12	0.4413059953905266	1.980324781311051e-36	TUSC1	316		1.037
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_1703	13	0.44143246218333043	2.1968950661219613e-36	GFI1	19		1.071
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_15916	14	0.4489457830402864	9.277821862163885e-34	IRF8	72	IRF8	0.961
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_18873	15	0.4498834830082128	1.9407501757071546e-33	PRSS57	4		0.966
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_30939	1	0.3836883164919559	1.4173856944362391e-96	FASTKD3	69		1.134
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_36585	2	0.40466794711342724	1.3186323147770388e-81	GALNT17	114		1.28
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_16470	3	0.4195413168910738	9.305187753774375e-72	SPECC1	78		1.097
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_26041	4	0.4257820862540444	8.267157409474757e-68	RFPL3	22		1.011
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_21128	5	0.4307391966946452	9.384096948781877e-65	GTF2A1L	20		1.039
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_7974	6	0.4368668359585561	4.432060452222708e-61	DDX10	231		3.226
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_36068	7	0.44781070514966254	8.783766820547792e-55	PDE1C	26		1.311
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_28707	8	0.4492290561848172	5.422424289919339e-54	SOX2	527		1.056
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_40509	9	0.45230707176279056	2.6967720975161593e-52	DMRT1	103		0.89
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_36736	10	0.4526829649026404	4.3248982801745176e-52	PHTF2	273		1.339
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_7976	11	0.4530578142524675	6.924904669725597e-52	C11orf87	6		2.483
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_16637	12	0.45396746009061884	2.1635862000152194e-51	CCL2	11		1.216
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_23571	13	0.4565325018554472	5.1594917864745425e-50	ASB1	204		1.099
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_23574	14	0.4607888059426419	9.227258044042667e-48	TWIST2	55		1.071
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_37427	15	0.4627293625685746	9.414690017903595e-47	POT1	83		1.363
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_32688	1	0.243978454372062	2.449333223597578e-208	EBF1	385		1.125
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_38805	2	0.2738074605143448	4.0698079843294095e-179	XKR4	256		1.062
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_6173	3	0.2747653446425141	3.2267227986226995e-178	GPR26	144		0.953
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_26774	4	0.2774188740346897	9.92055637483708e-176	OXSM	316		1.076
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_5555	5	0.27955875954961645	9.774964242135313e-174	NRG3	21		0.942
