level	group	se	rank	jsd	fdr	nearest_gene	dist_kb	identity	cn_mean
OncotreeSubtype	AML, NOS	USE_27446	1	0.36026809229222323	2.322671857785764e-236	ROBO2	399		0.932
OncotreeSubtype	AML, NOS	USE_40785	2	0.3707389220764347	1.4711228466571575e-220	CAAP1	329		1.047
OncotreeSubtype	AML, NOS	USE_8435	3	0.37136984892139185	1.2571067259206329e-219	NTM	410		1.542
OncotreeSubtype	AML, NOS	USE_40610	4	0.377898828632565	4.4566463477148905e-210	PTPRD	536		1.565
OncotreeSubtype	AML, NOS	USE_8434	5	0.3805253722862556	2.724403711048564e-206	NTM	406		1.542
OncotreeSubtype	AML, NOS	USE_40577	6	0.3968811219485997	1.628287579474722e-183	RIC1	57		3.261
OncotreeSubtype	AML, NOS	USE_40609	7	0.4033604562086247	7.484628211000208e-175	PTPRD	538		1.565
OncotreeSubtype	AML, NOS	USE_25502	8	0.41814617322902276	6.965325424661285e-156	RSPH1	19		3.48
OncotreeSubtype	AML, NOS	USE_4688	9	0.41822768896534945	8.788069824765827e-156	ST8SIA6	41		1.043
OncotreeSubtype	AML, NOS	USE_25156	10	0.4199922787840269	1.3601853455592208e-153	NCAM2	1012		1.836
OncotreeSubtype	AML, NOS	USE_29813	11	0.42100802893888195	2.4349638381086115e-152	ADAMTS3	88		0.845
OncotreeSubtype	AML, NOS	USE_25405	12	0.4235387366405101	3.0956052110827546e-149	ERG	22		3.421
OncotreeSubtype	AML, NOS	USE_40783	13	0.431510670483084	1.128347578464989e-139	TUSC1	316		2.069
OncotreeSubtype	AML, NOS	USE_8436	14	0.43635882525157443	5.045205777629948e-134	NTM	430		1.542
OncotreeSubtype	AML, NOS	USE_38584	15	0.436768863670969	1.492840597671615e-133	EIF4EBP1	36		1.258
OncotreeSubtype	Acute Myeloid Leukemia	USE_40120	1	0.451058329527373	1.7651380669761985e-82	GSDMC	101		1.614
OncotreeSubtype	Acute Myeloid Leukemia	USE_5038	2	0.4791642365250638	6.572393178123344e-62	RET	130		0.958
OncotreeSubtype	Acute Myeloid Leukemia	USE_22641	3	0.4831028357135429	2.9236728375799767e-59	ITGA6	47		2.111
OncotreeSubtype	Acute Myeloid Leukemia	USE_13442	4	0.4841089944707713	1.356223180064804e-58	GOLGA8Q	12		0.988
OncotreeSubtype	Acute Myeloid Leukemia	USE_13476	5	0.485645182625035	1.3887869011242453e-57	GOLGA8N	12		1.009
OncotreeSubtype	Acute Myeloid Leukemia	USE_19466	6	0.4874331392627818	2.0277004624349645e-56	CEBPA	33	CEBPA	1.072
OncotreeSubtype	Acute Myeloid Leukemia	USE_13472	7	0.49002188152919046	9.374535148663906e-55	GOLGA8O	12		1.009
OncotreeSubtype	Acute Myeloid Leukemia	USE_11024	8	0.5012160958722249	7.650427350036492e-48	FRY	43		1.057
OncotreeSubtype	Acute Myeloid Leukemia	USE_7489	9	0.5062993436694487	7.32238295232332e-45	P2RY2	25		1.092
OncotreeSubtype	Acute Myeloid Leukemia	USE_15916	10	0.5097202379465924	6.585278045312718e-43	IRF8	72	IRF8	0.972
OncotreeSubtype	Acute Myeloid Leukemia	USE_34974	11	0.5098274232830194	7.572871018867407e-43	CITED2	253		1.262
OncotreeSubtype	Acute Myeloid Leukemia	USE_1703	12	0.5105639305585016	1.9665533416388925e-42	GFI1	19		1.045
OncotreeSubtype	Acute Myeloid Leukemia	USE_42658	13	0.5132414474610469	6.054927347392912e-41	RAB40AL	47		0.561
OncotreeSubtype	Acute Myeloid Leukemia	USE_18873	14	0.5159555354971775	1.8305420716078965e-39	PRSS57	4		1.016
OncotreeSubtype	Acute Myeloid Leukemia	USE_33220	15	0.517243668627068	9.032024913348823e-39	RREB1	236		1.048
OncotreeSubtype	Adenosquamous Carcinoma of the Stomach	USE_8988	1	0.31341484462755204	5.060669947879561e-149	LMNTD1	141		8.417
OncotreeSubtype	Adenosquamous Carcinoma of the Stomach	USE_9000	2	0.3545092119437915	1.4851304812507484e-115	RASSF8	94		8.045
OncotreeSubtype	Adenosquamous Carcinoma of the Stomach	USE_8992	3	0.36510978420243295	1.2863833704790307e-107	LMNTD1	164		8.417
OncotreeSubtype	Adenosquamous Carcinoma of the Stomach	USE_8983	4	0.3676618202577464	9.45693126877678e-106	LMNTD1	30		8.417
OncotreeSubtype	Adenosquamous Carcinoma of the Stomach	USE_8990	5	0.3835684992559224	1.8200184396362402e-94	LMNTD1	159		8.417
OncotreeSubtype	Adenosquamous Carcinoma of the Stomach	USE_8991	6	0.39031715266456024	7.165887734442219e-90	LMNTD1	169		8.417
OncotreeSubtype	Adenosquamous Carcinoma of the Stomach	USE_19518	7	0.3955429748935475	2.159203239577474e-86	GPR42	16		1.007
OncotreeSubtype	Adenosquamous Carcinoma of the Stomach	USE_19967	8	0.3995986173874076	9.669324426900441e-84	GPR32	8		1.043
OncotreeSubtype	Adenosquamous Carcinoma of the Stomach	USE_9091	9	0.39961261038807416	9.87285504792341e-84	FAR2	24		4.881
OncotreeSubtype	Adenosquamous Carcinoma of the Stomach	USE_8998	10	0.40219185702667115	4.541402377121604e-82	RASSF8	189		8.045
OncotreeSubtype	Adenosquamous Carcinoma of the Stomach	USE_9001	11	0.4040524236369717	7.046586300810969e-81	RASSF8	92		8.045
OncotreeSubtype	Adenosquamous Carcinoma of the Stomach	USE_10739	12	0.40463823248137043	1.66446029735988e-80	FZD10	33		0.912
OncotreeSubtype	Adenosquamous Carcinoma of the Stomach	USE_37213	13	0.407269493885418	7.68829048782835e-79	CCDC71L	22		1.613
OncotreeSubtype	Adenosquamous Carcinoma of the Stomach	USE_8984	14	0.41988202493447274	4.182109629000911e-71	LMNTD1	38		8.417
OncotreeSubtype	Adenosquamous Carcinoma of the Stomach	USE_24709	15	0.4287161501397818	6.345431680253854e-66	TSHZ2	112		2.336
OncotreeSubtype	Alveolar Rhabdomyosarcoma	USE_42800	1	0.3646918122424687	7.007277923875052e-251	CT45A1	78		0.687
OncotreeSubtype	Alveolar Rhabdomyosarcoma	USE_19479	2	0.37262420030388527	7.734615370185665e-238	CHST8	28		1.267
OncotreeSubtype	Alveolar Rhabdomyosarcoma	USE_40515	3	0.37700645128526344	8.914357443002013e-231	DMRT2	477		1.128
OncotreeSubtype	Alveolar Rhabdomyosarcoma	USE_19442	4	0.37882216761912135	6.842310711831452e-228	TSHZ3	5		1.478
OncotreeSubtype	Alveolar Rhabdomyosarcoma	USE_14857	5	0.38074405739642403	7.487468703032731e-225	RBFOX1	875		0.875
OncotreeSubtype	Alveolar Rhabdomyosarcoma	USE_6642	6	0.382230202895103	1.632751372325097e-222	OTOG	54		1.255
OncotreeSubtype	Alveolar Rhabdomyosarcoma	USE_24493	7	0.39060110352519617	1.3975619655213942e-209	EYA2	20		2.027
OncotreeSubtype	Alveolar Rhabdomyosarcoma	USE_42801	8	0.39602522449003147	2.127348043015599e-201	CT45A1	41		0.82
OncotreeSubtype	Alveolar Rhabdomyosarcoma	USE_13103	9	0.39713844668138176	9.741262376937944e-200	BCL11B	537		0.939
OncotreeSubtype	Alveolar Rhabdomyosarcoma	USE_22272	10	0.39826393842566016	4.5492152720933054e-198	CXCR4	68		2.006
OncotreeSubtype	Alveolar Rhabdomyosarcoma	USE_24935	11	0.4000989099753472	2.3264814850006156e-195	GATA5	42		2.08
OncotreeSubtype	Alveolar Rhabdomyosarcoma	USE_1943	12	0.406840578264946	1.3580147382571848e-185	GPR61	13		1.386
OncotreeSubtype	Alveolar Rhabdomyosarcoma	USE_13104	13	0.40719542038908674	4.365939152579297e-185	BCL11B	534		0.939
OncotreeSubtype	Alveolar Rhabdomyosarcoma	USE_24557	14	0.4081726674802846	1.0880267632555506e-183	PREX1	270		2.049
OncotreeSubtype	Alveolar Rhabdomyosarcoma	USE_20111	15	0.40989515540741434	3.0483678047553784e-181	USP29	64		1.086
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Negative	USE_18813	1	0.3494428849791134	3.116160013880127e-191	MBP	66		1.235
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Negative	USE_12287	2	0.3870585503539445	1.7493934465031245e-148	RPL10L	476		1.465
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Negative	USE_8948	3	0.3942650494457216	6.589239342531912e-141	BCAT1	183		1.059
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Negative	USE_16786	4	0.3949553746438703	3.397208409193796e-140	CCR7	4		0.954
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Negative	USE_33185	5	0.397032746725793	4.674129542515108e-138	LYRM4	97		1.207
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Negative	USE_13044	6	0.40159252951475166	2.0040148667226952e-133	GSC	5		1.481
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Negative	USE_41309	7	0.4067405095543003	2.7376479168469293e-128	SYK	167		1.298
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Negative	USE_301	8	0.40846083132854305	1.3502093246136278e-126	MFN2	6		0.993
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Negative	USE_34114	9	0.4146074164012308	1.261762177214613e-120	RCAN2	31		1.025
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Negative	USE_25504	10	0.4162319220071888	4.492058702244375e-119	SLC37A1	31		1.015
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Negative	USE_28021	11	0.41919436921862996	2.856486343129765e-116	COL6A5	64		1.012
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Negative	USE_24704	12	0.4195010173472123	5.545032162917592e-116	TSHZ2	166		1.205
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Negative	USE_24133	13	0.4228531734919971	7.415274417529945e-113	DEFB115	1506		0.958
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Negative	USE_8541	14	0.42297061857966733	9.524465890614147e-113	CACNA1C	206		1.03
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Negative	USE_8269	15	0.42325096682393176	1.731119961996774e-112	GRAMD1B	109		1.234
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Positive	USE_4216	1	0.40410659651115566	2.1591775152115543e-157	RYR2	166		1.396
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Positive	USE_33199	2	0.40735449414467956	1.5564512839059316e-153	NRN1	87		1.417
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Positive	USE_35531	3	0.41273578569672503	3.0412099223188134e-147	CYP2W1	9		1.301
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Positive	USE_16317	4	0.43695402599404715	1.36789020419506e-120	COX10	42		0.903
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Positive	USE_38841	5	0.43738760382684744	3.8850083509379685e-120	FAM110B	454		1.403
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Positive	USE_38847	6	0.4449336032192953	2.131977309858883e-112	FAM110B	53		1.403
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Positive	USE_20159	7	0.4454072923721401	6.405602025445703e-112	SNTG2	60		1.06
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Positive	USE_14697	8	0.4483931865688865	6.217239453830846e-109	FAM234A	6		1.192
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Positive	USE_33063	9	0.45348734097171217	6.189890420331237e-104	EXOC2	40		1.563
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Positive	USE_19733	10	0.4597393658868123	5.906177614467271e-98	PSG8	18		1.044
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Positive	USE_40372	11	0.46662692494925967	1.4189774773045991e-91	PTP4A3	128		1.192
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Positive	USE_22252	12	0.4740890338036224	6.633579138144803e-85	TMEM163	85		1.079
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Positive	USE_11036	13	0.47424649951088466	9.101889473940039e-85	KL	44		1.089
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Positive	USE_24704	14	0.47509828494231987	5.070823217806844e-84	TSHZ2	166		1.409
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Positive	USE_33185	15	0.4761332391614626	4.013096083268368e-83	LYRM4	97		1.466
OncotreeSubtype	Astrocytoma, IDH-Mutant	USE_7976	1	0.4068489219236909	6.980443760208585e-175	C11orf87	6		4.899
OncotreeSubtype	Astrocytoma, IDH-Mutant	USE_7974	2	0.4104504398366571	5.873036263000708e-170	DDX10	231		6.619
OncotreeSubtype	Astrocytoma, IDH-Mutant	USE_7948	3	0.4345244551623592	7.661292056670264e-139	ATM	21		3.698
OncotreeSubtype	Astrocytoma, IDH-Mutant	USE_37427	4	0.438341365063617	3.3152846970406717e-134	POT1	83		1.283
OncotreeSubtype	Astrocytoma, IDH-Mutant	USE_7975	5	0.4436583697367835	7.024327894173689e-128	C11orf87	2		4.899
OncotreeSubtype	Astrocytoma, IDH-Mutant	USE_7973	6	0.44389875279964613	1.3476405388356847e-127	DDX10	222		6.619
OncotreeSubtype	Astrocytoma, IDH-Mutant	USE_31356	7	0.448172228014169	1.2769262835814237e-122	HCN1	1719		1.104
OncotreeSubtype	Astrocytoma, IDH-Mutant	USE_7950	8	0.4526777461457137	1.7488418201812705e-117	C11orf65	45		3.428
OncotreeSubtype	Astrocytoma, IDH-Mutant	USE_7849	9	0.4560876240173984	1.1269670952107025e-113	TRPC6	215		3.268
OncotreeSubtype	Astrocytoma, IDH-Mutant	USE_31357	10	0.4632094884618111	6.445472109880533e-106	HCN1	1774		1.104
OncotreeSubtype	Astrocytoma, IDH-Mutant	USE_19364	11	0.46596728095033924	5.522692448032592e-103	ZNF99	13		0.927
OncotreeSubtype	Astrocytoma, IDH-Mutant	USE_18218	12	0.46828977435764907	1.5004068836886554e-100	ANKRD30B	483		0.98
OncotreeSubtype	Astrocytoma, IDH-Mutant	USE_40509	13	0.4690548005376279	9.40116171263538e-100	DMRT1	103		0.766
OncotreeSubtype	Astrocytoma, IDH-Mutant	USE_8112	14	0.47397303421002934	1.0438659346624876e-94	BUD13	158		3.453
OncotreeSubtype	Astrocytoma, IDH-Mutant	USE_19370	15	0.474346816379709	2.493663562738871e-94	ZNF675	7		0.953
OncotreeSubtype	Atypical Teratoid/Rhabdoid Tumor	USE_20823	1	0.33679841450229087	0.0	TTC27	191		0.983
OncotreeSubtype	Atypical Teratoid/Rhabdoid Tumor	USE_20822	2	0.34611338691032645	0.0	TTC27	199		0.983
