level	group	n_lines	n_spec_fdr05	n_spec_fdr10	n_spec_fdr25	top15_identity	genes
OncotreeLineage	Biliary Tract	1	4807	5624	7204	0	
OncotreeLineage	Bladder/Urinary Tract	6	3388	4056	5477	0	
OncotreeLineage	Bone	12	2937	3454	4639	0	
OncotreeLineage	Bowel	15	2234	2703	3784	3	CDX2:1;HNF4A:8;ASCL2:14;KLF5:189;TCF7L2:1850;VDR:2091;CDX1:2144
OncotreeLineage	Breast	32	2410	2957	4256	0	ESR1:48;GRHL2:67;FOXA1:106;TFAP2C:158;SPDEF:296;GATA3:679;XBP1:1710
OncotreeLineage	CNS/Brain	11	3022	3654	5052	0	
OncotreeLineage	Cervix	1	2822	3919	6135	0	
OncotreeLineage	Esophagus/Stomach	15	2881	3553	4950	0	
OncotreeLineage	Eye	2	3211	3816	5194	0	
OncotreeLineage	Head and Neck	7	2943	3560	4955	0	
OncotreeLineage	Kidney	6	3814	4568	6076	0	
OncotreeLineage	Liver	7	1969	2374	3401	0	
OncotreeLineage	Lung	47	2678	3279	4626	0	
OncotreeLineage	Lymphoid	44	3993	4568	5741	0	MYB:70;LEF1:187;RUNX1:278;TCF7:4137;LMO2:8005;TAL1:15149;TLX3:19526;TLX1:22654
OncotreeLineage	Myeloid	19	2486	2910	3928	0	SPI1:17;CEBPA:25;RUNX1:26;MYB:283;GATA2:484;GATA1:5186
OncotreeLineage	Ovary/Fallopian Tube	9	1940	2395	3567	4	MECOM:1;SOX17:4;PAX8:45;GATA6:1344;WT1:6961
OncotreeLineage	Pancreas	12	1004	1391	2487	0	
OncotreeLineage	Peripheral Nervous System	12	2911	3374	4382	0	
OncotreeLineage	Pleura	2	3817	4422	5827	0	
OncotreeLineage	Prostate	3	2816	3381	4627	0	
OncotreeLineage	Skin	7	5542	6179	7508	0	
OncotreeLineage	Soft Tissue	8	4406	5101	6573	0	
OncotreeLineage	Testis	2	4057	4699	6056	0	
OncotreeLineage	Uterus	2	1229	1576	2477	0	
OncotreePrimaryDisease	Acute Myeloid Leukemia	16	2854	3387	4484	2	CEBPA:9;IRF8:14;SPI1:27;RUNX1:50;MEF2C:300;MYB:472
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	5	5284	6124	7736	0	
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	8	5525	6025	7009	0	
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	6	3886	4592	6098	0	
OncotreePrimaryDisease	Breast Ductal Carcinoma In Situ	1	3930	4713	6192	0	ESR1:145;GRHL2:196;GATA3:623;SPDEF:1130;FOXA1:2035;TFAP2C:2816;XBP1:21059
OncotreePrimaryDisease	Cervical Squamous Cell Carcinoma	1	3603	4742	6971	0	
OncotreePrimaryDisease	Clear Cell Sarcoma	1	4837	5375	6549	0	
OncotreePrimaryDisease	Colorectal Adenocarcinoma	15	2601	3159	4277	3	CDX2:1;HNF4A:10;ASCL2:13;KLF5:119;TCF7L2:1653;CDX1:1825;VDR:2039
OncotreePrimaryDisease	Diffuse Glioma	1	4995	5786	7332	0	
OncotreePrimaryDisease	Embryonal Tumor	5	2140	2515	3384	0	
OncotreePrimaryDisease	Endometrial Carcinoma	1	2187	2724	4088	0	
OncotreePrimaryDisease	Esophageal Squamous Cell Carcinoma	4	3049	3821	5669	0	
OncotreePrimaryDisease	Esophagogastric Adenocarcinoma	11	3633	4322	5808	0	
OncotreePrimaryDisease	Ewing Sarcoma	7	3024	3553	4804	0	
OncotreePrimaryDisease	Fibrosarcoma	1	4033	4775	6323	0	
OncotreePrimaryDisease	Head and Neck Squamous Cell Carcinoma	7	3352	3990	5442	0	
OncotreePrimaryDisease	Hepatoblastoma	1	2559	2999	4167	0	
OncotreePrimaryDisease	Hepatocellular Carcinoma	6	2038	2504	3596	0	
OncotreePrimaryDisease	Intraductal Papillary Neoplasm of the Bile Duct	1	5274	6073	7736	0	
OncotreePrimaryDisease	Invasive Breast Carcinoma	31	2767	3365	4674	0	GRHL2:53;ESR1:70;FOXA1:147;TFAP2C:153;SPDEF:249;GATA3:616;XBP1:2236
OncotreePrimaryDisease	Leiomyosarcoma	1	5668	6387	7838	0	
OncotreePrimaryDisease	Liposarcoma	1	4005	4671	6191	0	
OncotreePrimaryDisease	Lung Neuroendocrine Tumor	17	3021	3501	4527	0	
OncotreePrimaryDisease	Mature B-Cell Neoplasms	21	3914	4404	5406	0	
OncotreePrimaryDisease	Mature T and NK Neoplasms	6	3460	4041	5360	0	
OncotreePrimaryDisease	Melanoma	7	5942	6619	7969	0	
OncotreePrimaryDisease	Myeloproliferative Neoplasms	3	1952	2318	3266	0	TAL1:42;GATA2:176;MYB:425;KLF1:810;GATA1:2739
OncotreePrimaryDisease	Neuroblastoma	12	3206	3682	4752	0	
OncotreePrimaryDisease	Non-Hodgkin Lymphoma	2	3544	3959	4979	0	
OncotreePrimaryDisease	Non-Seminomatous Germ Cell Tumor	2	4546	5229	6672	0	
OncotreePrimaryDisease	Non-Small Cell Lung Cancer	29	3125	3879	5463	0	
OncotreePrimaryDisease	Ocular Melanoma	1	4517	5272	6845	0	
OncotreePrimaryDisease	Osteosarcoma	5	3990	4832	6427	0	
OncotreePrimaryDisease	Ovarian Epithelial Tumor	9	2165	2750	3915	4	MECOM:1;SOX17:4;PAX8:39;GATA6:1368;WT1:9907
OncotreePrimaryDisease	Pancreatic Adenocarcinoma	12	1475	1971	3265	0	
OncotreePrimaryDisease	Pleural Mesothelioma	2	4197	4881	6253	0	
OncotreePrimaryDisease	Prostate Adenocarcinoma	3	3135	3764	5049	0	
OncotreePrimaryDisease	Renal Cell Carcinoma	4	5067	5857	7269	0	
OncotreePrimaryDisease	Retinoblastoma	1	4278	4963	6443	0	
OncotreePrimaryDisease	Rhabdoid Cancer	2	1658	2025	2967	0	
OncotreePrimaryDisease	Rhabdomyosarcoma	4	4381	4926	6192	0	
OncotreePrimaryDisease	SMARCA4-deficient undifferentiated tumor	1	1918	2504	3915	0	
OncotreePrimaryDisease	T-Lymphoblastic Leukemia/Lymphoma	7	3111	3524	4467	0	MYB:170;RUNX1:273;LEF1:299;TCF7:332;TAL1:1858;LMO2:5854;TLX3:17287;TLX1:18788
OncotreePrimaryDisease	Uterine Sarcoma/Mesenchymal	1	2298	2923	4505	0	
OncotreeSubtype	AML, NOS	2	4169	4792	6153	0	
OncotreeSubtype	Acute Myeloid Leukemia	14	2707	3212	4314	2	CEBPA:6;IRF8:10;SPI1:34;RUNX1:86;MEF2C:443;MYB:531
OncotreeSubtype	Adenosquamous Carcinoma of the Stomach	1	4619	5405	6920	0	
OncotreeSubtype	Alveolar Rhabdomyosarcoma	2	5022	5638	6892	0	
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Negative	2	3684	4197	5396	0	
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Positive	4	3489	4130	5593	0	
OncotreeSubtype	Astrocytoma, IDH-Mutant	2	5151	5894	7431	0	
OncotreeSubtype	Atypical Teratoid/Rhabdoid Tumor	2	1755	2146	3234	0	
OncotreeSubtype	B-Cell Acute Lymphoblastic Leukemia	8	5410	5885	6913	0	
OncotreeSubtype	Bladder Urothelial Carcinoma	6	3764	4470	5984	0	
OncotreeSubtype	Breast Ductal Carcinoma In Situ	1	4033	4769	6272	0	ESR1:197;GRHL2:250;GATA3:539;SPDEF:1123;FOXA1:2163;TFAP2C:3094;XBP1:20887
OncotreeSubtype	Breast Invasive Carcinoma, NOS	3	3009	3600	4999	0	GRHL2:662;SPDEF:2003;TFAP2C:3000;GATA3:8992;ESR1:19095;XBP1:23721;FOXA1:25997
OncotreeSubtype	Breast Invasive Ductal Carcinoma	14	2788	3467	5029	0	GRHL2:37;TFAP2C:75;ESR1:119;GATA3:360;SPDEF:406;FOXA1:432;XBP1:4088
OncotreeSubtype	Breast Invasive Lobular Carcinoma	4	3916	4651	6119	0	ESR1:40;FOXA1:43;TFAP2C:134;SPDEF:150;GRHL2:270;GATA3:1107;XBP1:1485
OncotreeSubtype	Burkitt Lymphoma	1	5381	5911	7050	0	
OncotreeSubtype	Cervical Squamous Cell Carcinoma	1	3879	5007	7232	0	
OncotreeSubtype	Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma	1	5325	5834	6904	0	
OncotreeSubtype	Chronic Myeloid Leukemia, BCR-ABL1+	3	1963	2348	3273	0	TAL1:39;GATA2:141;MYB:356;KLF1:822;GATA1:3046
OncotreeSubtype	Clear Cell Ovarian Cancer	1	3926	4683	6224	0	
OncotreeSubtype	Clear Cell Sarcoma	1	4948	5473	6699	0	
OncotreeSubtype	Colon Adenocarcinoma	14	2417	2872	4071	3	CDX2:2;HNF4A:5;ASCL2:14;KLF5:140;TCF7L2:1478;VDR:2275;CDX1:2793
OncotreeSubtype	Cutaneous Melanoma	1	4414	4931	6012	0	
OncotreeSubtype	Dedifferentiated Liposarcoma	1	4052	4750	6242	0	
OncotreeSubtype	Diffuse Large B-Cell Lymphoma, NOS	6	3947	4434	5492	0	
OncotreeSubtype	Diffuse Type Stomach Adenocarcinoma	2	3910	4526	5812	0	
OncotreeSubtype	Embryonal Carcinoma	2	4646	5330	6743	0	
OncotreeSubtype	Embryonal Rhabdomyosarcoma	2	3974	4587	5866	0	
OncotreeSubtype	Endometrial Carcinoma	1	2189	2792	4208	0	
OncotreeSubtype	Endometrioid Ovarian Cancer	2	1666	2040	3042	0	
OncotreeSubtype	Esophageal Squamous Cell Carcinoma	4	3045	3892	5729	0	
OncotreeSubtype	Ewing Sarcoma	7	3067	3581	4913	0	
OncotreeSubtype	Fibrosarcoma	1	4013	4742	6263	0	
OncotreeSubtype	Glioblastoma, IDH-Wildtype	3	5633	6414	7881	0	
OncotreeSubtype	Gliosarcoma	1	5028	5840	7388	0	
OncotreeSubtype	Hepatoblastoma	1	2568	3000	4111	0	
OncotreeSubtype	Hepatocellular Carcinoma	6	2065	2507	3666	0	
