level	group	se	rank	jsd	fdr	nearest_gene	dist_kb	identity	cn_mean
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_13476	1	0.40173599898342127	0.09328961531393325	GOLGA8N	12		1.012
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_13442	2	0.4049992676734189	0.09328961531393325	GOLGA8Q	12		0.984
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_13472	3	0.41012649388887795	0.09328961531393325	GOLGA8O	12		1.012
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_40120	4	0.4226294096651502	0.09328961531393325	GSDMC	101		1.566
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_31849	5	0.42419761332002215	0.09328961531393325	MEF2C	238		0.854
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_5038	6	0.42989579533720784	0.09328961531393325	RET	130		0.934
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_7489	7	0.43749790671376354	0.09328961531393325	P2RY2	25		1.085
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_22641	8	0.4395953462734902	0.09328961531393325	ITGA6	47		1.974
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_39722	9	0.44481366997200494	0.09328961531393325	DEPTOR	103		1.427
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_1703	10	0.44611033491459545	0.09328961531393325	GFI1	19		1.071
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_2697	11	0.4469416983556672	0.09328961531393325	FCRL5	129		1.095
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_42580	12	0.4494443500670606	0.09328961531393325	VSIG4	29		0.592
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_28939	13	0.4501765353322331	0.09328961531393325	IL1RAP	31		1.039
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_18873	14	0.45061676321949035	0.09328961531393325	PRSS57	4		0.966
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_42658	15	0.4525952323552971	0.09328961531393325	RAB40AL	47		0.566
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_11694	1	0.28642805284608464	0.09328961531393325	TMTC4	236		0.779
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_11693	2	0.32728409453323304	0.09328961531393325	TMTC4	242		0.779
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_10009	3	0.39576546531958684	0.09328961531393325	ATP2B1	84		0.76
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_30939	4	0.4098929565168178	0.09328961531393325	FASTKD3	69		1.134
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_8937	5	0.4516316074687934	0.09536972482630193	SOX5	152		0.961
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_21128	6	0.4527662240887641	0.09584210303131331	GTF2A1L	20		1.039
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_40509	7	0.45836496923801856	0.09720053321175644	DMRT1	103		0.89
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_36068	8	0.46097242261996807	0.09821705980270413	PDE1C	26		1.311
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_27187	9	0.46241408445486065	0.09925355335325566	CACNA2D3	40		0.926
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_16470	10	0.462618802014739	0.0993585511004969	SPECC1	78		1.097
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_23571	11	0.46452443389283193	0.09957894504955793	ASB1	204		1.099
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_36585	12	0.4672684233047779	0.10156682604243285	GALNT17	114		1.28
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_12085	13	0.4713984333817685	0.10456981420807553	PRKD1	318		0.683
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_40768	14	0.47376231263988494	0.10685106134158064	CDKN2B	111		0.174
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_38392	15	0.47531812689787123	0.10830642498163982	EBF2	63		0.861
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_32688	1	0.25571050771142007	0.09328961531393325	EBF1	385		1.125
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_24960	2	0.25581310864156254	0.09328961531393325	YTHDF1	54		1.046
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_38805	3	0.28000287779946526	0.09328961531393325	XKR4	256		1.062
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_31211	4	0.28040325177899006	0.09328961531393325	CAPSL	12		1.054
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_6173	5	0.28947893940070285	0.09328961531393325	GPR26	144		0.953
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_25814	6	0.28976174498683266	0.09328961531393325	VPREB1	1		0.855
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_26774	7	0.29133230703530644	0.09328961531393325	OXSM	316		1.076
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_5555	8	0.29273195776280947	0.09328961531393325	NRG3	21		0.942
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_36459	9	0.29349308154914083	0.09328961531393325	ZNF479	239		0.934
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_25405	10	0.29509262645311995	0.09328961531393325	ERG	22		1.043
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_25121	11	0.29632028618523415	0.09328961531393325	USP25	270		0.962
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_32768	12	0.29806508332275683	0.09328961531393325	TENM2	160		0.9
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_26870	13	0.29869256050342097	0.09328961531393325	ARPP21	62		0.894
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_42202	14	0.30392837181845633	0.09328961531393325	LCN6	2		1.02
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_36472	15	0.3120129943623476	0.09328961531393325	ZNF727	377		0.948
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_20043	1	0.4654829267897347	0.09482661327484823	VSTM1	13		0.702
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_41579	2	0.49032765340027684	0.10882237197968685	PTPN3	100		1.174
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_3506	3	0.49144130072423153	0.10982107100127995	GOLT1A	20		1.039
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_41580	4	0.4973649758583959	0.11583828580337593	PTPN3	119		1.174
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_486	5	0.4993265612048163	0.11863005155252694	UBXN10	20		1.098
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_22142	6	0.5076415183732608	0.13051090194955312	GYPC	964		0.962
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_25514	7	0.5137819435387747	0.14195676775737692	WDR4	48		1.147
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_34405	8	0.5222108029900341	0.16092008863145804	HTR1E	621		0.884
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_38627	9	0.5243484867303092	0.16642462457462892	TCIM	55		0.88
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_19230	10	0.5246398866569861	0.16711344886577062	OR1I1	14		0.916
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_7200	11	0.5256100487588311	0.16969104736798055	SLC22A11	21		1.165
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_820	12	0.52596878255643	0.17066086410807818	GJB5	1		1.076
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_2545	13	0.5262177497475854	0.17117240980706608	IVL	3		1.103
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_28466	14	0.526230757482078	0.17117240980706608	GOLIM4	368		1.174
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_27790	15	0.5265102294626804	0.1720346965750333	UPK1B	12		1.221
OncotreePrimaryDisease	Breast Ductal Carcinoma In Situ	USE_25090	1	0.19685586670440736	0.09328961531393325	TPTE	129		0.058
