level	group	se	rank	jsd	fdr	nearest_gene	dist_kb	identity	cn_mean
OncotreeSubtype	AML, NOS	USE_31849	1	0.2116313691498815	0.16119862638320492	MEF2C	238		0.259
OncotreeSubtype	AML, NOS	USE_31852	2	0.30699501024627884	0.16119862638320492	MEF2C	461		0.259
OncotreeSubtype	AML, NOS	USE_31851	3	0.35690631186431476	0.16119862638320492	MEF2C	454		0.259
OncotreeSubtype	AML, NOS	USE_31848	4	0.356917980357215	0.16119862638320492	MEF2C	78		0.259
OncotreeSubtype	AML, NOS	USE_31850	5	0.37754741967566074	0.16119862638320492	MEF2C	267		0.259
OncotreeSubtype	AML, NOS	USE_27446	6	0.37892640027845603	0.16119862638320492	ROBO2	399		0.932
OncotreeSubtype	AML, NOS	USE_37992	7	0.39667203137658313	0.16119862638320492	DNAJB6	85		0.664
OncotreeSubtype	AML, NOS	USE_33060	8	0.4068377269602153	0.16119862638320492	IRF4	67		0.809
OncotreeSubtype	AML, NOS	USE_29813	9	0.4099681370154282	0.16119862638320492	ADAMTS3	88		0.845
OncotreeSubtype	AML, NOS	USE_6276	10	0.41163148762984925	0.16119862638320492	GLRX3	199		0.754
OncotreeSubtype	AML, NOS	USE_24312	11	0.41342459522597547	0.16119862638320492	CTNNBL1	70		0.898
OncotreeSubtype	AML, NOS	USE_8435	12	0.4144645327276263	0.16119862638320492	NTM	410		1.542
OncotreeSubtype	AML, NOS	USE_31847	13	0.41670653524692824	0.16119862638320492	MEF2C	68		0.259
OncotreeSubtype	AML, NOS	USE_8434	14	0.42451974703744266	0.16119862638320492	NTM	406		1.542
OncotreeSubtype	AML, NOS	USE_5540	15	0.4247396175573612	0.16119862638320492	NUTM2E	58		0.843
OncotreeSubtype	Acute Myeloid Leukemia	USE_5038	1	0.4785968253274032	0.16119862638320492	RET	130		0.958
OncotreeSubtype	Acute Myeloid Leukemia	USE_40120	2	0.4803108856006642	0.16119862638320492	GSDMC	101		1.614
OncotreeSubtype	Acute Myeloid Leukemia	USE_13476	3	0.48373728636099106	0.16119862638320492	GOLGA8N	12		1.009
OncotreeSubtype	Acute Myeloid Leukemia	USE_13442	4	0.4871303829347268	0.16119862638320492	GOLGA8Q	12		0.988
OncotreeSubtype	Acute Myeloid Leukemia	USE_13472	5	0.48837567628330353	0.16119862638320492	GOLGA8O	12		1.009
OncotreeSubtype	Acute Myeloid Leukemia	USE_42658	6	0.5024373999973024	0.16119862638320492	RAB40AL	47		0.561
OncotreeSubtype	Acute Myeloid Leukemia	USE_7489	7	0.5056232989129261	0.16119862638320492	P2RY2	25		1.092
OncotreeSubtype	Acute Myeloid Leukemia	USE_19466	8	0.5094750934393775	0.16119862638320492	CEBPA	33	CEBPA	1.072
OncotreeSubtype	Acute Myeloid Leukemia	USE_17876	9	0.5095444572289499	0.16119862638320492	PPP1R27	2		1.215
OncotreeSubtype	Acute Myeloid Leukemia	USE_15916	10	0.5125178446085901	0.16119862638320492	IRF8	72	IRF8	0.972
OncotreeSubtype	Acute Myeloid Leukemia	USE_1703	11	0.5142956881622813	0.16119862638320492	GFI1	19		1.045
OncotreeSubtype	Acute Myeloid Leukemia	USE_28939	12	0.5171102065784854	0.16119862638320492	IL1RAP	31		1.052
OncotreeSubtype	Acute Myeloid Leukemia	USE_28938	13	0.5208814458228499	0.16119862638320492	IL1RAP	25		1.052
OncotreeSubtype	Acute Myeloid Leukemia	USE_24870	14	0.5216748383261693	0.16119862638320492	PHACTR3	10		1.092
OncotreeSubtype	Acute Myeloid Leukemia	USE_11024	15	0.5218132148920382	0.16119862638320492	FRY	43		1.057
OncotreeSubtype	Adenosquamous Carcinoma of the Stomach	USE_10739	1	0.40319523314358485	0.1758543792630328	FZD10	33		0.912
OncotreeSubtype	Adenosquamous Carcinoma of the Stomach	USE_14701	2	0.41540180332898574	0.18755233860361517	AXIN1	14		0.749
