level	kind	group	se	cn_mean	nearest_gene	dist_kb
OncotreeLineage	amplicon_driven	CNS/Brain	USE_12457	7.057	OTX2	0
OncotreeLineage	amplicon_driven	Peripheral Nervous System	USE_20479	82.941	MYCN	248
OncotreeLineage	amplicon_driven	Peripheral Nervous System	USE_20481	82.941	MYCN	272
OncotreeLineage	amplicon_driven	Peripheral Nervous System	USE_20473	82.941	MYCN	171
OncotreeLineage	amplicon_driven	CNS/Brain	USE_12458	7.057	OTX2	80
OncotreeLineage	amplicon_driven	Peripheral Nervous System	USE_20480	82.941	MYCN	254
OncotreeLineage	amplicon_driven	Peripheral Nervous System	USE_20449	82.941	MYCN	94
OncotreeLineage	amplicon_driven	Peripheral Nervous System	USE_20463	82.941	MYCN	39
OncotreeLineage	amplicon_driven	Esophagus/Stomach	USE_6123	12.502	FGFR2	29
OncotreeLineage	amplicon_driven	Peripheral Nervous System	USE_20483	82.941	MYCN	280
OncotreeLineage	amplicon_driven	Peripheral Nervous System	USE_20478	82.941	MYCN	239
OncotreeLineage	amplicon_driven	Peripheral Nervous System	USE_20456	82.941	MYCN	18
OncotreeLineage	amplicon_driven	Peripheral Nervous System	USE_20458	82.941	MYCN	3
OncotreeLineage	amplicon_driven	Peripheral Nervous System	USE_20459	82.941	MYCN	3
OncotreeLineage	amplicon_driven	Peripheral Nervous System	USE_20448	82.941	MYCN	100
OncotreeLineage	amplicon_driven	Peripheral Nervous System	USE_20469	82.941	MYCN	134
OncotreeLineage	amplicon_driven	Peripheral Nervous System	USE_20471	82.941	MYCN	156
OncotreeLineage	amplicon_driven	Peripheral Nervous System	USE_20477	82.941	MYCN	236
OncotreeLineage	amplicon_driven	Peripheral Nervous System	USE_20470	82.941	MYCN	150
OncotreeLineage	amplicon_driven	Peripheral Nervous System	USE_20475	82.941	MYCN	205
OncotreeLineage	amplicon_driven	Peripheral Nervous System	USE_20457	82.941	MYCN	15
OncotreeLineage	amplicon_driven	Peripheral Nervous System	USE_20474	82.941	MYCN	192
OncotreeLineage	rescued	Lymphoid	USE_2700	1.294	FCRL5	20
OncotreeLineage	rescued	Skin	USE_2115	1.24	ATP1A1	42
OncotreeLineage	rescued	Peripheral Nervous System	USE_18426	0.892	CELF4	162
OncotreeLineage	rescued	Lymphoid	USE_18197	1.058	FAM210A	84
OncotreeLineage	rescued	Lymphoid	USE_15081	1.061	NPIPB3	59
OncotreeLineage	rescued	Lymphoid	USE_22769	1.003	ITGA4	52
OncotreeLineage	rescued	Myeloid	USE_26504	1.095	EDEM1	229
OncotreeLineage	rescued	Peripheral Nervous System	USE_9199	1.097	KIF21A	21
OncotreeLineage	rescued	Lymphoid	USE_33609	1.074	RIPOR2	213
OncotreeLineage	rescued	Lymphoid	USE_23616	0.965	MAB21L4	17
OncotreeLineage	rescued	Peripheral Nervous System	USE_35223	0.929	NOX3	603
OncotreeLineage	rescued	Bone	USE_27645	1.061	CCDC54	660
OncotreeLineage	rescued	Liver	USE_6981	0.903	F2	10
OncotreeLineage	rescued	Lymphoid	USE_24221	1.125	CHMP4B	41
OncotreeLineage	rescued	Bone	USE_30205	0.888	MTRNR2L13	116
OncotreeLineage	rescued	Lymphoid	USE_35699	1.127	ICA1	56
OncotreeLineage	rescued	Skin	USE_30954	1.102	SEMA5A	145
OncotreeLineage	rescued	Bone	USE_33250	0.962	SLC35B3	100
OncotreeLineage	rescued	Myeloid	USE_7003	0.943	C1QTNF4	0
OncotreeLineage	rescued	Lung	USE_41293	0.943	GADD45G	435
OncotreeLineage	rescued	Myeloid	USE_15817	0.955	PLCG2	52
OncotreeLineage	rescued	Myeloid	USE_26825	1.016	STT3B	358
OncotreeLineage	rescued	Lymphoid	USE_41307	1.018	SYK	125
