level	group	se	rank	jsd	fdr	nearest_gene	dist_kb	identity	cn_mean
line	NIHOVCAR3	USE_42389	1	0.5797712835542939	9.070904314254922e-272	MAP3K15	14		0.618
line	NIHOVCAR3	USE_37769	2	0.5927218790890694	1.2770355466983524e-208	PRSS2	7		1.108
line	NIHOVCAR3	USE_36539	3	0.5932697682778472	3.9258358820661927e-206	SPDYE21	604		0.973
line	NIHOVCAR3	USE_6049	4	0.5936894973712058	3.090630945392827e-204	EMX2	1		1.183
line	NIHOVCAR3	USE_37507	5	0.6014937894127717	1.3424047685420976e-170	TMEM209	31		1.013
line	NIHOVCAR3	USE_20781	6	0.6021483232141526	6.465711346873801e-168	YPEL5	166		1.0
line	NIHOVCAR3	USE_31707	7	0.6021664581627193	7.66696756385579e-168	CERT1	30		0.963
line	NIHOVCAR3	USE_37770	8	0.6029833106878826	1.5951881863772409e-164	PRSS2	10		1.12
line	NIHOVCAR3	USE_24697	9	0.6046434974596838	6.939433102386051e-158	ZFP64	547		1.777
line	NIHOVCAR3	USE_18124	10	0.6102300838712681	1.5300959895306464e-136	NAPG	23		1.537
line	NIHOVCAR3	USE_5590	11	0.6141532181809686	1.7483264906236902e-122	GLUD1	8		1.183
line	NIHOVCAR3	USE_37506	12	0.6150343708156474	1.9663229999805084e-119	TMEM209	36		0.987
line	NIHOVCAR3	USE_22733	13	0.6159932654828322	3.721383330889763e-116	AGPS	154		0.98
line	NIHOVCAR3	USE_39529	14	0.6161372784420438	1.1452944618935268e-115	ANGPT1	246		1.242
line	NIHOVCAR3	USE_361	15	0.6170621034926109	1.4796314446155811e-112	TMEM51	156		1.923
line	HEL	USE_31849	1	0.3259987376064911	0.0	MEF2C	238		0.008
line	HEL	USE_31852	2	0.4203450267945041	0.0	MEF2C	461		0.008
line	HEL	USE_31851	3	0.4637137560699535	0.0	MEF2C	454		0.008
line	HEL	USE_31850	4	0.4640456957622964	0.0	MEF2C	267		0.008
line	HEL	USE_31848	5	0.4960149119318649	0.0	MEF2C	78		0.008
line	HEL	USE_37992	6	0.504407118136972	0.0	DNAJB6	85		0.81
line	HEL	USE_33060	7	0.5044936117001539	0.0	IRF4	67		0.663
line	HEL	USE_6276	8	0.5132387729168176	0.0	GLRX3	199		0.654
line	HEL	USE_42264	9	0.520525206784294	0.0	CRLF2	43		0.635
line	HEL	USE_42278	10	0.5232705049227824	5e-324	ASMT	52		0.635
line	HEL	USE_30991	11	0.5237864648327994	8e-322	CTNND2	378		0.973
line	HEL	USE_31847	12	0.5247112770796476	4.157755e-318	MEF2C	68		0.008
line	HEL	USE_42100	13	0.526492042471374	5.119465226513e-311	ADAMTSL2	10		0.698
line	HEL	USE_6543	14	0.5359796397889468	1.3582577096541277e-274	CSNK2A3	105		0.675
line	HEL	USE_31843	15	0.5378264371085572	9.094025668032002e-268	MEF2C	70		0.008
line	HCC827	USE_27280	1	0.5497046339650047	0.0	PTPRG	32		0.711
line	HCC827	USE_39604	2	0.5694738784749157	3.468842084616881e-289	TRPS1	130		0.703
line	HCC827	USE_14655	3	0.5707728910400351	1.0767861127960598e-282	ASB7	115		0.737
line	HCC827	USE_36955	4	0.5767889838917829	1.3665593563034362e-253	PPP1R9A	96		1.001
line	HCC827	USE_39520	5	0.5825268941261023	2.65515170049345e-227	OXR1	62		0.705
line	HCC827	USE_28592	6	0.5826184839737885	6.78158490972876e-227	NAALADL2	144		1.013
line	HCC827	USE_12295	7	0.5841285459390749	3.165854754969034e-220	RPS29	292		1.148
line	HCC827	USE_12207	8	0.5858534482781118	1.0021870806431437e-212	NKX2-1	40		1.172
line	HCC827	USE_8865	9	0.5864379870367109	3.2563904780718114e-210	LMO3	3		1.369
line	HCC827	USE_33709	10	0.5904398334772638	2.0239235090513724e-193	HLA-G	8		0.832
