level	group	se	rank	jsd	fdr	nearest_gene	dist_kb	identity	cn_mean
OncotreeLineage	Biliary Tract	USE_12971	1	0.33754077804047355	0.2085475993751056	GPR68	0		1.575
OncotreeLineage	Biliary Tract	USE_12557	2	0.3445989292465963	0.2187929855984222	HIF1A	153		1.593
OncotreeLineage	Biliary Tract	USE_1760	3	0.3791575486861548	0.2728649519663497	SLC44A3	73		1.026
OncotreeLineage	Biliary Tract	USE_15507	4	0.3800346030921169	0.2743632289051083	CNGB1	29		0.758
OncotreeLineage	Biliary Tract	USE_8762	5	0.38220939101332146	0.278562651512478	BCL2L14	171		1.498
OncotreeLineage	Biliary Tract	USE_15506	6	0.38228988251542134	0.2786578375918306	CNGB1	34		0.758
OncotreeLineage	Biliary Tract	USE_42911	7	0.38601583517750365	0.2858379068743275	TBL1Y	434		0.415
OncotreeLineage	Biliary Tract	USE_24784	8	0.3882662850738495	0.2899645038372709	BMP7	229		1.302
OncotreeLineage	Biliary Tract	USE_17372	9	0.39103892334263524	0.29526735307052987	PECAM1	22		1.498
OncotreeLineage	Biliary Tract	USE_38562	10	0.3963220135257698	0.306817691970278	ZNF703	204		1.412
OncotreeLineage	Biliary Tract	USE_1791	11	0.3976448818053664	0.30989414852434416	DPYD	151		0.986
OncotreeLineage	Biliary Tract	USE_1755	12	0.40242128053055737	0.31965058882589154	F3	71		0.991
OncotreeLineage	Biliary Tract	USE_32562	13	0.4026433070159522	0.31981357768814916	SLC6A7	1		1.324
OncotreeLineage	Biliary Tract	USE_24629	14	0.40358512488135423	0.3216921606370695	PARD6B	48		1.282
OncotreeLineage	Biliary Tract	USE_42939	15	0.40469465255926795	0.3243339753584459	CDY1	31071		1.0
OncotreeLineage	Bladder/Urinary Tract	USE_41579	1	0.3901682594877257	0.11976254977110772	PTPN3	100		1.174
OncotreeLineage	Bladder/Urinary Tract	USE_25514	2	0.3914368421050769	0.12045719516939091	WDR4	48		1.147
OncotreeLineage	Bladder/Urinary Tract	USE_33546	3	0.39446948229054585	0.1214851045365195	SOX4	19		4.871
OncotreeLineage	Bladder/Urinary Tract	USE_33556	4	0.3968091950714689	0.12247253189322282	SOX4	244		4.871
OncotreeLineage	Bladder/Urinary Tract	USE_41580	5	0.41291143969557587	0.13429013771789855	PTPN3	119		1.174
OncotreeLineage	Bladder/Urinary Tract	USE_27788	6	0.41457576279423647	0.13607834734665064	TEX55	7		1.315
OncotreeLineage	Bladder/Urinary Tract	USE_486	7	0.41759957492727184	0.13898931124638556	UBXN10	20		1.098
OncotreeLineage	Bladder/Urinary Tract	USE_33533	8	0.4178658211231115	0.1392715329507356	CDKAL1	340		4.31
OncotreeLineage	Bladder/Urinary Tract	USE_25457	9	0.4184549733291388	0.1398804774181919	FAM3B	35		1.157
OncotreeLineage	Bladder/Urinary Tract	USE_22142	10	0.4255732525201267	0.14897344785833616	GYPC	964		0.962
OncotreeLineage	Bladder/Urinary Tract	USE_27790	11	0.4264681620673255	0.15039952818216648	UPK1B	12		1.221
OncotreeLineage	Bladder/Urinary Tract	USE_25543	12	0.42678132365943483	0.1508096729673036	HSF2BP	28		1.119
OncotreeLineage	Bladder/Urinary Tract	USE_33534	13	0.43131209074577576	0.15672454316790566	SOX4	325		4.31
OncotreeLineage	Bladder/Urinary Tract	USE_6558	14	0.4327505114410442	0.15851429722664734	MICAL2	36		1.437
OncotreeLineage	Bladder/Urinary Tract	USE_26053	15	0.43473267853977454	0.16147515151928263	SYN3	86		1.073
OncotreeLineage	Bone	USE_13093	1	0.178803141044453	0.08304761711371568	VRK1	339		1.094
OncotreeLineage	Bone	USE_38410	2	0.1849853474129147	0.08304761711371568	STMN4	33		1.285
OncotreeLineage	Bone	USE_13092	3	0.1974707660724	0.09779104249889052	VRK1	337		1.094
OncotreeLineage	Bone	USE_3242	4	0.21696715752433468	0.10290882746719857	HMCN1	246		1.22
OncotreeLineage	Bone	USE_18121	5	0.22498119147863807	0.10290882746719857	APCDD1	9		1.084
