level	group	se	rank	jsd	fdr	nearest_gene	dist_kb	identity	cn_mean
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_40120	1	0.3926698544336973	0.16191871901609767	GSDMC	101		1.566
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_22641	2	0.39409658123148494	0.16191871901609767	ITGA6	47		1.974
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_13442	3	0.40302379480562406	0.16191871901609767	GOLGA8Q	12		0.984
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_13476	4	0.403349637360246	0.16191871901609767	GOLGA8N	12		1.012
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_13472	5	0.41160254142558017	0.16191871901609767	GOLGA8O	12		1.012
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_11024	6	0.42838860681130203	0.16191871901609767	FRY	43		1.054
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_39722	7	0.4299739417454803	0.16191871901609767	DEPTOR	103		1.427
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_5038	8	0.43159827880069973	0.16191871901609767	RET	130		0.934
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_19466	9	0.43461717045801235	0.16191871901609767	CEBPA	33	CEBPA	1.091
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_7489	10	0.4369386851490462	0.16191871901609767	P2RY2	25		1.085
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_34974	11	0.43839361695331575	0.16191871901609767	CITED2	253		1.228
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_40783	12	0.4413059953905266	0.16191871901609767	TUSC1	316		1.037
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_1703	13	0.44143246218333043	0.16191871901609767	GFI1	19		1.071
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_15916	14	0.4489457830402864	0.16191871901609767	IRF8	72	IRF8	0.961
OncotreePrimaryDisease	Acute Myeloid Leukemia	USE_18873	15	0.4498834830082128	0.16191871901609767	PRSS57	4		0.966
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_30939	1	0.3836883164919559	0.16191871901609767	FASTKD3	69		1.134
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_36585	2	0.40466794711342724	0.16191871901609767	GALNT17	114		1.28
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_16470	3	0.4195413168910738	0.16191871901609767	SPECC1	78		1.097
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_26041	4	0.4257820862540444	0.16191871901609767	RFPL3	22		1.011
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_21128	5	0.4307391966946452	0.16191871901609767	GTF2A1L	20		1.039
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_7974	6	0.4368668359585561	0.16262221843529026	DDX10	231		3.226
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_36068	7	0.44781070514966254	0.16397545630425528	PDE1C	26		1.311
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_28707	8	0.4492290561848172	0.16461035039020422	SOX2	527		1.056
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_40509	9	0.45230707176279056	0.1655535445319041	DMRT1	103		0.89
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_36736	10	0.4526829649026404	0.16566495515860646	PHTF2	273		1.339
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_7976	11	0.4530578142524675	0.16602038349377307	C11orf87	6		2.483
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_16637	12	0.45396746009061884	0.16687683848221604	CCL2	11		1.216
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_23571	13	0.4565325018554472	0.16829947152197022	ASB1	204		1.099
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_23574	14	0.4607888059426419	0.17029935486692632	TWIST2	55		1.071
OncotreePrimaryDisease	Adult-Type Diffuse Glioma	USE_37427	15	0.4627293625685746	0.17110382580279382	POT1	83		1.363
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_32688	1	0.243978454372062	0.16191871901609767	EBF1	385		1.125
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_38805	2	0.2738074605143448	0.16191871901609767	XKR4	256		1.062
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_6173	3	0.2747653446425141	0.16191871901609767	GPR26	144		0.953
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_26774	4	0.2774188740346897	0.16191871901609767	OXSM	316		1.076
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_5555	5	0.27955875954961645	0.16191871901609767	NRG3	21		0.942
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_31211	6	0.28165668741339833	0.16191871901609767	CAPSL	12		1.054
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_25405	7	0.28320418999032837	0.16191871901609767	ERG	22		1.043
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_24960	8	0.28522672442482655	0.16191871901609767	YTHDF1	54		1.046
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_10958	9	0.28945780042956587	0.16191871901609767	PAN3	52		1.411
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_42910	10	0.29045749015959343	0.16191871901609767	TBL1Y	29		0.182
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_25121	11	0.2924112524694705	0.16191871901609767	USP25	270		0.962
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_42202	12	0.2937480106905779	0.16191871901609767	LCN6	2		1.02
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_36459	13	0.29809849806983135	0.16191871901609767	ZNF479	239		0.934
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_6883	14	0.30118515293145953	0.16191871901609767	IFTAP	15		1.108
OncotreePrimaryDisease	B-Cell Acute Lymphoblastic Leukemia	USE_5714	15	0.302368646994724	0.16191871901609767	DNTT	14		1.091
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_25514	1	0.4688579168559396	0.16932267976310675	WDR4	48		1.147
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_33546	2	0.47728371288598503	0.1735130020224347	SOX4	19		4.871
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_33556	3	0.4826966142471785	0.17732553193305495	SOX4	244		4.871
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_41579	4	0.483804237320245	0.17838415701309696	PTPN3	100		1.174
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_41580	5	0.4858937045340181	0.1798273579187331	PTPN3	119		1.174
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_486	6	0.49099998577607185	0.18478135445027072	UBXN10	20		1.098
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_33533	7	0.4922527710538735	0.18612233609136036	CDKAL1	340		4.31
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_25457	8	0.4963744455554292	0.19029013411808143	FAM3B	35		1.157
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_33551	9	0.5020535906512542	0.1990762427717629	SOX4	69		4.871
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_22142	10	0.5035278801070816	0.20091804363961815	GYPC	964		0.962
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_27790	11	0.5043966656777021	0.20245931653132668	UPK1B	12		1.221
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_3506	12	0.5045016611469747	0.20245931653132668	GOLT1A	20		1.039
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_27788	13	0.5045842932844821	0.2024825621793278	TEX55	7		1.315
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_25543	14	0.5049943246175553	0.20291811854977937	HSF2BP	28		1.119
OncotreePrimaryDisease	Bladder Urothelial Carcinoma	USE_25241	15	0.5078732534107319	0.20686758497071095	SOD1	160		1.147
OncotreePrimaryDisease	Breast Ductal Carcinoma In Situ	USE_35507	1	0.34547747062844125	0.17579583851951275	FOXL3	77		2.421
OncotreePrimaryDisease	Breast Ductal Carcinoma In Situ	USE_6813	2	0.36549991927148245	0.18847547264283365	EHF	20		5.416
OncotreePrimaryDisease	Breast Ductal Carcinoma In Situ	USE_19368	3	0.3701924883892267	0.19263599657769392	ZNF675	57		3.471
OncotreePrimaryDisease	Breast Ductal Carcinoma In Situ	USE_7833	4	0.3921066963647719	0.21335235285403478	ARHGAP42	90		1.451
OncotreePrimaryDisease	Breast Ductal Carcinoma In Situ	USE_40342	5	0.39725465751932626	0.21886267664816403	PTK2	103		2.397
OncotreePrimaryDisease	Breast Ductal Carcinoma In Situ	USE_24124	6	0.3982561233726827	0.22022760961956067	DEFB115	2613		2.118
OncotreePrimaryDisease	Breast Ductal Carcinoma In Situ	USE_19369	7	0.39870935399368657	0.22055097140834795	ZNF675	56		3.471
OncotreePrimaryDisease	Breast Ductal Carcinoma In Situ	USE_33502	8	0.403702843879412	0.226292918676039	MBOAT1	81		1.94
OncotreePrimaryDisease	Breast Ductal Carcinoma In Situ	USE_19367	9	0.4104076046841134	0.2349775685991948	ZNF675	65		3.471
OncotreePrimaryDisease	Breast Ductal Carcinoma In Situ	USE_13355	10	0.4126510422854437	0.2383810761777448	OR4N4	162		2.372
OncotreePrimaryDisease	Breast Ductal Carcinoma In Situ	USE_11389	11	0.41984791036952535	0.24859707514863708	KLHL1	681		0.916
OncotreePrimaryDisease	Breast Ductal Carcinoma In Situ	USE_33501	12	0.4211985761831576	0.25048095900293327	MBOAT1	84		1.94
OncotreePrimaryDisease	Breast Ductal Carcinoma In Situ	USE_4629	13	0.42147886339361834	0.2506907822076881	SEPHS1	51		1.397
OncotreePrimaryDisease	Breast Ductal Carcinoma In Situ	USE_9070	14	0.43356858024991374	0.26953372752048205	PTHLH	11		1.917
OncotreePrimaryDisease	Breast Ductal Carcinoma In Situ	USE_3664	15	0.4390977245776867	0.27792686346607115	CAMK1G	214		1.512
OncotreePrimaryDisease	Cervical Squamous Cell Carcinoma	USE_36835	1	0.3621425544212101	0.19555492066536007	SEMA3D	745		1.601
OncotreePrimaryDisease	Cervical Squamous Cell Carcinoma	USE_38011	2	0.37284931499222373	0.20411757605542843	PTPRN2	270		1.348
OncotreePrimaryDisease	Cervical Squamous Cell Carcinoma	USE_42846	3	0.3856218229050504	0.21723984733972893	MAGEA4	5		0.932
OncotreePrimaryDisease	Cervical Squamous Cell Carcinoma	USE_42712	4	0.3909233775459574	0.2231310658732577	PLS3	126		0.945
OncotreePrimaryDisease	Cervical Squamous Cell Carcinoma	USE_4996	5	0.4123215432339993	0.2504342333776347	ANKRD30A	379		1.0
OncotreePrimaryDisease	Cervical Squamous Cell Carcinoma	USE_34221	6	0.41769175951621973	0.2581772648412818	MLIP	81		1.117
OncotreePrimaryDisease	Cervical Squamous Cell Carcinoma	USE_12661	7	0.42025469227685963	0.26238518006546624	RAD51B	204		1.051
OncotreePrimaryDisease	Cervical Squamous Cell Carcinoma	USE_36831	8	0.42292419809655524	0.2661362215420737	SEMA3D	94		1.601
OncotreePrimaryDisease	Cervical Squamous Cell Carcinoma	USE_36830	9	0.4252173964127272	0.26930446300253597	SEMA3D	88		1.601
OncotreePrimaryDisease	Cervical Squamous Cell Carcinoma	USE_30685	10	0.4263016478878729	0.27075839811038915	VEGFC	195		1.013
OncotreePrimaryDisease	Cervical Squamous Cell Carcinoma	USE_34222	11	0.42680260772133727	0.27132509656239717	MLIP	24		1.117
OncotreePrimaryDisease	Cervical Squamous Cell Carcinoma	USE_42711	12	0.4307947967934329	0.277335001616434	PLS3	124		0.945
OncotreePrimaryDisease	Cervical Squamous Cell Carcinoma	USE_32142	13	0.4324070665039832	0.2796972907840752	ZNF608	630		1.071
OncotreePrimaryDisease	Cervical Squamous Cell Carcinoma	USE_33551	14	0.43999368304145814	0.29200497667885755	SOX4	69		1.018
OncotreePrimaryDisease	Cervical Squamous Cell Carcinoma	USE_34998	15	0.44220265191820823	0.2957872158930211	NMBR	1029		1.081
OncotreePrimaryDisease	Clear Cell Sarcoma	USE_12216	1	0.22700984790172174	0.16191871901609767	PAX9	67		0.999
OncotreePrimaryDisease	Clear Cell Sarcoma	USE_38079	2	0.2282363858230872	0.16191871901609767	CSMD1	851		0.967
OncotreePrimaryDisease	Clear Cell Sarcoma	USE_29626	3	0.22898534979086638	0.16191871901609767	KCTD8	86		0.97
OncotreePrimaryDisease	Clear Cell Sarcoma	USE_6903	4	0.23324242770768905	0.16191871901609767	API5	110		1.042
OncotreePrimaryDisease	Clear Cell Sarcoma	USE_42903	5	0.2358048034217729	0.16191871901609767	VAMP7	39		0.949
OncotreePrimaryDisease	Clear Cell Sarcoma	USE_34154	6	0.2379563291442095	0.16191871901609767	TFAP2D	291		0.942
OncotreePrimaryDisease	Clear Cell Sarcoma	USE_41653	7	0.23903052679949344	0.16191871901609767	SLC31A2	17		1.055
OncotreePrimaryDisease	Clear Cell Sarcoma	USE_26925	8	0.24152764848315283	0.16191871901609767	MOBP	35		1.004
OncotreePrimaryDisease	Clear Cell Sarcoma	USE_42704	9	0.24681312636784133	0.16191871901609767	AMOT	311		1.347
OncotreePrimaryDisease	Clear Cell Sarcoma	USE_5173	10	0.24852420217285368	0.16191871901609767	MBL2	498		0.969
OncotreePrimaryDisease	Clear Cell Sarcoma	USE_33262	11	0.2566519052725519	0.16191871901609767	SLC35B3	734		0.958
