level	group	se	rank	jsd	fdr	nearest_gene	dist_kb	identity	cn_mean
OncotreeSubtype	AML, NOS	USE_27446	1	0.36026809229222323	0.2606418858224069	ROBO2	399		0.932
OncotreeSubtype	AML, NOS	USE_40785	2	0.3707389220764347	0.2606418858224069	CAAP1	329		1.047
OncotreeSubtype	AML, NOS	USE_8435	3	0.37136984892139185	0.2606418858224069	NTM	410		1.542
OncotreeSubtype	AML, NOS	USE_40610	4	0.377898828632565	0.2606418858224069	PTPRD	536		1.565
OncotreeSubtype	AML, NOS	USE_8434	5	0.3805253722862556	0.2606418858224069	NTM	406		1.542
OncotreeSubtype	AML, NOS	USE_40577	6	0.3968811219485997	0.2606418858224069	RIC1	57		3.261
OncotreeSubtype	AML, NOS	USE_40609	7	0.4033604562086247	0.26105032214857526	PTPRD	538		1.565
OncotreeSubtype	AML, NOS	USE_25502	8	0.41814617322902276	0.2616541292452891	RSPH1	19		3.48
OncotreeSubtype	AML, NOS	USE_4688	9	0.41822768896534945	0.2616541292452891	ST8SIA6	41		1.043
OncotreeSubtype	AML, NOS	USE_25156	10	0.4199922787840269	0.2616541292452891	NCAM2	1012		1.836
OncotreeSubtype	AML, NOS	USE_29813	11	0.42100802893888195	0.2616541292452891	ADAMTS3	88		0.845
OncotreeSubtype	AML, NOS	USE_25405	12	0.4235387366405101	0.2616541292452891	ERG	22		3.421
OncotreeSubtype	AML, NOS	USE_40783	13	0.431510670483084	0.2616541292452891	TUSC1	316		2.069
OncotreeSubtype	AML, NOS	USE_8436	14	0.43635882525157443	0.26249999388724604	NTM	430		1.542
OncotreeSubtype	AML, NOS	USE_38584	15	0.436768863670969	0.26249999388724604	EIF4EBP1	36		1.258
OncotreeSubtype	Acute Myeloid Leukemia	USE_40120	1	0.451058329527373	0.2606418858224069	GSDMC	101		1.614
OncotreeSubtype	Acute Myeloid Leukemia	USE_5038	2	0.4791642365250638	0.2606418858224069	RET	130		0.958
OncotreeSubtype	Acute Myeloid Leukemia	USE_22641	3	0.4831028357135429	0.2606418858224069	ITGA6	47		2.111
OncotreeSubtype	Acute Myeloid Leukemia	USE_13442	4	0.4841089944707713	0.2606418858224069	GOLGA8Q	12		0.988
OncotreeSubtype	Acute Myeloid Leukemia	USE_13476	5	0.485645182625035	0.2606418858224069	GOLGA8N	12		1.009
OncotreeSubtype	Acute Myeloid Leukemia	USE_19466	6	0.4874331392627818	0.2606418858224069	CEBPA	33	CEBPA	1.072
OncotreeSubtype	Acute Myeloid Leukemia	USE_13472	7	0.49002188152919046	0.2606418858224069	GOLGA8O	12		1.009
OncotreeSubtype	Acute Myeloid Leukemia	USE_11024	8	0.5012160958722249	0.2606418858224069	FRY	43		1.057
OncotreeSubtype	Acute Myeloid Leukemia	USE_7489	9	0.5062993436694487	0.2606418858224069	P2RY2	25		1.092
OncotreeSubtype	Acute Myeloid Leukemia	USE_15916	10	0.5097202379465924	0.2606418858224069	IRF8	72	IRF8	0.972
OncotreeSubtype	Acute Myeloid Leukemia	USE_34974	11	0.5098274232830194	0.2606418858224069	CITED2	253		1.262
OncotreeSubtype	Acute Myeloid Leukemia	USE_1703	12	0.5105639305585016	0.2606418858224069	GFI1	19		1.045
OncotreeSubtype	Acute Myeloid Leukemia	USE_42658	13	0.5132414474610469	0.2606418858224069	RAB40AL	47		0.561
OncotreeSubtype	Acute Myeloid Leukemia	USE_18873	14	0.5159555354971775	0.2606418858224069	PRSS57	4		1.016
OncotreeSubtype	Acute Myeloid Leukemia	USE_33220	15	0.517243668627068	0.2606418858224069	RREB1	236		1.048
OncotreeSubtype	Adenosquamous Carcinoma of the Stomach	USE_8988	1	0.31341484462755204	0.2606418858224069	LMNTD1	141		8.417
OncotreeSubtype	Adenosquamous Carcinoma of the Stomach	USE_9000	2	0.3545092119437915	0.2616541292452891	RASSF8	94		8.045
OncotreeSubtype	Adenosquamous Carcinoma of the Stomach	USE_8992	3	0.36510978420243295	0.2616541292452891	LMNTD1	164		8.417
OncotreeSubtype	Adenosquamous Carcinoma of the Stomach	USE_8983	4	0.3676618202577464	0.2616541292452891	LMNTD1	30		8.417
OncotreeSubtype	Adenosquamous Carcinoma of the Stomach	USE_8990	5	0.3835684992559224	0.2637239521920772	LMNTD1	159		8.417
OncotreeSubtype	Adenosquamous Carcinoma of the Stomach	USE_8991	6	0.39031715266456024	0.26528982643232385	LMNTD1	169		8.417
OncotreeSubtype	Adenosquamous Carcinoma of the Stomach	USE_19518	7	0.3955429748935475	0.2661290260608023	GPR42	16		1.007
OncotreeSubtype	Adenosquamous Carcinoma of the Stomach	USE_19967	8	0.3995986173874076	0.2667981826616701	GPR32	8		1.043
OncotreeSubtype	Adenosquamous Carcinoma of the Stomach	USE_9091	9	0.39961261038807416	0.2667981826616701	FAR2	24		4.881
OncotreeSubtype	Adenosquamous Carcinoma of the Stomach	USE_8998	10	0.40219185702667115	0.2697864572540319	RASSF8	189		8.045
OncotreeSubtype	Adenosquamous Carcinoma of the Stomach	USE_9001	11	0.4040524236369717	0.2714912217480455	RASSF8	92		8.045
OncotreeSubtype	Adenosquamous Carcinoma of the Stomach	USE_10739	12	0.40463823248137043	0.2719488830868451	FZD10	33		0.912
OncotreeSubtype	Adenosquamous Carcinoma of the Stomach	USE_37213	13	0.407269493885418	0.27293335750964137	CCDC71L	22		1.613
OncotreeSubtype	Adenosquamous Carcinoma of the Stomach	USE_8984	14	0.41988202493447274	0.2830808014887956	LMNTD1	38		8.417
OncotreeSubtype	Adenosquamous Carcinoma of the Stomach	USE_24709	15	0.4287161501397818	0.29089285036892787	TSHZ2	112		2.336
OncotreeSubtype	Alveolar Rhabdomyosarcoma	USE_42800	1	0.3646918122424687	0.2606418858224069	CT45A1	78		0.687
OncotreeSubtype	Alveolar Rhabdomyosarcoma	USE_19479	2	0.37262420030388527	0.2606418858224069	CHST8	28		1.267
OncotreeSubtype	Alveolar Rhabdomyosarcoma	USE_40515	3	0.37700645128526344	0.2606418858224069	DMRT2	477		1.128
OncotreeSubtype	Alveolar Rhabdomyosarcoma	USE_19442	4	0.37882216761912135	0.2606418858224069	TSHZ3	5		1.478
OncotreeSubtype	Alveolar Rhabdomyosarcoma	USE_14857	5	0.38074405739642403	0.2606418858224069	RBFOX1	875		0.875
OncotreeSubtype	Alveolar Rhabdomyosarcoma	USE_6642	6	0.382230202895103	0.2606418858224069	OTOG	54		1.255
OncotreeSubtype	Alveolar Rhabdomyosarcoma	USE_24493	7	0.39060110352519617	0.2606418858224069	EYA2	20		2.027
OncotreeSubtype	Alveolar Rhabdomyosarcoma	USE_42801	8	0.39602522449003147	0.26105032214857526	CT45A1	41		0.82
