level	group	se	rank	jsd	fdr	nearest_gene	dist_kb	identity	cn_mean
line	NIHOVCAR3	USE_20034	1	0.4675546315134988	0.0	NLRP12	61		6.657
line	NIHOVCAR3	USE_20029	2	0.4925659060322342	0.0	DPRX	36		5.566
line	NIHOVCAR3	USE_20036	3	0.500591330171323	0.0	NLRP12	38		6.657
line	NIHOVCAR3	USE_6049	4	0.5633578921193958	0.0	EMX2	1		1.183
line	NIHOVCAR3	USE_20048	5	0.5657622948552239	5.736e-321	TMC4	6		5.828
line	NIHOVCAR3	USE_20028	6	0.5664571584873318	3.252095e-317	DPRX	39		5.566
line	NIHOVCAR3	USE_361	7	0.5695226442066006	6.467986143040583e-301	TMEM51	156		1.923
line	NIHOVCAR3	USE_19582	8	0.5748588547372615	1.4372729244698453e-273	WDR87	57		3.545
line	NIHOVCAR3	USE_42389	9	0.5748911121980866	2.083849578617141e-273	MAP3K15	14		0.618
line	NIHOVCAR3	USE_24697	10	0.5773010836613532	1.736864142327604e-261	ZFP64	547		1.777
line	NIHOVCAR3	USE_18124	11	0.5795196955850084	9.473057449884278e-251	NAPG	23		1.537
line	NIHOVCAR3	USE_19629	12	0.5805234888071562	5.73573675322434e-246	RPS16	5		9.43
line	NIHOVCAR3	USE_360	13	0.5862998758798441	2.4242405650911855e-219	TMEM51	208		1.923
line	NIHOVCAR3	USE_20030	14	0.5864422145991688	1.0516346585360511e-218	DPRX	24		7.299
line	NIHOVCAR3	USE_20025	15	0.5910641746097169	1.5792078440259503e-198	ZNF331	11		5.566
line	HEL	USE_40785	1	0.46345617521418214	0.0	CAAP1	329		2.094
line	HEL	USE_40783	2	0.5313304727347388	0.0	TUSC1	316		4.139
line	HEL	USE_30991	3	0.5382537074461968	0.0	CTNND2	378		0.973
line	HEL	USE_37992	4	0.5382612439748562	0.0	DNAJB6	85		0.81
line	HEL	USE_20055	5	0.5386417083116737	0.0	TTYH1	14		1.202
line	HEL	USE_6276	6	0.5395649267511002	0.0	GLRX3	199		0.654
line	HEL	USE_40610	7	0.5399827040301248	0.0	PTPRD	536		2.311
line	HEL	USE_40781	8	0.5416970498488932	0.0	TUSC1	179		4.139
line	HEL	USE_42264	9	0.5419782162092427	0.0	CRLF2	43		0.635
line	HEL	USE_42934	10	0.5426374937188523	0.0	KDM5D	138		0.68
line	HEL	USE_33060	11	0.5458353081596109	4.9862726e-317	IRF4	67		0.663
line	HEL	USE_42278	12	0.5459777924623719	2.23299807e-316	ASMT	52		0.635
line	HEL	USE_40577	13	0.5485155388242752	6.78092327737628e-305	RIC1	57		4.239
line	HEL	USE_40609	14	0.548901191867873	3.6155981273970754e-303	PTPRD	538		2.311
line	HEL	USE_40620	15	0.5533027357419728	8.25262310392117e-284	LURAP1L	174		4.476
line	HCC827	USE_38874	1	0.5521511776989663	0.0	CA8	385		2.078
line	HCC827	USE_8865	2	0.5662092761442589	0.0	LMO3	3		1.369
line	HCC827	USE_27280	3	0.5666962901539918	0.0	PTPRG	32		0.711
line	HCC827	USE_12207	4	0.5704168298561381	0.0	NKX2-1	40		1.172
line	HCC827	USE_36419	5	0.5754756296346135	0.0	SEC61G	105		29.162
line	HCC827	USE_12295	6	0.5787104607603837	0.0	RPS29	292		1.148
line	HCC827	USE_8864	7	0.58155935091808	3.7e-322	LMO3	5		1.369
line	HCC827	USE_33320	8	0.5834994590768805	3.21594645837483e-310	ADTRP	50		17.262
line	HCC827	USE_28592	9	0.5842121875703482	6.838903771690628e-306	NAALADL2	144		1.013
line	HCC827	USE_29488	10	0.5852120899791402	7.195392149343427e-300	PCDH7	180		1.032
line	HCC827	USE_36955	11	0.5864528343301876	1.7635210599590956e-292	PPP1R9A	96		1.001
line	HCC827	USE_29498	12	0.5869779498810771	2.2161917800388562e-289	PCDH7	155		1.032
line	HCC827	USE_29497	13	0.5877849226928862	1.1927746751413024e-284	PCDH7	161		1.032
line	HCC827	USE_1433	14	0.5890273679742364	1.9191479119903749e-277	LEPROT	33		1.513
line	HCC827	USE_36420	15	0.5891592448102458	1.1038225794767414e-276	SEC61G	121		29.162
line	SKBR3	USE_39740	1	0.5162691644774412	0.0	SNTB1	26		14.274
line	SKBR3	USE_39140	2	0.5417925805589967	0.0	ZNF704	58		10.048
line	SKBR3	USE_39576	3	0.5434796116704697	0.0	CSMD3	898		6.716
line	SKBR3	USE_39617	4	0.5470871259624684	0.0	TRPS1	378		8.268
line	SKBR3	USE_39609	5	0.5563437115957236	0.0	TRPS1	228		8.268
line	SKBR3	USE_35741	6	0.5586860194631387	0.0	ETV1	213		1.831
line	SKBR3	USE_39612	7	0.5656917963875988	0.0	TRPS1	258		8.268
line	SKBR3	USE_39607	8	0.5666002350937094	0.0	TRPS1	170		8.268
line	SKBR3	USE_39045	9	0.5691231671134571	0.0	RDH10	21		4.851
line	SKBR3	USE_39616	10	0.5693289923565694	0.0	TRPS1	360		8.268
line	SKBR3	USE_39611	11	0.5698202738742564	0.0	TRPS1	254		8.268
line	SKBR3	USE_39046	12	0.5700097730590037	0.0	RDH10	71		4.706
line	SKBR3	USE_39629	13	0.5714364267405541	0.0	EIF3H	249		4.807
line	SKBR3	USE_39602	14	0.5715745831385137	0.0	TRPS1	84		8.268
line	SKBR3	USE_40015	15	0.5719711443377999	0.0	MYC	162		8.733
line	T24	USE_4986	1	0.6050170009213391	1.754184241041457e-204	FZD8	532		0.612
line	T24	USE_4991	2	0.609106587693863	5.238026133521962e-184	ANKRD30A	640		0.865
line	T24	USE_16197	3	0.611878771943979	9.610364757594647e-171	NLRP1	220		1.043
line	T24	USE_23684	4	0.6188161985491591	9.861558563486049e-140	SIRPB1	19		1.322
line	T24	USE_15304	5	0.6215469307599002	2.2159411927870251e-128	AHSP	72		1.175
line	T24	USE_16198	6	0.6237551285118794	1.4847417713835367e-119	WSCD1	261		1.043
line	T24	USE_23687	7	0.626226638251395	4.747300394426346e-110	SIRPG	75		2.071
line	T24	USE_12797	8	0.62858855854971	2.454079474062425e-101	LTBP2	60		1.125
line	T24	USE_19965	9	0.6292160531809781	4.408032565742371e-99	SHANK1	13		0.867
line	T24	USE_4992	10	0.6310048338574767	8.492048157925235e-93	ANKRD30A	600		0.865
line	T24	USE_20174	11	0.631149396369352	2.678895713801889e-92	PXDN	1		0.937
line	T24	USE_37734	12	0.6312740601598004	7.191880863187868e-92	MRPS33	37		0.894
line	T24	USE_4990	13	0.6318203572249457	5.3222162954737765e-90	ANKRD30A	651		0.865
line	T24	USE_20043	14	0.6322609292398091	1.6543967644458173e-88	VSTM1	13		0.079
line	T24	USE_17519	15	0.6323819652671724	4.23189723136871e-88	KCNJ16	230		1.064
line	MCF7	USE_25443	1	0.5658538917120337	0.0	DSCAM	106		1.81
line	MCF7	USE_25445	2	0.5736640516292789	0.0	DSCAM	46		1.81
line	MCF7	USE_17286	3	0.5754275261350383	0.0	TBX2	49		6.341
line	MCF7	USE_25444	4	0.5763457110188079	0.0	DSCAM	96		1.81
line	MCF7	USE_35163	5	0.5790733255761389	0.0	CCDC170	100	ESR1	1.137
line	MCF7	USE_17298	6	0.5979306337939352	1.4906972954548473e-239	BRIP1	47		20.145
line	MCF7	USE_24497	7	0.5997809557847485	2.5507597172436745e-229	ZMYND8	114		2.187
line	MCF7	USE_4561	8	0.6043921777369843	8.649486828149327e-205	GATA3	978		1.265
line	MCF7	USE_4564	9	0.6084542324843989	2.473732303976187e-184	GATA3	1123		1.265
line	MCF7	USE_17287	10	0.6090363765376732	1.7256065110527306e-181	TBX2	39		6.341
line	MCF7	USE_6024	11	0.6097683768972446	6.020203683907707e-178	ATRNL1	143		1.139
line	MCF7	USE_27314	12	0.6136043449480607	5.97015885660197e-160	PRICKLE2	111		9.502
line	MCF7	USE_24546	13	0.6138947034986444	1.2579971208626931e-158	SULF2	354		11.281
line	MCF7	USE_4562	14	0.6152513217750908	1.612486513996212e-152	GATA3	985		1.265
line	MCF7	USE_28427	15	0.6163830538569549	1.6296316674373898e-147	SPTSSB	12		1.681
line	NCIH1693	USE_25757	1	0.4778746597454635	0.0	MED15	4		5.877
line	NCIH1693	USE_25765	2	0.5391925775616666	0.0	PI4KA	16		4.608
line	NCIH1693	USE_9246	3	0.5451997954242942	0.0	ADAMTS20	44		2.199
line	NCIH1693	USE_9187	4	0.5707202023862412	0.0	ALG10	310		1.004
line	NCIH1693	USE_25759	5	0.5751038577836183	2.5e-323	MED15	26		5.877
line	NCIH1693	USE_25737	6	0.5768750651382724	4.9824169463e-313	COMT	7		6.975
line	NCIH1693	USE_9245	7	0.5792712013084247	2.2015909689210854e-299	ADAMTS20	53		2.199
line	NCIH1693	USE_25758	8	0.5794066525843993	1.273202894299717e-298	MED15	16		5.877
line	NCIH1693	USE_9186	9	0.5809488126906565	5.18768707645442e-290	ALG10	323		1.004
line	NCIH1693	USE_20823	10	0.5830105323299232	1.0688184923891834e-278	TTC27	191		1.01
line	NCIH1693	USE_20822	11	0.5862377603527251	1.931090304219721e-261	TTC27	199		1.01
line	NCIH1693	USE_12376	12	0.5897665414046349	3.300791555280367e-243	DDHD1	170		1.055
line	NCIH1693	USE_9236	13	0.5930563547638112	8.3614568599781975e-227	PRICKLE1	220		2.336
line	NCIH1693	USE_39550	14	0.5937630657416377	2.344721192153369e-223	TRHR	195		1.012
line	NCIH1693	USE_39551	15	0.594247337619703	5.229168336801166e-221	TRHR	192		1.012
line	PATU8988S	USE_18233	1	0.5601172493150052	0.0	GATA6	84		2.741
line	PATU8988S	USE_18285	2	0.5774620239344617	0.0	LAMA3	49		5.871
line	PATU8988S	USE_28780	3	0.5874692860186836	2.3246e-320	EPHB3	12		1.541
line	PATU8988S	USE_11012	4	0.5895932160438455	1.3100647733046108e-306	RXFP2	182		1.235
line	PATU8988S	USE_33028	5	0.5926478565020974	2.3322013463118628e-287	BTNL3	23		1.251
line	PATU8988S	USE_29691	6	0.5942019905591552	8.349392459923363e-278	RASL11B	48		0.935
line	PATU8988S	USE_7394	7	0.5949516065691761	2.961670547309012e-273	ANO1	94		1.227
line	PATU8988S	USE_28483	8	0.5984839454817972	2.5583566747962904e-252	MECOM	11		1.442
line	PATU8988S	USE_23449	9	0.5993673621528122	3.2555225302863525e-247	UGT1A8	44		1.001
line	PATU8988S	USE_24673	10	0.5998343963340873	1.5450404362169035e-244	ATP9A	15		2.396
line	PATU8988S	USE_9839	11	0.6009829222683137	5.150148645804268e-238	KCNC2	179		1.066
line	PATU8988S	USE_28484	12	0.6009853091607744	5.312095708312777e-238	MECOM	16		1.442
line	PATU8988S	USE_7882	13	0.603760275677188	1.3068654720031146e-222	MMP3	14		1.212
line	PATU8988S	USE_16056	14	0.604259606931081	6.786261222231344e-220	PRDM7	43		1.014
line	PATU8988S	USE_42251	15	0.6043642042420552	2.4979465212571368e-219	CACNA1B	231		0.991
line	OPM2	USE_42568	1	0.4518960463336354	0.0	ZXDA	287		1.056
line	OPM2	USE_42569	2	0.52631182675057	0.0	ZXDA	323		1.056
line	OPM2	USE_42567	3	0.5287711827207732	0.0	ZXDA	220		1.056
line	OPM2	USE_42566	4	0.5355686216848772	0.0	ZXDA	204		1.056
line	OPM2	USE_11344	5	0.5643274114757444	0.0	PRR20E	147		0.817
line	OPM2	USE_2858	6	0.5674046597822247	0.0	NUF2	515		2.551
line	OPM2	USE_37160	7	0.5704140567089993	0.0	RELN	41		1.273
line	OPM2	USE_3803	8	0.5720500250934937	0.0	RRP15	146		1.415
line	OPM2	USE_6818	9	0.5783013235718294	4.52343163421962e-309	APIP	100		1.37
line	OPM2	USE_37161	10	0.5794756293728334	2.0619402718932888e-302	RELN	44		1.273
line	OPM2	USE_19395	11	0.5834792846637751	2.990708006650242e-280	UQCRFS1	602		1.157
line	OPM2	USE_29180	12	0.5842761754515082	6.099791372503328e-276	NSD2	7		1.144
line	OPM2	USE_8219	13	0.5863775485749299	9.768465407556713e-265	ARHGEF12	92		1.288
line	OPM2	USE_37924	14	0.586792904810085	1.508245882985328e-262	ACTR3B	605		1.138
line	OPM2	USE_11219	15	0.5903007390215105	1.924615926199209e-244	CBY2	7		1.069
line	PC14	USE_27048	1	0.5664678961806738	2.7034804753144797e-266	CCRL2	16		1.008
line	PC14	USE_21197	2	0.5731897116287122	4.05649124035568e-236	CLHC1	57		1.25
line	PC14	USE_24027	3	0.5733785294033116	2.6866445391346593e-235	FOXA2	239		1.133
line	PC14	USE_15056	4	0.5753875699453892	1.1985726928398911e-226	TMC5	25		1.251
line	PC14	USE_32712	5	0.5756145784706928	1.1083125043425972e-225	IL12B	127		1.335
line	PC14	USE_24028	6	0.5794190080107728	8.807656515178822e-210	FOXA2	236		1.133
line	PC14	USE_35397	7	0.5916928232478078	1.8711768379698579e-162	RPS6KA2	83		0.678
line	PC14	USE_14460	8	0.5918133902313164	5.093904216175959e-162	MFGE8	33		0.909
line	PC14	USE_32715	9	0.5932796074199098	8.88684330758525e-157	IL12B	185		1.335
line	PC14	USE_42042	10	0.5932961628043825	1.0171404483921723e-156	MED27	35		1.328
line	PC14	USE_24535	11	0.5936778565926251	2.274803839939315e-155	SULF2	125		1.397
line	PC14	USE_23532	12	0.5951780939165099	4.0375543815490344e-150	COL6A3	109		2.015
line	PC14	USE_23855	13	0.5960474291609461	4.0473230808976885e-147	SLX4IP	29		1.195
line	PC14	USE_5915	14	0.5977786637324509	3.101728556822691e-141	SMNDC1	27		0.737
line	PC14	USE_12683	15	0.5978214187158198	4.3187511950907927e-141	RAD51B	232		1.275
line	NCIH1650	USE_7669	1	0.5825676337543563	6.260132452052154e-135	DLG2	280		0.982
line	NCIH1650	USE_19382	2	0.5877219713934367	2.639072726480251e-121	UQCRFS1	1349		1.198
line	NCIH1650	USE_8336	3	0.5911862612480682	1.477832384281679e-112	ETS1	375		1.644
line	NCIH1650	USE_38743	4	0.6038791383798576	2.5685120990457602e-83	SNTG1	557		0.922
line	NCIH1650	USE_8335	5	0.6047404412754552	1.7109387130961824e-81	ETS1	376		1.644
line	NCIH1650	USE_39589	6	0.606253091323185	2.4422788318154697e-78	TRPS1	278		1.986
line	NCIH1650	USE_36228	7	0.6071934053768653	2.0784295176561593e-76	C7orf25	118		2.097
line	NCIH1650	USE_29550	8	0.6092649677953343	3.036307133725318e-72	TLR1	3		0.875
line	NCIH1650	USE_24352	9	0.6102596100210567	2.7544840970190015e-70	DHX35	114		2.033
line	NCIH1650	USE_31698	10	0.6129016291174099	3.2292832942263015e-65	FAM169A	5		1.051
line	NCIH1650	USE_24443	11	0.6132659127105127	1.5613141773858485e-64	KCNS1	4		2.224
line	NCIH1650	USE_1121	12	0.614369513969619	1.7501300002527665e-62	TESK2	9		0.903
line	NCIH1650	USE_36304	13	0.614852403502067	1.3454373847395056e-61	IGFBP3	303		2.06
line	NCIH1650	USE_19229	14	0.6161161076183024	2.6159760935320663e-59	CASP14	10		1.014
line	NCIH1650	USE_19752	15	0.6169948003926122	9.629961936233283e-58	PSG9	16		0.964
line	SKNMC	USE_38410	1	0.36470322482120365	0.0	STMN4	33		1.904
line	SKNMC	USE_38213	2	0.3856956424388176	0.0	TRMT9B	99		2.161
line	SKNMC	USE_28910	3	0.3884342510099348	0.0	TP63	263		1.599
line	SKNMC	USE_38408	4	0.39227339221757884	0.0	STMN4	59		1.904
line	SKNMC	USE_38547	5	0.4239775391439079	0.0	DUSP26	595		1.919
line	SKNMC	USE_13093	6	0.4278221297363377	0.0	VRK1	339		1.065
line	SKNMC	USE_34177	7	0.43583534053205325	0.0	PKHD1	138		1.094
line	SKNMC	USE_18121	8	0.43795351455128173	0.0	APCDD1	9		1.094
line	SKNMC	USE_38746	9	0.4393085735706985	0.0	SNTG1	378		1.552
line	SKNMC	USE_9513	10	0.44268456003618295	0.0	LACRT	8		1.2
line	SKNMC	USE_39312	11	0.44275916639745355	0.0	GDF6	92		1.922
line	SKNMC	USE_41707	12	0.4437892112907287	0.0	PAPPA	413		1.128
line	SKNMC	USE_38409	13	0.44402187560001255	0.0	STMN4	32		1.904
line	SKNMC	USE_19448	14	0.4443391863821298	0.0	TSHZ3	492		1.069
line	SKNMC	USE_11786	15	0.4475761012469977	0.0	IRS2	343		1.08
line	MDAMB134VI	USE_38595	1	0.54174328066595	0.0	FGFR1	75		8.383
line	MDAMB134VI	USE_38599	2	0.5531185395042583	0.0	FGFR1	155		8.383
line	MDAMB134VI	USE_7372	3	0.5541103193870021	0.0	CCND1	124		9.302
line	MDAMB134VI	USE_38637	4	0.5676640245684833	0.0	TCIM	251		3.192
line	MDAMB134VI	USE_7370	5	0.5687130559993313	0.0	CCND1	164		9.068
line	MDAMB134VI	USE_7429	6	0.5861583121159193	3.668068923970376e-275	SHANK2	99		6.985
line	MDAMB134VI	USE_7373	7	0.586788118775143	1.061145876671451e-271	CCND1	123		9.302
line	MDAMB134VI	USE_38634	8	0.5883980275687888	5.9845655349139486e-263	TCIM	210		3.192
line	MDAMB134VI	USE_37191	9	0.5891926274632762	1.1065163641323543e-258	CDHR3	12		1.039
line	MDAMB134VI	USE_38635	10	0.5921871720509665	6.331214021605078e-243	TCIM	219		3.192
line	MDAMB134VI	USE_7379	11	0.592904050380076	3.169506678653636e-239	CCND1	7		9.316
line	MDAMB134VI	USE_28900	12	0.5943087592906905	4.63504855958273e-232	TPRG1	37		1.029
line	MDAMB134VI	USE_32953	13	0.5963237465037964	5.67045241806848e-222	UNC5A	4		1.262
line	MDAMB134VI	USE_42158	14	0.5977922887959274	9.210160457437742e-215	PPP1R26	90		1.056
line	MDAMB134VI	USE_7432	15	0.6004702777731672	6.407040694160099e-202	SHANK2	54		6.985
line	MV411	USE_23833	1	0.567999781152968	1.3813550331762487e-261	LAMP5	14		1.043
line	MV411	USE_23832	2	0.567999781152968	1.3813550331762487e-261	LAMP5	15		1.043
line	MV411	USE_36171	3	0.572881599116376	5.098066074193994e-240	STARD3NL	50		1.08
line	MV411	USE_38076	4	0.5748630229346712	1.567414516756859e-231	CSMD1	278		1.389
line	MV411	USE_36170	5	0.58232426251172	6.0820695463323885e-201	STARD3NL	60		1.08
line	MV411	USE_15916	6	0.5871736491059653	3.16680542936287e-182	IRF8	72	IRF8	1.075
