srx	gsm	name	cell_group	cell_line	cell_type	antibody
SRX13942153	GSM5840015	H3K27ac (@ Adipose endothelial cells)	Adipocyte			H3K27ac: Diagenode pAb-174-050
SRX13942154	GSM5840016	H3K27ac (@ Adipose endothelial cells)	Adipocyte			H3K27ac: Diagenode pAb-174-050
SRX13942155	GSM5840017	H3K27ac (@ Adipose endothelial cells)	Adipocyte			H3K27ac: Diagenode pAb-174-050
SRX13942156	GSM5840018	H3K27ac (@ Adipose endothelial cells)	Adipocyte			H3K27ac: Diagenode pAb-174-050
SRX3009972	GSM2698631	H3K27ac (@ Colon, Transverse)	Adipocyte			
SRX3092161	GSM2742099	H3K27ac (@ Subcutaneous adipocytes)	Adipocyte			H3K27ac, Diagenode C15410196
SRX3092162	GSM2742100	H3K27ac (@ Subcutaneous adipocytes)	Adipocyte			H3K27ac, Diagenode C15410196
SRX3092169	GSM2742107	H3K27ac (@ Visceral adipocytes)	Adipocyte			H3K27ac, Diagenode C15410196
SRX3092170	GSM2742108	H3K27ac (@ Visceral adipocytes)	Adipocyte			H3K27ac, Diagenode C15410196
SRX8291425		H3K27ac (@ Adipocytes)	Adipocyte			
SRX8291426		H3K27ac (@ Adipocytes)	Adipocyte			
SRX8701051	GSM4663965	H3K27ac (@ Visceral adipose)	Adipocyte			H3K27ac (Millipore #07-360)
SRX8701052	GSM4663966	H3K27ac (@ Visceral adipose)	Adipocyte			H3K27ac (Millipore #07-360)
SRX8701053	GSM4663967	H3K27ac (@ Visceral adipose)	Adipocyte			H3K27ac (Millipore #07-360)
SRX8701054	GSM4663968	H3K27ac (@ Visceral adipose)	Adipocyte			H3K27ac (Millipore #07-360)
SRX8701055	GSM4663969	H3K27ac (@ Visceral adipose)	Adipocyte			H3K27ac (Millipore #07-360)
SRX8701056	GSM4663970	H3K27ac (@ Visceral adipose)	Adipocyte			H3K27ac (Millipore #07-360)
SRX8701057	GSM4663971	H3K27ac (@ Visceral adipose)	Adipocyte			H3K27ac (Millipore #07-360)
SRX8701058	GSM4663972	H3K27ac (@ Visceral adipose)	Adipocyte			H3K27ac (Millipore #07-360)
SRX12412394	GSM5605584	H3K27ac (@ Adipose stem cells)	Adipocyte		ASCs on 04 hours after adipogenic induction	anti-H3K27ac antibody (Diagenode c15410174), at 2.5 microgram per 10e6 cells
SRX12412395	GSM5605585	H3K27ac (@ Adipose stem cells)	Adipocyte		ASCs on 08 hours after adipogenic induction	anti-H3K27ac antibody (Diagenode c15410174), at 2.5 microgram per 10e6 cells
