srx	lineage	cell_line	role	gsm	gse	antibody	name
SRX3001757	Ovary_HGSOC	OVCAR3	lineage	GSM2702221	GSE101408		H3K27ac (@ OVCAR-3)
SRX8588595	Ovary_HGSOC	Kuramochi	lineage	GSM4629047	GSE152885	H3K27Ac	H3K27ac (@ KURAMOCHI)
SRX067407	Blood_leukemia	K562	lineage	GSM733656	GSE29611		H3K27ac (@ K-562)
SRX13351040	Blood_leukemia	THP-1	lineage	GSM5723263	GSE190412		H3K27ac (@ THP-1)
SRX5974500	Blood_leukemia	Jurkat	lineage	GSM3854054	GSE132212	Abcam, ab4729, Lot: GR3231937-1	H3K27ac (@ Jurkat)
SRX152074	Colorectal	HCT116	lineage	GSM945853	GSE31755		H3K27ac (@ HCT 116)
SRX1272784	Colorectal	HT29	lineage	GSM1890734	GSE73319	H3K27ac	H3K27ac (@ HT-29)
SRX15489715	Colorectal	DLD-1	lineage	GSM6204417	GSE205035	H3K27ac (Abcam, ab4729)	H3K27ac (@ DLD-1)
SRX10609529	Breast	MCF7	lineage	GSM5243448	GSE172174	H3K27ac (Cell Signaling Technologies, 8173)	H3K27ac (@ MCF-7)
SRX10809652	Breast	MDA-MB-231	lineage	GSM5284379	GSE174002	H3K27ac(Abcam,ab177178)	H3K27ac (@ MDA-MB-231)
SRX2430631	Breast	T47D	lineage	GSM2430426	GSE92477	H3K27ac (Merck Millipore, 07-360)	H3K27ac (@ T-47D)
SRX13941917	Breast	MCF7	batch-probe				H3K27ac (@ MCF-7)
SRX14138490	Breast	MCF7	batch-probe	GSM5889170	GSE144404		H3K27ac (@ MCF-7)
