group	se	rank	jsd	fdr	cn_mean	gene	dist_kb	chrom	start	end
143B	USE_40303	1	0.5527	0.0	1.02	COL22A1	39	chr8	138787061	138794212
143B	USE_3067	2	0.598	0.0	0.851	BRINP2	83	chr1	177309434	177311198
143B	USE_40308	3	0.5988	0.0	1.02	COL22A1	186	chr8	138935925	138938848
143B	USE_27769	4	0.599	0.0	0.004	GAP43	122	chr3	115783700	115805803
143B	USE_40305	5	0.5993	0.0	1.02	COL22A1	79	chr8	138830024	138831876
143B	USE_40759	6	0.6056	0.0	0.0	IFNE	191	chr9	21655668	21689859
143B	USE_29504	7	0.6124	0.0	0.711	ARAP2	2213	chr4	33881875	33883489
143B	USE_32990	8	0.6171	0.0	1.16	CLK4	89	chr5	178525863	178527748
143B	USE_40304	9	0.6191	0.0	1.02	COL22A1	77	chr8	138810594	138846082
143B	USE_27768	10	0.6194	0.0	0.004	GAP43	108	chr3	115778122	115784377
143B	USE_38650	11	0.6204	0.0	0.847	SFRP1	35	chr8	41249223	41250855
143B	USE_36397	12	0.6212	0.0	1.438	GRB10	146	chr7	50837934	50839023
143B	USE_40760	13	0.6214	0.0	0.0	MTAP	175	chr9	21687846	21701561
143B	USE_19965	14	0.6217	0.0	0.811	SHANK1	13	chr19	50702261	50703945
143B	USE_31247	15	0.623	0.0	1.343	GDNF	15	chr5	37810673	37811301
22RV1	USE_7057	1	0.5188	0.0	1.083	GLYATL1	51	chr11	59024261	59027029
22RV1	USE_25078	2	0.5194	0.0	1.123	TPTE	669	chr21	9893026	9895463
22RV1	USE_22198	3	0.5302	0.0	0.531	POTEJ	12	chr2	130619629	130625799
22RV1	USE_30670	4	0.5333	0.0	0.984	GPM6A	105	chr4	175708409	175715685
22RV1	USE_42762	5	0.5365	0.0	0.559	APLN	11	chrX	129660444	129662056
22RV1	USE_37432	6	0.5454	0.0	1.414	POT1	772	chr7	125647839	125649957
22RV1	USE_29477	7	0.5466	0.0	0.978	STIM2	1188	chr4	28128295	28131111
22RV1	USE_31641	8	0.551	0.0	1.109	CARTPT	27	chr5	71743238	71752814
22RV1	USE_15437	9	0.5517	0.0	0.915	IRX3	138	chr16	54421534	54425809
22RV1	USE_7054	10	0.5522	0.0	1.083	GLYATL1	47	chr11	58925565	58928574
22RV1	USE_7056	11	0.5534	0.0	1.083	GLYATL1	43	chr11	59009470	59027002
22RV1	USE_6900	12	0.5541	0.0	0.923	LRRC4C	993	chr11	41778907	41782766
22RV1	USE_9633	13	0.5595	0.0	0.992	DPY19L2	173	chr12	63439601	63440602
22RV1	USE_7055	14	0.5623	0.0	1.083	GLYATL1	42	chr11	58928276	58935041
22RV1	USE_25447	15	0.5636	0.0	0.973	BACE2	179	chr21	41045088	41047070
5637	USE_25394	1	0.6117	0.0	0.982	KCNJ15	55	chr21	38170603	38181929
5637	USE_36208	2	0.6225	0.0	1.285	INHBA	588	chr7	41096677	41098424
5637	USE_35507	3	0.6226	0.0	1.262	FOXL3	77	chr7	368540	370362
5637	USE_38989	4	0.6254	0.0	0.921	PREX2	162	chr8	68256105	68257874
5637	USE_32922	5	0.6271	0.0	1.252	MSX2	101	chr5	174828738	174830258
5637	USE_39889	6	0.6309	0.0	1.093	ZNF572	128	chr8	124847560	124848827
5637	USE_6252	7	0.6319	0.0	0.736	MKI67	165	chr10	128275266	128279323
5637	USE_31226	8	0.6321	0.0	1.461	SLC1A3	181	chr5	36458547	36463144
5637	USE_36210	9	0.6322	0.0	1.285	INHBA	443	chr7	41238312	41248573
5637	USE_5636	10	0.6328	0.0	0.695	KIF20B	410	chr10	90147398	90150496
5637	USE_32923	11	0.6329	0.0	1.252	MSX2	105	chr5	174828805	174837894
5637	USE_22629	12	0.6331	0.0	1.105	DLX2	101	chr2	172195448	172209849
5637	USE_36211	13	0.6335	0.0	1.285	INHBA	438	chr7	41247227	41248413
5637	USE_23804	14	0.6337	0.0	1.27	HAO1	564	chr20	7346232	7348310
5637	USE_40010	15	0.6346	0.0	1.251	POU5F1B	138	chr8	127508887	127510273
697	USE_17107	1	0.4904	0.0	0.679	KIF2B	731	chr17	53091176	53093085
697	USE_6284	2	0.5351	0.0	0.512	TCERG1L	0	chr10	131201258	131204704
697	USE_6749	3	0.5366	0.0	0.753	KCNA4	303	chr11	29708419	29711104
697	USE_17110	4	0.5393	0.0	0.679	KIF2B	704	chr17	53117772	53120358
697	USE_8594	5	0.5432	0.0	0.998	KCNA1	45	chr12	4958448	4961409
697	USE_23998	6	0.5495	0.0	0.939	CFAP61	66	chr20	20137163	20143451
697	USE_29517	7	0.5521	0.0	1.036	NWD2	465	chr4	36880733	36883345
697	USE_24028	8	0.5551	0.0	0.719	FOXA2	236	chr20	22346055	22348171
697	USE_4230	9	0.5556	0.0	1.225	CHRM3	3	chr1	239653852	239656152
697	USE_18728	10	0.5562	0.0	0.971	SERPINB8	193	chr18	64187134	64189542
697	USE_22287	11	0.557	0.0	0.924	THSD7B	341	chr2	137561497	137564393
697	USE_31534	12	0.5574	0.0	0.959	LRRC70	547	chr5	63126303	63129393
697	USE_27437	13	0.5605	0.0	0.84	CNTN3	611	chr3	75048406	75050896
697	USE_30885	14	0.5606	0.0	0.779	IRX2	211	chr5	2535950	2539140
697	USE_29516	15	0.5606	0.0	1.036	NWD2	470	chr4	36869695	36883263
786O	USE_12556	1	0.5716	0.0	0.105	HIF1A	167	chr14	61553206	61554784
786O	USE_40377	2	0.5823	0.0	1.533	PTP4A3	390	chr8	141801285	141803647
786O	USE_12557	3	0.5841	0.0	0.105	HIF1A	153	chr14	61567804	61569533
786O	USE_11664	4	0.5842	0.0	0.861	TM9SF2	67	chr13	99571563	99573134
786O	USE_12555	5	0.5845	0.0	0.105	HIF1A	168	chr14	61552511	61553413
786O	USE_22237	6	0.5991	0.0	1.116	MGAT5	450	chr2	133836178	133837799
786O	USE_35372	7	0.6022	0.0	0.904	PDE10A	38	chr6	165690084	165703124
786O	USE_40312	8	0.6084	0.0	1.516	KCNK9	279	chr8	139368476	139377663
786O	USE_38985	9	0.6117	0.0	1.589	CPA6	240	chr8	67823509	67826255
786O	USE_12317	10	0.6121	0.0	0.0	SAV1	14	chr14	50650542	50678731
786O	USE_40376	11	0.6124	0.0	1.533	PTP4A3	375	chr8	141785624	141788893
786O	USE_12558	12	0.6141	0.0	0.105	HIF1A	108	chr14	61601876	61625270
786O	USE_27552	13	0.6144	0.0	1.15	COL8A1	59	chr3	99658296	99660052
786O	USE_23817	14	0.6146	0.0	0.869	PLCB4	353	chr20	8931518	8933988
786O	USE_23904	15	0.6155	0.0	0.88	ISM1	73	chr20	13331140	13337656
921	USE_1561	1	0.4995	0.0	0.76	IFI44	75	chr1	78731738	78733895
921	USE_36751	2	0.5029	0.0	1.092	GNAI1	199	chr7	80195930	80197977
921	USE_4807	3	0.5102	0.0	1.068	ANKRD26	82	chr10	26953186	26955370
921	USE_4806	4	0.516	0.0	1.068	ANKRD26	100	chr10	26933631	26939564
921	USE_36754	5	0.5217	0.0	1.092	GNAT3	224	chr7	80257034	80265621
921	USE_22346	6	0.5239	0.0	0.788	ZEB2	328	chr2	144769792	144772001
921	USE_42435	7	0.5341	0.0	0.509	DMD	871	chrX	33087080	33092576
921	USE_24782	8	0.54	0.0	0.998	BMP7	283	chr20	56933473	56935902
921	USE_32018	9	0.5434	0.0	0.98	SLC25A46	17	chr5	110768214	110770773
921	USE_37424	10	0.5455	0.0	0.989	GPR37	117	chr7	124629830	124644513
921	USE_9716	11	0.5459	0.0	1.06	CAND1	60	chr12	67231224	67237859
921	USE_7602	12	0.5479	0.0	1.039	USP35	31	chr11	78231814	78234348
921	USE_18031	13	0.5489	0.0	1.274	L3MBTL4	70	chr18	6254239	6257041
921	USE_42318	14	0.5504	0.0	0.511	STS	87	chrX	7558131	7568871
921	USE_8353	15	0.5513	0.0	0.515	ETS1	9	chr11	128531958	128533743
A2058	USE_8468	1	0.5021	0.0	0.924	B3GAT1	444	chr11	134839298	134840469
A2058	USE_36958	2	0.5712	0.0	1.435	PON1	46	chr7	95263324	95265627
A2058	USE_20902	3	0.5788	0.0	0.994	CYP1B1	115	chr2	38202880	38204082
A2058	USE_3108	4	0.5823	0.0	1.366	TDRD5	68	chr1	179708574	179711273
A2058	USE_20901	5	0.5956	0.0	0.994	CYP1B1	120	chr2	38202394	38215353
A2058	USE_8469	6	0.6022	0.0	0.924	B3GAT1	450	chr11	134839445	134852154
A2058	USE_42913	7	0.603	0.0	0.472	TSPY1	13	chrY	9453903	9455640
A2058	USE_37122	8	0.603	0.0	1.366	CUX1	120	chr7	102170173	102171084
A2058	USE_42914	9	0.6042	0.0	0.472	TSPY1	27	chrY	9494536	9496237
A2058	USE_42915	10	0.605	0.0	0.472	TSPY10	13	chrY	9514850	9516430
A2058	USE_36957	11	0.6051	0.0	1.435	PON1	54	chr7	95246639	95265759
A2058	USE_8992	12	0.6073	0.0	1.03	LMNTD1	164	chr12	25692273	25694917
A2058	USE_24784	13	0.6091	0.0	0.954	BMP7	229	chr20	56987796	56989432
A2058	USE_2362	14	0.6096	0.0	0.977	PPIAL4H	178	chr1	146521650	146523688
A2058	USE_31505	15	0.6126	0.0	0.983	PDE4D	425	chr5	60163500	60179196
A253	USE_6393	1	0.6014	0.0	0.705	TH	12	chr11	2179307	2181401
A253	USE_10461	2	0.603	0.0	0.663	RBM19	172	chr12	114055246	114072530
A253	USE_30878	3	0.609	0.0	1.701	IRX4	0	chr5	1881606	1883688
A253	USE_16816	4	0.6097	0.0	1.007	KRT14	0	chr17	41579885	41589145
A253	USE_38079	5	0.6176	0.0	0.002	CSMD1	851	chr8	4811074	4822485
A253	USE_30879	6	0.6204	0.0	1.701	IRX4	6	chr5	1882775	1895051
A253	USE_9070	7	0.6221	0.0	0.374	PTHLH	11	chr12	27969058	27985069
A253	USE_38078	8	0.6224	0.0	0.002	CSMD1	724	chr8	4687846	4690587
A253	USE_14471	9	0.623	0.0	0.775	POLG	58	chr15	89377720	89379826
A253	USE_9440	10	0.6237	0.0	1.071	KRT74	10	chr12	52579019	52581548
A253	USE_38077	11	0.6247	0.0	0.002	CSMD1	701	chr8	4661650	4672409
A253	USE_37952	12	0.6251	0.0	0.711	CNPY1	23	chr7	155489865	155491915
A253	USE_42424	13	0.6251	0.0	0.49	DCAF8L1	523	chrX	28498335	28508900
A253	USE_16426	14	0.6262	0.0	1.007	LGALS9C	42	chr17	18436616	18449250
A253	USE_5872	15	0.6263	0.0	1.142	STN1	26	chr10	103870902	103872090
A2780	USE_13355	1	0.6152	0.0	0.955	OR4N4	162	chr15	22256909	22258127
A2780	USE_40389	2	0.6166	0.0	0.985	ADGRB1	45	chr8	142450414	142453542
A2780	USE_25046	3	0.6195	0.0	1.005	TPTE	2317	chr21	8246225	8247349
A2780	USE_25055	4	0.6206	0.0	1.005	TPTE	2134	chr21	8429229	8430377
A2780	USE_36456	5	0.622	0.0	0.767	NUPR2	257	chr7	56370471	56374701
A2780	USE_13984	6	0.6257	0.0	1.004	RBPMS2	17	chr15	64773540	64776157
A2780	USE_24284	7	0.6286	0.0	1.04	MYL9	5	chr20	36540567	36542038
A2780	USE_2316	8	0.629	0.0	1.267	SRGAP2B	177	chr1	144813172	144814189
A2780	USE_35549	9	0.6336	0.0	1.034	ELFN1	38	chr7	1666538	1669205
A2780	USE_35548	10	0.6337	0.0	1.034	ELFN1	41	chr7	1664872	1666573
A2780	USE_23592	11	0.6341	0.0	0.999	NDUFA10	251	chr2	239706299	239707900
A2780	USE_13354	12	0.6342	0.0	0.955	OR4N4	162	chr15	22253483	22261045
A2780	USE_35755	13	0.6363	0.0	0.999	MEOX2	208	chr7	15851540	15864278
A2780	USE_25059	14	0.6367	0.0	1.005	TPTE	2100	chr21	8462215	8464832
A2780	USE_268	15	0.6379	0.0	0.99	CASZ1	27	chr1	10743931	10745080
A375	USE_40769	1	0.5492	0.0	0.0	CDKN2B	150	chr9	22141339	22171415
A375	USE_40770	2	0.5678	0.0	0.0	CDKN2B	207	chr9	22211302	22216822
A375	USE_34168	3	0.5683	0.0	0.73	PKHD1	439	chr6	51411000	51412683
A375	USE_24866	4	0.5896	0.0	1.403	EDN3	169	chr20	59481762	59484445
A375	USE_5084	5	0.5901	0.0	0.754	ANTXRL	85	chr10	46222113	46223423
A375	USE_20823	6	0.5948	0.0	1.055	TTC27	191	chr2	32916057	32916777
A375	USE_742	7	0.5948	0.0	1.0	SERINC2	12	chr1	31434014	31435157
A375	USE_4910	8	0.5971	0.0	0.705	ZEB1	195	chr10	31618226	31621792
A375	USE_20822	9	0.5976	0.0	1.055	TTC27	199	chr2	32900706	32948073
A375	USE_15521	10	0.5983	0.0	1.0	GOT2	1371	chr16	60090686	60093030
A375	USE_26165	11	0.601	0.0	1.056	SOX10	4	chr22	37983153	37984013
A375	USE_3067	12	0.6013	0.0	1.384	BRINP2	83	chr1	177309434	177311198
A375	USE_28952	13	0.6036	0.0	0.515	PYDC2	198	chr3	191658788	191660082
A375	USE_26166	14	0.6037	0.0	1.056	SOX10	6	chr22	37985442	37986516
A375	USE_41140	15	0.605	0.0	0.97	PSAT1	543	chr9	78856643	78858281
A549	USE_42931	1	0.5504	0.0	0.0	CDY2B	119	chrY	17752533	17767133
A549	USE_42932	2	0.5512	0.0	0.0	CDY2A	119	chrY	18138862	18153372
A549	USE_8008	3	0.5894	0.0	0.078	POU2AF1	104	chr11	111298457	111300155
A549	USE_40760	4	0.5955	0.0	0.0	MTAP	175	chr9	21687846	21701561
A549	USE_40759	5	0.6022	0.0	0.0	IFNE	191	chr9	21655668	21689859
A549	USE_41086	6	0.6056	0.0	0.848	ALDH1A1	6	chr9	72982859	72984793
A549	USE_40769	7	0.6063	0.0	0.0	CDKN2B	150	chr9	22141339	22171415
A549	USE_18059	8	0.6067	0.0	0.743	RAB12	282	chr18	8340903	8343309
A549	USE_40361	9	0.607	0.0	1.488	SLC45A4	0	chr8	141256134	141259094
A549	USE_32635	10	0.6078	0.0	1.101	SGCD	134	chr5	156180782	156188125
A549	USE_35324	11	0.6085	0.0	0.8	SLC22A3	5	chr6	160394591	160395403
A549	USE_41090	12	0.6098	0.0	0.848	ALDH1A1	54	chr9	73037740	73051486
A549	USE_7024	13	0.6105	0.0	1.363	OR5AK2	79	chr11	56907306	56911780
A549	USE_36156	14	0.6133	0.0	1.044	GPR141	92	chr7	37665463	37667266
A549	USE_36958	15	0.6133	0.0	1.034	PON1	46	chr7	95263324	95265627
A673	USE_11575	1	0.4597	0.0	0.344	GPC6	216	chr13	94032834	94035766
A673	USE_1306	2	0.482	0.0	1.012	DAB1	65	chr1	57703876	57706177
A673	USE_11354	3	0.4826	0.0	0.529	DIAPH3	185	chr13	60098807	60101177
A673	USE_11679	4	0.4891	0.0	0.527	PCCA	10	chr13	100297604	100300106
A673	USE_41223	5	0.4918	0.0	0.555	GAS1	297	chr9	86647480	86649762
A673	USE_11786	6	0.4967	0.0	0.539	IRS2	343	chr13	109425181	109427389
A673	USE_13093	7	0.497	0.0	1.029	VRK1	339	chr14	97214488	97217158
A673	USE_11351	8	0.4983	0.0	0.529	DIAPH3	371	chr13	59542603	59544905
A673	USE_27616	9	0.4991	0.0	1.008	ZPLD1	1205	chr3	103493674	103495654
A673	USE_38807	10	0.5033	0.0	1.015	XKR4	71	chr8	55392225	55394564
A673	USE_11373	11	0.5033	0.0	0.504	PCDH9	2655	chr13	64110673	64112321
A673	USE_1850	12	0.504	0.0	1.017	OLFM3	285	chr1	102183361	102186415
A673	USE_3070	13	0.505	0.0	1.031	SEC16B	223	chr1	177728420	177732176
A673	USE_11484	14	0.5063	0.0	0.545	SLAIN1	37	chr13	77692404	77694367
A673	USE_3282	15	0.5065	0.0	1.027	RGS18	163	chr1	192007507	192009499
ABC1	USE_28603	1	0.4842	0.0	0.081	TBL1XR1	261	chr3	176854929	176869332
ABC1	USE_28625	2	0.4908	0.0	0.081	TBL1XR1	479	chr3	177602008	177603772
ABC1	USE_28605	3	0.4931	0.0	0.081	TBL1XR1	196	chr3	176905659	176948937
ABC1	USE_28626	4	0.4964	0.0	0.081	TBL1XR1	497	chr3	177619748	177623483
ABC1	USE_28619	5	0.5086	0.0	0.081	TBL1XR1	354	chr3	177477928	177479368
ABC1	USE_28617	6	0.5236	0.0	0.081	TBL1XR1	325	chr3	177448392	177449391
ABC1	USE_31819	7	0.554	0.0	0.329	VCAN	46	chr5	83567559	83578429
ABC1	USE_28632	8	0.5697	0.0	0.081	TBL1XR1	626	chr3	177745266	177754688
ABC1	USE_28618	9	0.5731	0.0	0.081	TBL1XR1	347	chr3	177450650	177492659
ABC1	USE_28624	10	0.5742	0.0	0.081	TBL1XR1	483	chr3	177589248	177625558
ABC1	USE_19830	11	0.5749	0.0	0.0	IGFL3	9	chr19	46107662	46119007
ABC1	USE_12376	12	0.584	0.0	1.039	DDHD1	170	chr14	53259042	53272643
ABC1	USE_26193	13	0.5874	0.0	0.001	APOBEC3A	48	chr22	38923365	38924432
ABC1	USE_19831	14	0.5932	0.0	0.0	IGFL3	13	chr19	46107918	46109271
ABC1	USE_26192	15	0.5954	0.0	0.001	APOBEC3A	34	chr22	38921413	38955175
ACHN	USE_6028	1	0.5268	0.0	1.532	GFRA1	67	chr10	116098102	116099762
ACHN	USE_7634	2	0.5551	0.0	1.002	TENM4	1094	chr11	80136220	80146228
ACHN	USE_33624	3	0.5578	0.0	1.03	SLC17A3	22	chr6	25874569	25884886
ACHN	USE_12320	4	0.5674	0.0	0.004	NIN	6	chr14	50763228	50775364
ACHN	USE_30529	5	0.5694	0.0	1.022	PDGFC	23	chr4	156889498	156890665
ACHN	USE_27605	6	0.5706	0.0	1.042	ZPLD1	197	chr3	102090343	102093346
ACHN	USE_10842	7	0.5706	0.0	0.0	LATS2	49	chr13	21053522	21080811
ACHN	USE_13563	8	0.581	0.0	0.99	RASGRP1	467	chr15	38991327	38997191
ACHN	USE_23816	9	0.5817	0.0	1.018	PLCB1	337	chr20	8854110	8867325
ACHN	USE_7635	10	0.5831	0.0	1.002	TENM4	1098	chr11	80144076	80146558
ACHN	USE_27604	11	0.584	0.0	1.042	ZPLD1	199	chr3	102089471	102090796
ACHN	USE_8416	12	0.5845	0.0	1.044	SNX19	69	chr11	130815155	130827883
ACHN	USE_11668	13	0.5872	0.0	0.959	CLYBL	54	chr13	99812020	99813456
ACHN	USE_30324	14	0.5874	0.0	0.961	PCDH18	594	chr4	136926631	136936560
