group	se	rank	jsd	fdr	cn_mean	gene	dist_kb	chrom	start	end
AML, NOS	USE_31849	1	0.2116	0.1612	0.259	MEF2C	238	chr5	89042570	89055715
AML, NOS	USE_31852	2	0.307	0.1612	0.259	MEF2C	461	chr5	89270405	89273154
AML, NOS	USE_31851	3	0.3569	0.1612	0.259	MEF2C	454	chr5	89258425	89271415
AML, NOS	USE_31848	4	0.3569	0.1612	0.259	MEF2C	78	chr5	88888955	88890341
AML, NOS	USE_31850	5	0.3775	0.1612	0.259	MEF2C	267	chr5	89072670	89084681
AML, NOS	USE_27446	6	0.3789	0.1612	0.932	ROBO2	399	chr3	77175068	77180686
AML, NOS	USE_37992	7	0.3967	0.1612	0.664	DNAJB6	85	chr7	157461169	157461708
AML, NOS	USE_33060	8	0.4068	0.1612	0.809	IRF4	67	chr6	468901	469667
AML, NOS	USE_29813	9	0.41	0.1612	0.845	ADAMTS3	88	chr4	72512803	72514350
AML, NOS	USE_6276	10	0.4116	0.1612	0.754	GLRX3	199	chr10	130360096	130360782
AML, NOS	USE_24312	11	0.4134	0.1612	0.898	CTNNBL1	70	chr20	37711561	37713587
AML, NOS	USE_8435	12	0.4145	0.1612	1.542	NTM	410	chr11	132262739	132265244
AML, NOS	USE_31847	13	0.4167	0.1612	0.259	MEF2C	68	chr5	88867930	88890465
AML, NOS	USE_8434	14	0.4245	0.1612	1.542	NTM	406	chr11	132255189	132265208
AML, NOS	USE_5540	15	0.4247	0.1612	0.843	NUTM2E	58	chr10	79779696	79781170
Acute Myeloid Leukemia	USE_5038	1	0.4786	0.1612	0.958	RET	130	chr10	42972700	42974623
Acute Myeloid Leukemia	USE_40120	2	0.4803	0.1612	1.614	GSDMC	101	chr8	129664910	129667584
Acute Myeloid Leukemia	USE_13476	3	0.4837	0.1612	1.009	GOLGA8N	12	chr15	32586988	32587863
Acute Myeloid Leukemia	USE_13442	4	0.4871	0.1612	0.988	GOLGA8Q	12	chr15	30545552	30546398
Acute Myeloid Leukemia	USE_13472	5	0.4884	0.1612	1.009	GOLGA8O	12	chr15	32461199	32462059
Acute Myeloid Leukemia	USE_42658	6	0.5024	0.1612	0.561	RAB40AL	47	chrX	102984639	102986548
Acute Myeloid Leukemia	USE_7489	7	0.5056	0.1612	1.092	P2RY2	25	chr11	73204293	73206341
Acute Myeloid Leukemia	USE_19466	8	0.5095	0.1612	1.072	CEBPA	33	chr19	33267299	33268581
Acute Myeloid Leukemia	USE_17876	9	0.5095	0.1612	1.215	PPP1R27	2	chr17	81836269	81837738
Acute Myeloid Leukemia	USE_15916	10	0.5125	0.1612	0.972	IRF8	72	chr16	85982912	85984337
Acute Myeloid Leukemia	USE_1703	11	0.5143	0.1612	1.045	GFI1	19	chr1	92458640	92461691
Acute Myeloid Leukemia	USE_28939	12	0.5171	0.1612	1.052	IL1RAP	31	chr3	190616662	190619671
Acute Myeloid Leukemia	USE_28938	13	0.5209	0.1612	1.052	IL1RAP	25	chr3	190605621	190619723
Acute Myeloid Leukemia	USE_24870	14	0.5217	0.1612	1.092	PHACTR3	10	chr20	59721279	59724158
Acute Myeloid Leukemia	USE_11024	15	0.5218	0.1612	1.057	FRY	43	chr13	32115330	32117879
Adenosquamous Carcinoma of the Stomach	USE_10739	1	0.4032	0.1759	0.912	FZD10	33	chr12	130125806	130135889
Adenosquamous Carcinoma of the Stomach	USE_14701	2	0.4154	0.1876	0.749	AXIN1	14	chr16	334449	335582
Adenosquamous Carcinoma of the Stomach	USE_19967	3	0.4158	0.1876	1.043	GPR32	8	chr19	50778260	50780681
Adenosquamous Carcinoma of the Stomach	USE_19518	4	0.4261	0.1975	1.007	GPR42	16	chr19	35388200	35389361
Adenosquamous Carcinoma of the Stomach	USE_20455	5	0.4323	0.2054	0.875	MYCN	23	chr2	15919418	15920836
Adenosquamous Carcinoma of the Stomach	USE_38242	6	0.4379	0.2131	0.571	MSR1	180	chr8	16517452	16519059
Adenosquamous Carcinoma of the Stomach	USE_24820	7	0.4413	0.2178	1.308	ANKRD60	264	chr20	57957122	57958007
Adenosquamous Carcinoma of the Stomach	USE_37213	8	0.4545	0.2384	1.613	CCDC71L	22	chr7	106678854	106682307
Adenosquamous Carcinoma of the Stomach	USE_26192	9	0.4565	0.2422	0.002	APOBEC3A	34	chr22	38921413	38955175
Adenosquamous Carcinoma of the Stomach	USE_12202	10	0.4627	0.2541	0.723	MBIP	74	chr14	36382602	36384812
Adenosquamous Carcinoma of the Stomach	USE_35561	11	0.4661	0.2603	1.033	MAD1L1	62	chr7	1960770	1962971
Adenosquamous Carcinoma of the Stomach	USE_17922	12	0.467	0.2621	0.7	METRNL	65	chr17	83144724	83161668
Adenosquamous Carcinoma of the Stomach	USE_15399	13	0.4671	0.2625	0.63	SALL1	486	chr16	51623729	51638410
Adenosquamous Carcinoma of the Stomach	USE_39335	14	0.47	0.2683	1.234	CPQ	10	chr8	96906353	96909509
Adenosquamous Carcinoma of the Stomach	USE_12203	15	0.4762	0.2816	0.723	MBIP	79	chr14	36383538	36394850
Alveolar Rhabdomyosarcoma	USE_14857	1	0.3813	0.1612	0.875	RBFOX1	875	chr16	7350870	7352866
Alveolar Rhabdomyosarcoma	USE_42676	2	0.3872	0.1612	0.352	NRK	12	chrX	105872494	105883134
Alveolar Rhabdomyosarcoma	USE_13103	3	0.4012	0.1612	0.939	BCL11B	537	chr14	98681607	98684412
Alveolar Rhabdomyosarcoma	USE_42800	4	0.4034	0.1612	0.687	CT45A1	78	chrX	135638467	135642242
Alveolar Rhabdomyosarcoma	USE_14275	5	0.4078	0.1612	0.904	TBC1D2B	6	chr15	78023081	78025691
Alveolar Rhabdomyosarcoma	USE_19479	6	0.4088	0.1612	1.267	CHST8	28	chr19	33724197	33728228
Alveolar Rhabdomyosarcoma	USE_13104	7	0.4122	0.1612	0.939	BCL11B	534	chr14	98682347	98690946
Alveolar Rhabdomyosarcoma	USE_6642	8	0.4164	0.1612	1.255	OTOG	54	chr11	17649918	17653577
Alveolar Rhabdomyosarcoma	USE_20775	9	0.4203	0.1612	1.288	ALK	101	chr2	29656971	29660255
Alveolar Rhabdomyosarcoma	USE_8292	10	0.4212	0.1612	0.71	PKNOX2	35	chr11	125261786	125264571
